observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
9088f,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,1844,207,208,235,2052,2063,2023-05-12T16:43:07Z,2121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,122,4,20.02.04,https://neurocog.fernuni.ch/studies/vweber/delayed/index.html?vp=122&sess=4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15",MacIntel,de-DE,de-DE,Europe/Zurich,-60,1440,900,1440,627,1440,675,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
9088f,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,2643,2064,2104,2121,4764,4764,2023-05-12T16:43:07Z,4778,System,maongozi,d,chokochoko,nuksani,mitaani,sdf,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9088f,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,494,4765,4765,4778,5255,5256,2023-05-12T16:43:07Z,5272,System,maongozi,d,chokochoko,nuksani,mitaani,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9088f,deep,flow.Sequence,1_0_0,NA,NA,completion,3134,2064,2104,2121,5255,5257,2023-05-12T16:43:07Z,5272,System,maongozi,d,chokochoko,nuksani,mitaani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9088f,task,flow.Sequence,1_0,NA,NA,completion,3134,2064,2104,2121,5255,5257,2023-05-12T16:43:07Z,5272,System,maongozi,d,chokochoko,nuksani,mitaani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9088f,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,1649,5258,5255,5272,6921,6922,2023-05-12T16:43:08Z,6945,Lawine,banguko,d,maambukizi,usuluhishi,chekechea,dsf,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9088f,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,493,6922,6924,6945,7422,7423,2023-05-12T16:43:08Z,7438,Lawine,banguko,d,maambukizi,usuluhishi,chekechea,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9088f,deep,flow.Sequence,1_1_0,NA,NA,completion,2150,5258,5255,5272,7422,7423,2023-05-12T16:43:13Z,7438,Lawine,banguko,d,maambukizi,usuluhishi,chekechea,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9088f,task,flow.Sequence,1_1,NA,NA,completion,2150,5258,5255,5272,7422,7423,2023-05-12T16:43:13Z,7438,Lawine,banguko,d,maambukizi,usuluhishi,chekechea,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9088f,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,687,7424,7422,7438,8125,8126,2023-05-12T16:43:16Z,8146,Übersicht,kilindo,s,mgusano,chipukizi,kulinganisha,sdf,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
