observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
a6077,Introduction general,canvas.Screen,0,weiter,keypress(q),response,13413.42,820,812.9,829.58,14243,14258,2024-06-23T12:23:12Z,14274.4,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/encoding_immediate/index.html?vp=164&sess=3,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,Win32,de,de-CH,Europe/Zurich,-120,1280,800,1280,591,1280,639,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
a6077,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,224621.6,14259,14259.1,14274.4,238896,239339,2024-06-23T12:26:57Z,239341.7,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6077,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,239340,NA,NA,238896,239341,2024-06-23T12:26:57Z,239341.7,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6077,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,50773.3,239341,239341.42,239341.7,290115,290115,2024-06-23T12:27:48Z,290112.26,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,auwali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6077,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,290121,NA,NA,290115,290121,2024-06-23T12:27:48Z,290112.26,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6077,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,5004.1,290123,290097.38,290112.26,295099.7,295101,2024-06-23T12:27:53Z,295116.36,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6077,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,55758,239341,239341.42,239341.7,295099.7,295103,2024-06-23T12:27:53Z,295116.36,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6077,task,flow.Sequence,1_1_0,NA,NA,completion,55758,239340,239341.42,239341.7,295099.7,295103,2024-06-23T12:27:53Z,295116.36,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6077,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,2668.64,295103,295099.7,295116.36,297785,297786,2024-06-23T12:27:56Z,297784.86,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,fjgfejagrj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6077,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,297788,NA,NA,297785,297789,2024-06-23T12:27:56Z,297784.86,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6077,"""Falsch""-Screen",canvas.Screen,1_1_1_0_2,NA,NA,timeout,5004.52,297790,297784.46,297784.86,302772.7,302774,2024-06-23T12:28:01Z,302789.38,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6077,deep,flow.Sequence,1_1_1_0,NA,NA,completion,7656.34,295103,295099.7,295116.36,302772.7,302775,2024-06-23T12:28:01Z,302789.38,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6077,shallow,flow.Sequence,1_1_1_1,NA,NA,skipped,NA,302775,NA,NA,302772.7,302775,2024-06-23T12:28:01Z,302789.38,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6077,task,flow.Sequence,1_1_1,NA,NA,completion,7656.34,295103,295099.7,295116.36,302772.7,302775,2024-06-23T12:28:01Z,302789.38,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a6077,Deep Question,html.Page,1_1_2_0_0,NA,NA,form submission,3703.62,302776,302772.7,302789.38,306493,306493,2024-06-23T12:28:04Z,306492.44,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,nfhgfhg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
