observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
3883f,Introduction general,canvas.Screen,0,weiter,keypress(q),response,25935.94,538,535.4,552.06,26488,26513,2023-07-27T18:12:25Z,26515.3,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/encoding_immediate/index.html?vp=174&sess=3,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,Win32,de,de-CH,Europe/Zurich,-120,1280,720,1280,587,1280,587,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
3883f,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,6597.7,26515,26514.82,26515.3,33113,33130,2023-07-27T18:12:31Z,33131.04,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3883f,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,33130,NA,NA,33113,33131,2023-07-27T18:12:31Z,33131.04,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3883f,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,7252.96,33131,33130.82,33131.04,40384,40384,2023-07-27T18:12:38Z,40380.32,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3883f,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,40388,NA,NA,40384,40388,2023-07-27T18:12:38Z,40380.32,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3883f,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,4999.28,40390,40349.92,40380.32,45362.94,45365,2023-07-27T18:12:43Z,45379.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3883f,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,12231.9,33131,33130.82,33131.04,45362.94,45366,2023-07-27T18:12:43Z,45379.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3883f,task,flow.Sequence,1_1_0,NA,NA,completion,12231.9,33130,33130.82,33131.04,45362.94,45366,2023-07-27T18:12:43Z,45379.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3883f,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,5699.4,45367,45362.94,45379.6,51079,51080,2023-07-27T18:12:49Z,51078.92,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,jhl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3883f,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,51084,NA,NA,51079,51084,2023-07-27T18:12:49Z,51078.92,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
