observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
1dd15,Introduction general,canvas.Screen,0,weiter,keypress(q),response,70613.84,561,570.54,587.16,71201,71222,2023-09-27T15:25:46Z,71222.72,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/encoding_immediate/index.html?vp=182&sess=1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,Win32,de,de-CH,Europe/Zurich,-120,1280,720,1280,587,1280,587,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
1dd15,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,10196.28,71223,71222.56,71222.72,81419,81436,2023-09-27T15:25:56Z,81443.68,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1dd15,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,16360.32,81438,81438.2,81443.68,97804,97804,2023-09-27T15:26:12Z,97808.16,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,gztre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1dd15,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,97812,NA,NA,97804,97812,2023-09-27T15:26:12Z,97808.16,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1dd15,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4999.42,97815,97802.58,97808.16,102790.86,102793,2023-09-27T15:26:17Z,102807.58,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1dd15,deep,flow.Sequence,1_1_0_0,NA,NA,completion,21347.18,81438,81438.2,81443.68,102790.86,102793,2023-09-27T15:26:17Z,102807.58,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1dd15,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,102794,NA,NA,102790.86,102794,2023-09-27T15:26:17Z,102807.58,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1dd15,task,flow.Sequence,1_1_0,NA,NA,completion,21347.18,81438,81438.2,81443.68,102790.86,102795,2023-09-27T15:26:17Z,102807.58,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1dd15,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,102796,NA,NA,102790.86,102796,2023-09-27T15:26:17Z,102807.58,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1dd15,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,12042.42,102797,102790.86,102807.58,114850,114851,2023-09-27T15:26:29Z,114855.98,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,dereva,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
