observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
dd49f,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,6822.2099999523,2065.8999999762,2078.806,2112.09,8934.2999999523,8938.6999999285,2023-12-04T21:57:56Z,8939.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,191,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed/index.html?vp=191&sess=4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0",Win32,de,de-CH,Europe/Zurich,-60,1280,720,1272,564,1272,564,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
dd49f,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,26386.244000024,8939.1999999285,8922.975,8939.856,35326.100000024,35327.799999952,2023-12-04T21:58:22Z,35334.863,Prüfung,mtihani,s,mkulima,mtizamo,ufumbuzi,a,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.502,35330.699999928,35318.147,35334.863,35817.722,35819,2023-12-04T21:58:23Z,35834.365,Prüfung,mtihani,s,mkulima,mtizamo,ufumbuzi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,deep,flow.Sequence,1_0_0,NA,NA,completion,26877.866,8939.1999999285,8922.975,8939.856,35817.722,35819.5,2023-12-04T21:58:23Z,35834.365,Prüfung,mtihani,s,mkulima,mtizamo,ufumbuzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,task,flow.Sequence,1_0,NA,NA,completion,26877.866,8939.1999999285,8922.975,8939.856,35817.722,35819.699999928,2023-12-04T21:58:23Z,35834.365,Prüfung,mtihani,s,mkulima,mtizamo,ufumbuzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,5428.5349999762,35820.100000024,35817.722,35834.365,41262.899999976,41263.899999976,2023-12-04T21:58:28Z,41263.263,Kreativität,ubunifu,s,mratibu,mwendelezo,makubaliano,a,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499.58,41266.100000024,41246.844,41263.263,41746.212,41747.199999928,2023-12-04T21:58:29Z,41762.843,Kreativität,ubunifu,s,mratibu,mwendelezo,makubaliano,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,deep,flow.Sequence,1_1_0,NA,NA,completion,5911.847,35819.899999976,35817.722,35834.365,41746.212,41747.600000024,2023-12-04T21:58:29Z,41762.843,Kreativität,ubunifu,s,mratibu,mwendelezo,makubaliano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,task,flow.Sequence,1_1,NA,NA,completion,5911.847,35819.899999976,35817.722,35834.365,41746.212,41747.899999976,2023-12-04T21:58:29Z,41762.843,Kreativität,ubunifu,s,mratibu,mwendelezo,makubaliano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,8085.157,41748.399999976,41746.212,41762.843,49848,49849.299999952,2023-12-04T21:58:37Z,49856.198,Verzögerung,kuchelewa,d,mwakilishi,mwanauchumi,jaribio,a,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,499.57900000001,49851.100000024,49839.514,49856.198,50339.169,50340.5,2023-12-04T21:58:37Z,50355.777,Verzögerung,kuchelewa,d,mwakilishi,mwanauchumi,jaribio,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,deep,flow.Sequence,1_2_0,NA,NA,completion,8576.326,41748.299999952,41746.212,41762.843,50339.169,50340.899999976,2023-12-04T21:58:37Z,50355.777,Verzögerung,kuchelewa,d,mwakilishi,mwanauchumi,jaribio,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,task,flow.Sequence,1_2,NA,NA,completion,8576.326,41748.199999928,41746.212,41762.843,50339.169,50341.199999928,2023-12-04T21:58:37Z,50355.777,Verzögerung,kuchelewa,d,mwakilishi,mwanauchumi,jaribio,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,3396.6229999762,50341.399999976,50339.169,50355.777,53752.399999976,53753.5,2023-12-04T21:58:41Z,53752.94,Können,unaweza,s,kiongozi,bustani,mienendo,a,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,499.673,53755.399999976,53736.366,53752.94,54235.919,54236.899999976,2023-12-04T21:58:41Z,54252.613,Können,unaweza,s,kiongozi,bustani,mienendo,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,deep,flow.Sequence,1_3_0,NA,NA,completion,3880.142,50341.399999976,50339.169,50355.777,54235.919,54237.299999952,2023-12-04T21:58:41Z,54252.613,Können,unaweza,s,kiongozi,bustani,mienendo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,task,flow.Sequence,1_3,NA,NA,completion,3880.142,50341.299999952,50339.169,50355.777,54235.919,54237.600000024,2023-12-04T21:58:41Z,54252.613,Können,unaweza,s,kiongozi,bustani,mienendo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Deep Question,html.Page,1_4_0_0,NA,NA,form submission,17122.186999952,54237.899999976,54235.919,54252.613,71374.799999952,71375.799999952,2023-12-04T21:58:58Z,71405.152,Sänger,mwimbaji,s,msichana,shughuli,mshirika,makele,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Save data screen,canvas.Screen,1_4_0_1,NA,NA,timeout,499.643,71381.899999976,71371.845,71405.152,71888.108,71889,2023-12-04T21:58:59Z,71904.795,Sänger,mwimbaji,s,msichana,shughuli,mshirika,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,deep,flow.Sequence,1_4_0,NA,NA,completion,17635.495,54237.799999952,54235.919,54252.613,71888.108,71889.399999976,2023-12-04T21:58:59Z,71904.795,Sänger,mwimbaji,s,msichana,shughuli,mshirika,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,task,flow.Sequence,1_4,NA,NA,completion,17635.495,54237.799999952,54235.919,54252.613,71888.108,71889.600000024,2023-12-04T21:58:59Z,71904.795,Sänger,mwimbaji,s,msichana,shughuli,mshirika,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Deep Question,html.Page,1_5_0_0,NA,NA,form submission,222414.00499995,71889.799999952,71888.108,71904.795,294318.79999995,294320.29999995,2023-12-04T22:02:41Z,294321.873,Kanzler,diwani,d,rasilmali,mahitaji,maabudu,divino,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Save data screen,canvas.Screen,1_5_0_1,NA,NA,timeout,499.71399999998,294325.29999995,294305.221,294321.873,294804.81,294805.79999995,2023-12-04T22:02:42Z,294821.587,Kanzler,diwani,d,rasilmali,mahitaji,maabudu,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,deep,flow.Sequence,1_5_0,NA,NA,completion,222900.015,71889.799999952,71888.108,71904.795,294804.81,294806.10000002,2023-12-04T22:02:42Z,294821.587,Kanzler,diwani,d,rasilmali,mahitaji,maabudu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,task,flow.Sequence,1_5,NA,NA,completion,222900.015,71889.699999928,71888.108,71904.795,294804.81,294806.29999995,2023-12-04T22:02:42Z,294821.587,Kanzler,diwani,d,rasilmali,mahitaji,maabudu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Deep Question,html.Page,1_6_0_0,NA,NA,form submission,29068.413,294806.60000002,294804.81,294821.587,323890,323891,2023-12-04T22:03:11Z,323897.546,Körper,kiwiliwili,d,mapambano,mpatanishi,kiolezo,mkele,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Save data screen,canvas.Screen,1_6_0_1,NA,NA,timeout,499.56900000002,323896.5,323880.871,323897.546,324380.506,324381.79999995,2023-12-04T22:03:11Z,324397.115,Körper,kiwiliwili,d,mapambano,mpatanishi,kiolezo,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,deep,flow.Sequence,1_6_0,NA,NA,completion,29558.919,294806.5,294804.81,294821.587,324380.506,324382.10000002,2023-12-04T22:03:11Z,324397.115,Körper,kiwiliwili,d,mapambano,mpatanishi,kiolezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,task,flow.Sequence,1_6,NA,NA,completion,29558.919,294806.39999998,294804.81,294821.587,324380.506,324382.39999998,2023-12-04T22:03:11Z,324397.115,Körper,kiwiliwili,d,mapambano,mpatanishi,kiolezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Deep Question,html.Page,1_7_0_0,NA,NA,form submission,86118.485000024,324382.5,324380.506,324397.115,410515.60000002,410516.60000002,2023-12-04T22:04:38Z,410526.33,Abrechnung,uhasibu,d,kusahihisha,mpambano,mashambulizi,nyuseza,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Save data screen,canvas.Screen,1_7_0_1,NA,NA,timeout,499.53700000001,410521.60000002,410509.691,410526.33,411009.29,411010.39999998,2023-12-04T22:04:38Z,411025.867,Abrechnung,uhasibu,d,kusahihisha,mpambano,mashambulizi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,deep,flow.Sequence,1_7_0,NA,NA,completion,86612.175,324382.5,324380.506,324397.115,411009.29,411010.69999993,2023-12-04T22:04:38Z,411025.867,Abrechnung,uhasibu,d,kusahihisha,mpambano,mashambulizi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,task,flow.Sequence,1_7,NA,NA,completion,86612.175,324382.5,324380.506,324397.115,411009.29,411010.89999998,2023-12-04T22:04:38Z,411025.867,Abrechnung,uhasibu,d,kusahihisha,mpambano,mashambulizi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Deep Question,html.Page,1_8_0_0,NA,NA,form submission,9868.633,411011.10000002,411009.29,411025.867,420894.5,420895.29999995,2023-12-04T22:04:48Z,420901.115,Kultur,utamaduni,d,shetani,gerezani,mazingira,mbele,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,Save data screen,canvas.Screen,1_8_0_1,NA,NA,timeout,499.79000000004,420899.60000002,420884.475,420901.115,421384.091,421385.10000002,2023-12-04T22:04:48Z,421400.905,Kultur,utamaduni,d,shetani,gerezani,mazingira,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dd49f,deep,flow.Sequence,1_8_0,NA,NA,completion,10358.224,411011.10000002,411009.29,411025.867,421384.091,421385.5,2023-12-04T22:04:48Z,421400.905,Kultur,utamaduni,d,shetani,gerezani,mazingira,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
