observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
76d8c,Introduction general,canvas.Screen,0,weiter,keypress(q),response,81135.300000191,952.20000004768,2804.5,2838,83973.300000191,83976.900000095,2024-03-04T16:38:36Z,83988.3,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/encoding_immediate/index.html?vp=141&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-60,1739,979,1740,763,1740,811,1.1041666269302,production,f5b4a49f956347addd546a832a3327688c2c0fef
76d8c,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,7223.800000143,83977.100000143,83967.832,83988.3,91212.100000143,91212.700000048,2024-03-04T16:38:44Z,91217.1,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76d8c,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,21843.100000048,91212.800000191,91204.512,91217.1,113060.20000005,113060.5,2024-03-04T16:39:06Z,113070.4,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,hkjk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76d8c,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,113061.70000005,NA,NA,113060.20000005,113061.80000019001,2024-03-04T16:39:06Z,113070.4,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76d8c,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4997.6,113062.60000014,113054.996,113070.4,118050.8,118055.9000001,2024-03-04T16:39:11Z,118068,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76d8c,deep,flow.Sequence,1_1_0_0,NA,NA,completion,26833.7,91212.800000191,91204.512,91217.1,118050.8,118056.5,2024-03-04T16:39:11Z,118068,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76d8c,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,118056.70000005,NA,NA,118050.8,118056.9000001,2024-03-04T16:39:11Z,118068,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76d8c,task,flow.Sequence,1_1_0,NA,NA,completion,26833.7,91212.800000191,91204.512,91217.1,118050.8,118057.20000005,2024-03-04T16:39:11Z,118068,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76d8c,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,118057.30000019001,NA,NA,118050.8,118057.4000001,2024-03-04T16:39:11Z,118068,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76d8c,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,13143,118057.4000001,118050.8,118068,131211,131211.20000005,2024-03-04T16:39:24Z,131226.5,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
