observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
fae62,Introduction general,canvas.Screen,0,weiter,keypress(q),response,77500.5,258.5,102.1,268.6,77769.1,77775.8,2024-05-26T10:49:31Z,77774.172,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/encoding_immediate/index.html?vp=198&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-120,1536,864,1536,682,1536,730,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
fae62,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,8382.1279999998,77775.9,77774.172,77774.172,86156.3,86157.2,2024-05-26T10:49:39Z,86199.8,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fae62,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,13688.3,86157.6,86150.812,86199.8,99888.1,99888.3,2024-05-26T10:49:53Z,99907.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,kjdfhskjdh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fae62,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,99890.1,NA,NA,99888.1,99890.3,2024-05-26T10:49:53Z,99907.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fae62,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,5030.6,99891.8,99893.014,99907.9,104888.3,104893.4,2024-05-26T10:49:58Z,104938.5,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fae62,deep,flow.Sequence,1_1_0_0,NA,NA,completion,18688.5,86157.6,86150.812,86199.8,104888.3,104893.9,2024-05-26T10:49:58Z,104938.5,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fae62,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,104894.1,NA,NA,104888.3,104894.2,2024-05-26T10:49:58Z,104938.5,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fae62,task,flow.Sequence,1_1_0,NA,NA,completion,18688.5,86157.5,86150.812,86199.8,104888.3,104894.3,2024-05-26T10:49:58Z,104938.5,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fae62,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,6557.3999999999,104894.3,104888.3,104938.5,111495.9,111496.2,2024-05-26T10:50:05Z,111500.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,sklafjlas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fae62,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,111499.6,NA,NA,111495.9,111499.7,2024-05-26T10:50:05Z,111500.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
