observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
ebf2b,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,3920.5000000477,681.80000001192,672.1,688.7,4609.2000000477,4611.7000000477,2024-05-02T14:31:20Z,4621.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,226,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/delayed/index.html?vp=226&sess=2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Win32,it-IT,it,Europe/Zurich,-120,1536,864,1536,630,1536,678,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
ebf2b,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,6342.7000000238,4612,4605.4,4621.9,10964.600000024,10964.900000036,2024-05-02T14:31:26Z,10971.8,Körper,kiwiliwili,d,mapambano,mpatanishi,kiolezo,kiwiliwili,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebf2b,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.8,10965.700000048,10955.3,10971.8,11454.9,11457,2024-05-02T14:31:27Z,11471.6,Körper,kiwiliwili,d,mapambano,mpatanishi,kiolezo,NA,NA,1,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebf2b,deep,flow.Sequence,1_0_0,NA,NA,completion,6833,4612,4605.4,4621.9,11454.9,11457.100000024,2024-05-02T14:31:27Z,11471.6,Körper,kiwiliwili,d,mapambano,mpatanishi,kiolezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebf2b,task,flow.Sequence,1_0,NA,NA,completion,6833,4612,4605.4,4621.9,11454.9,11457.200000048,2024-05-02T14:31:27Z,11471.6,Körper,kiwiliwili,d,mapambano,mpatanishi,kiolezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebf2b,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,9222.6000000477,11457.200000048,11454.9,11471.6,20694.200000048,20694.400000036,2024-05-02T14:31:36Z,20704.7,Kreativität,ubunifu,s,mratibu,mwendelezo,makubaliano,kiwiti,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebf2b,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500,20695,20688.398,20704.7,21188.1,21188.700000048,2024-05-02T14:31:37Z,21204.7,Kreativität,ubunifu,s,mratibu,mwendelezo,makubaliano,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebf2b,deep,flow.Sequence,1_1_0,NA,NA,completion,9716.5,11457.200000048,11454.9,11471.6,21188.1,21188.800000012,2024-05-02T14:31:37Z,21204.7,Kreativität,ubunifu,s,mratibu,mwendelezo,makubaliano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebf2b,task,flow.Sequence,1_1,NA,NA,completion,9716.5,11457.200000048,11454.9,11471.6,21188.1,21188.900000036,2024-05-02T14:31:37Z,21204.7,Kreativität,ubunifu,s,mratibu,mwendelezo,makubaliano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebf2b,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,14054.200000036,21188.900000036,21188.1,21204.7,35258.900000036,35259.100000024,2024-05-02T14:31:51Z,35271,System,maongozi,s,chokochoko,nuksani,mitaani,ganesheo,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebf2b,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,500.1,35259.5,35254.6,35271,35754.5,35755.400000036,2024-05-02T14:31:51Z,35771.1,System,maongozi,s,chokochoko,nuksani,mitaani,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebf2b,deep,flow.Sequence,1_2_0,NA,NA,completion,14549.8,21188.900000036,21188.1,21204.7,35754.5,35755.800000012,2024-05-02T14:31:51Z,35771.1,System,maongozi,s,chokochoko,nuksani,mitaani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebf2b,task,flow.Sequence,1_2,NA,NA,completion,14549.8,21188.900000036,21188.1,21204.7,35754.5,35756,2024-05-02T14:31:51Z,35771.1,System,maongozi,s,chokochoko,nuksani,mitaani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebf2b,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,8815.2000000119,35756.200000048,35754.5,35771.1,44586.300000012,44586.5,2024-05-02T14:32:00Z,44587.394,Lawine,banguko,s,maambukizi,usuluhishi,chekechea,buriuu,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ebf2b,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,499.906,44587,44587.394,44587.394,45070.6,45071.100000024,2024-05-02T14:32:01Z,45087.3,Lawine,banguko,s,maambukizi,usuluhishi,chekechea,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
