observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
4e190,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,1469.9999999911,255.29999999702,267.7,284.4,1754.3999999911,1759.799999997,2024-06-11T16:00:03Z,1767.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,228,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/delayed/index.html?vp=228&sess=4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Win32,en-US,en-US,Europe/Zurich,-120,1920,1080,1920,871,1920,919,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
4e190,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,16713.2,1760.599999994,1751.4,1767.8,18481,18481.399999991,2024-06-11T16:00:20Z,18484.3,Toleranz,kuvumiliana,d,maombolezo,ujasusi,mchekeshaji,kinyongo,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500.1,18482.299999997,18467.958,18484.3,18968,18970.099999994,2024-06-11T16:00:20Z,18984.4,Toleranz,kuvumiliana,d,maombolezo,ujasusi,mchekeshaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,deep,flow.Sequence,1_0_0,NA,NA,completion,17200.2,1760.5,1751.4,1767.8,18968,18970.899999991,2024-06-11T16:00:20Z,18984.4,Toleranz,kuvumiliana,d,maombolezo,ujasusi,mchekeshaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,task,flow.Sequence,1_0,NA,NA,completion,17200.2,1760.5,1751.4,1767.8,18968,18971.399999991,2024-06-11T16:00:20Z,18984.4,Toleranz,kuvumiliana,d,maombolezo,ujasusi,mchekeshaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,5555.699999994,18971.799999997,18968,18984.4,24540.099999994,24540.299999997,2024-06-11T16:00:26Z,24551,Spionage,upelelezi,d,maslahi,utokazo,magangao,ka,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500.3,24541.200000003,24534.532,24551,25034.5,25036.599999994,2024-06-11T16:00:26Z,25051.3,Spionage,upelelezi,d,maslahi,utokazo,magangao,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,deep,flow.Sequence,1_1_0,NA,NA,completion,6050.1,18971.700000003,18968,18984.4,25034.5,25037.299999997,2024-06-11T16:00:26Z,25051.3,Spionage,upelelezi,d,maslahi,utokazo,magangao,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,task,flow.Sequence,1_1,NA,NA,completion,6050.1,18971.5,18968,18984.4,25034.5,25038,2024-06-11T16:00:26Z,25051.3,Spionage,upelelezi,d,maslahi,utokazo,magangao,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,27007.7,25038.399999991,25034.5,25051.3,52059,52059.299999997,2024-06-11T16:00:53Z,52067.5,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,foleni,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,500,52060.200000003,52051.312,52067.5,52550.8,52551.399999991,2024-06-11T16:00:54Z,52567.5,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,1,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,deep,flow.Sequence,1_2_0,NA,NA,completion,27499.5,25038.399999991,25034.5,25051.3,52550.8,52551.5,2024-06-11T16:00:54Z,52567.5,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,task,flow.Sequence,1_2,NA,NA,completion,27499.5,25038.299999997,25034.5,25051.3,52550.8,52551.599999994,2024-06-11T16:00:54Z,52567.5,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,12684.200000003,52551.700000003,52550.8,52567.5,65251.700000003,65252,2024-06-11T16:01:06Z,65267.5,Vergnügen,kichekesho,s,dubwana,mpanuko,mtesaji,kinyongo,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,500,65254.700000003,65251.258,65267.5,65751,65751.599999994,2024-06-11T16:01:07Z,65767.5,Vergnügen,kichekesho,s,dubwana,mpanuko,mtesaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,deep,flow.Sequence,1_3_0,NA,NA,completion,13183.5,52551.599999994,52550.8,52567.5,65751,65751.899999991,2024-06-11T16:01:07Z,65767.5,Vergnügen,kichekesho,s,dubwana,mpanuko,mtesaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,task,flow.Sequence,1_3,NA,NA,completion,13183.5,52551.599999994,52550.8,52567.5,65751,65752.200000003,2024-06-11T16:01:07Z,65767.5,Vergnügen,kichekesho,s,dubwana,mpanuko,mtesaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,Deep Question,html.Page,1_4_0_0,NA,NA,form submission,14027.799999997,65752.399999991,65751,65767.5,79795.299999997,79795.5,2024-06-11T16:01:21Z,79800.8,Wohlstand,mafanikio,d,chimbuko,kumbuko,mapwaji,ka,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4e190,Save data screen,canvas.Screen,1_4_0_1,NA,NA,timeout,499.89999999999,79797.799999997,79784.468,79800.8,80284,80284.5,2024-06-11T16:01:21Z,80300.7,Wohlstand,mafanikio,d,chimbuko,kumbuko,mapwaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
