observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
a9552,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,1834.8999999762,183.5,117.9,184.5,2019.3999999762,2022.2000000477,2024-02-23T08:13:59Z,2034.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,139,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/delayed/index.html?vp=139&sess=2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0",Win32,de,de-CH,Europe/Zurich,-60,1920,1080,1026,699,1026,747,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
a9552,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,26465.800000048,2022.8999999762,2018.046,2034.4,28500.200000048,28500.399999976,2024-02-23T08:14:26Z,28518.8,Symbol,kielezo,s,kinyume,nderemo,utayari,yaliyomo,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a9552,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.2,28500.899999976,28501.616,28518.8,29001.2,29002.5,2024-02-23T08:14:26Z,29018,Symbol,kielezo,s,kinyume,nderemo,utayari,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a9552,deep,flow.Sequence,1_0_0,NA,NA,completion,26966.8,2022.7999999523,2018.046,2034.4,29001.2,29002.799999952,2024-02-23T08:14:26Z,29018,Symbol,kielezo,s,kinyume,nderemo,utayari,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a9552,task,flow.Sequence,1_0,NA,NA,completion,26966.8,2022.7999999523,2018.046,2034.4,29001.2,29003,2024-02-23T08:14:26Z,29018,Symbol,kielezo,s,kinyume,nderemo,utayari,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a9552,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,18857.200000048,29003.200000048,29001.2,29018,47875.200000048,47875.399999976,2024-02-23T08:14:45Z,47884.4,Zufall,kikuti,s,kukosekana,uchoraji,leseni,ufungaj,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a9552,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500.2,47876.100000024,47868,47884.4,48367.9,48368.899999976,2024-02-23T08:14:46Z,48384.6,Zufall,kikuti,s,kukosekana,uchoraji,leseni,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a9552,deep,flow.Sequence,1_1_0,NA,NA,completion,19349.9,29003.200000048,29001.2,29018,48367.9,48369.200000048,2024-02-23T08:14:46Z,48384.6,Zufall,kikuti,s,kukosekana,uchoraji,leseni,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a9552,task,flow.Sequence,1_1,NA,NA,completion,19349.9,29003.100000024,29001.2,29018,48367.9,48369.399999976,2024-02-23T08:14:46Z,48384.6,Zufall,kikuti,s,kukosekana,uchoraji,leseni,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a9552,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,10851.699999952,48369.700000048,48367.9,48384.6,59236.299999952,59236.5,2024-02-23T08:14:56Z,59251.2,Gelegenheit,wakati,d,mchanganyiko,kipaumbele,kushuku,tahadari,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
