observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
91f6c,Introduction general,canvas.Screen,0,weiter,keypress(q),response,46574.499999999,697,1424.2,1440.7,48015.199999999,48019.5,2024-02-21T09:40:10Z,48029.1,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/encoding_immediate/index.html?vp=139&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-60,1739,979,1740,763,1740,811,1.1041666269302,production,f5b4a49f956347addd546a832a3327688c2c0fef
91f6c,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,7648.5999999993,48020.199999999,48010.9,48029.1,55677.699999999,55678.199999999,2024-02-21T09:40:17Z,55691.2,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91f6c,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,55678.300000001,NA,NA,55677.699999999,55678.4,2024-02-21T09:40:17Z,55691.2,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91f6c,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,9991.6000000007,55678.5,55677.994,55691.2,65682.800000001,65682.9,2024-02-21T09:40:27Z,65685.67,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,jokofu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91f6c,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,65689.199999999,NA,NA,65682.800000001,65689.4,2024-02-21T09:40:27Z,65685.67,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91f6c,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,4996.43,65690.5,65685.67,65685.67,70665.4,70670.4,2024-02-21T09:40:32Z,70682.1,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91f6c,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,14974.2,55678.5,55677.994,55691.2,70665.4,70670.9,2024-02-21T09:40:32Z,70682.1,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91f6c,task,flow.Sequence,1_1_0,NA,NA,completion,14974.2,55678.300000001,55677.994,55691.2,70665.4,70671.199999999,2024-02-21T09:40:32Z,70682.1,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91f6c,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,8316.0999999992,70671.4,70665.4,70682.1,78998.199999999,78998.5,2024-02-21T09:40:41Z,79010,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,ktara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91f6c,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,79002,NA,NA,78998.199999999,79002.199999999,2024-02-21T09:40:41Z,79010,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
