observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
f70a4,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,8422.92,1022,1460.66,1633.08,10056,10077,2024-06-03T17:04:02Z,10078.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,163,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/delayed/index.html?vp=163&sess=2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:126.0) Gecko/20100101 Firefox/126.0,Win32,de,de-CH,Europe/Zurich,-120,1280,800,1280,591,1280,639,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
f70a4,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,4650.64,10078,10078.1,10078.36,14729,14730,2024-06-03T17:04:07Z,14739.22,Abrechnung,uhasibu,d,kusahihisha,mpambano,mashambulizi,cgjhvgog,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f70a4,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,503.96,14734,14727.86,14739.22,15222.26,15234,2024-06-03T17:04:07Z,15243.18,Abrechnung,uhasibu,d,kusahihisha,mpambano,mashambulizi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f70a4,deep,flow.Sequence,1_0_0,NA,NA,completion,5143.9,10078,10078.1,10078.36,15222.26,15235,2024-06-03T17:04:07Z,15243.18,Abrechnung,uhasibu,d,kusahihisha,mpambano,mashambulizi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f70a4,task,flow.Sequence,1_0,NA,NA,completion,5143.9,10078,10078.1,10078.36,15222.26,15235,2024-06-03T17:04:07Z,15243.18,Abrechnung,uhasibu,d,kusahihisha,mpambano,mashambulizi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f70a4,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,5706.82,15235,15222.26,15243.18,20950,20950,2024-06-03T17:04:13Z,20964.98,Lawine,banguko,s,maambukizi,usuluhishi,chekechea,bfhgfejs,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f70a4,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499.78,20952,20948.8,20964.98,21448.12,21450,2024-06-03T17:04:14Z,21464.76,Lawine,banguko,s,maambukizi,usuluhishi,chekechea,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f70a4,deep,flow.Sequence,1_1_0,NA,NA,completion,6204.94,15235,15222.26,15243.18,21448.12,21450,2024-06-03T17:04:14Z,21464.76,Lawine,banguko,s,maambukizi,usuluhishi,chekechea,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f70a4,task,flow.Sequence,1_1,NA,NA,completion,6204.94,15235,15222.26,15243.18,21448.12,21450,2024-06-03T17:04:14Z,21464.76,Lawine,banguko,s,maambukizi,usuluhishi,chekechea,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f70a4,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,4095.24,21450,21448.12,21464.76,25560,25561,2024-06-03T17:04:18Z,25576,Kultur,utamaduni,d,shetani,gerezani,mazingira,cbhusgfuer,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
