id	 activity	 retrievalStrategy	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
101	 PA	 Deep	 1	 Deep	 Delayed	 ushahidi	 Beweis	 udhini	 0	 16.003413
101	 PA	 Deep	 2	 Shallow	 Delayed	 kielezo	 Symbol	 kaeledi	 0	 6.332985
101	 PA	 Deep	 3	 Shallow	 Delayed	 kikuti	 Zufall	 uhidu	 0	 12.586001
101	 PA	 Deep	 4	 Shallow	 Delayed	 kirembo	 Schönheit	 kilemo	 0	 5.885304
101	 PA	 Deep	 5	 Shallow	 Delayed	 usulubu	 Widerstand	 kiru	 0	 4.570746
101	 PA	 Deep	 6	 Shallow	 Delayed	 maegesho	 Annäherung	 adhane	 0	 4.379123
101	 PA	 Deep	 7	 Deep	 Delayed	 wakati	 Gelegenheit	 sushi	 0	 4.407765
101	 PA	 Deep	 8	 Shallow	 Delayed	 mapendano	 Sympathie	 klata	 0	 3.547539
101	 PA	 Deep	 9	 Deep	 Delayed	 msongora	 Polizist	 pulicyu	 0	 5.788722
101	 PA	 Deep	 10	 Deep	 Delayed	 ushindani	 Wettbewerb	 udhanifu	 0	 10.527533
101	 PA	 Deep	 11	 Shallow	 Delayed	 nyongeza	 Zuwachs	 farhi	 0	 2.798090
101	 PA	 Deep	 12	 Deep	 Delayed	 kutengwa	 Ausschluss	 laji	 0	 5.413468
101	 PA	 Deep	 13	 Deep	 Delayed	 mshindani	 Konkurrent	 kerreti	 0	 6.356070
101	 PA	 Deep	 14	 Shallow	 Delayed	 ufahamivu	 Verstand	 kysu	 0	 3.131636
101	 PA	 Deep	 15	 Deep	 Delayed	 uagizaji	 Auftrag	 kali	 0	 5.929205
101	 PA	 Deep	 16	 Deep	 Delayed	 tahadhari	 Vorsorge	 rachi	 0	 4.963665
101	 PA	 Shallow	 1	 Deep	 Delayed	 kutengwa	 Ausschluss	 kutengwa	 1	 13.775091
101	 PA	 Shallow	 2	 Deep	 Delayed	 wakati	 Gelegenheit	 wakati	 1	 8.893565
101	 PA	 Shallow	 3	 Shallow	 Delayed	 kikuti	 Zufall	 kikuti	 1	 12.212141
101	 PA	 Shallow	 4	 Shallow	 Delayed	 kirembo	 Schönheit	 kinyume	 0	 14.630000
101	 PA	 Shallow	 5	 Shallow	 Delayed	 kielezo	 Symbol	 kielezo	 1	 9.872672
101	 PA	 Shallow	 6	 Deep	 Delayed	 ushahidi	 Beweis	 ushahidi	 1	 14.212647
101	 PA	 Shallow	 7	 Shallow	 Delayed	 mapendano	 Sympathie	 jitihadi	 0	 10.499365
101	 PA	 Shallow	 8	 Deep	 Delayed	 msongora	 Polizist	 msongora	 1	 6.043283
101	 PA	 Shallow	 9	 Deep	 Delayed	 mshindani	 Konkurrent	 mshindani	 1	 7.544034
101	 PA	 Shallow	 10	 Shallow	 Delayed	 nyongeza	 Zuwachs	 nyongeza	 1	 8.069615
101	 PA	 Shallow	 11	 Shallow	 Delayed	 usulubu	 Widerstand	 hadhari	 0	 14.385882
101	 PA	 Shallow	 12	 Deep	 Delayed	 ushindani	 Wettbewerb	 ushindani	 1	 10.032751
101	 PA	 Shallow	 13	 Shallow	 Delayed	 maegesho	 Annäherung	 maegesho	 1	 6.760281
101	 PA	 Shallow	 14	 Deep	 Delayed	 uagizaji	 Auftrag	 uagizaji	 1	 5.339616
101	 PA	 Shallow	 15	 Shallow	 Delayed	 ufahamivu	 Verstand	 ufahamivu	 1	 7.216144
101	 PA	 Shallow	 16	 Deep	 Delayed	 tahadhari	 Vorsorge	 tahadhari	 1	 5.486209
