id	 activity	 block	 run	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
103	 Rest	 1	 1	 1	 Shallow	 Delayed	 kubadilika	 Flexibilität	 mshindwa	 0	 5.469124
103	 Rest	 1	 1	 2	 Deep	 Delayed	 ugeuzaji	 Wechsel	 rasaah	 0	 9.078946
103	 Rest	 1	 1	 3	 Shallow	 Immediate	 diwani	 Kanzler	 chipukizi	 0	 2.755063
103	 Rest	 1	 1	 4	 Deep	 Immediate	 mshambulizi	 Angreifer	 raseh	 0	 3.393234
103	 Rest	 1	 1	 5	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 5.466744
103	 Rest	 1	 1	 6	 Deep	 Immediate	 mwimbaji	 Sänger	 cantar	 0	 5.405794
103	 Rest	 1	 1	 7	 Shallow	 Delayed	 angahewa	 Atmosphäre	 usikilivu	 0	 4.652088
103	 Rest	 1	 1	 8	 Deep	 Delayed	 ukarabati	 Erneuerung	 renuah	 0	 4.114476
103	 Rest	 1	 2	 1	 Deep	 Delayed	 ugeuzaji	 Wechsel	 umauh	 0	 11.338862
103	 Rest	 1	 2	 2	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 6.829971
103	 Rest	 1	 2	 3	 Deep	 Delayed	 ukarabati	 Erneuerung	 mwashaji	 0	 7.795795
103	 Rest	 1	 2	 4	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 2.111820
103	 Rest	 1	 2	 5	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 2.206842
103	 Rest	 1	 2	 6	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 3.855457
103	 Rest	 1	 2	 7	 Deep	 Immediate	 mwimbaji	 Sänger	 mkaji	 0	 14.149557
103	 Rest	 1	 2	 8	 Deep	 Immediate	 mshambulizi	 Angreifer	 a	 0	 13.189371
103	 Rest	 1	 3	 1	 Deep	 Immediate	 mwimbaji	 Sänger	 mkahhij	 0	 9.104746
103	 Rest	 1	 3	 2	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 3.133195
103	 Rest	 1	 3	 3	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 2.534233
103	 Rest	 1	 3	 4	 Deep	 Immediate	 mshambulizi	 Angreifer	 mwarushi	 0	 8.172841
103	 Rest	 1	 3	 5	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.259816
103	 Rest	 1	 3	 6	 Deep	 Delayed	 ugeuzaji	 Wechsel	 cam	 0	 2.474927
103	 Rest	 1	 3	 7	 Deep	 Delayed	 ukarabati	 Erneuerung	 reuni	 0	 2.884683
103	 Rest	 1	 3	 8	 Shallow	 Delayed	 kubadilika	 Flexibilität	 mshindwa	 0	 3.379563
103	 Rest	 1	 4	 1	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 4.757178
103	 Rest	 1	 4	 2	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 4.765644
103	 Rest	 1	 4	 3	 Deep	 Immediate	 mwimbaji	 Sänger	 mrakji	 0	 10.008800
103	 Rest	 1	 4	 4	 Deep	 Immediate	 mshambulizi	 Angreifer	 marwpolisu	 0	 13.912920
103	 Rest	 1	 4	 5	 Deep	 Delayed	 ukarabati	 Erneuerung	 r	 0	 4.092155
103	 Rest	 1	 4	 6	 Deep	 Delayed	 ugeuzaji	 Wechsel	 mkarji	 0	 11.006952
103	 Rest	 1	 4	 7	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 2.957064
103	 Rest	 1	 4	 8	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.588075
103	 Rest	 1	 5	 1	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.440527
103	 Rest	 1	 5	 2	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 4.465208
103	 Rest	 1	 5	 3	 Deep	 Immediate	 mwimbaji	 Sänger	 mwarasji	 0	 10.877750
103	 Rest	 1	 5	 4	 Deep	 Immediate	 mshambulizi	 Angreifer	 habipolisu	 0	 9.465923
103	 Rest	 1	 5	 5	 Deep	 Delayed	 ukarabati	 Erneuerung	 mwahrji	 0	 5.818920
103	 Rest	 1	 5	 6	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 6.537623
103	 Rest	 1	 5	 7	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 2.515442
103	 Rest	 1	 5	 8	 Deep	 Delayed	 ugeuzaji	 Wechsel	 sharibu	 0	 9.167011
103	 Rest	 1	 6	 1	 Deep	 Immediate	 mwimbaji	 Sänger	 mwarji	 0	 16.453817
103	 Rest	 1	 6	 2	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.169271
103	 Rest	 1	 6	 3	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 3.647934
103	 Rest	 1	 6	 4	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 2.023606
103	 Rest	 1	 6	 5	 Deep	 Immediate	 mshambulizi	 Angreifer	 mshumbulizu	 0	 12.382596
103	 Rest	 1	 6	 6	 Deep	 Delayed	 ugeuzaji	 Wechsel	 msharij	 0	 3.669807
103	 Rest	 1	 6	 7	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 3.438891
103	 Rest	 1	 6	 8	 Deep	 Delayed	 ukarabati	 Erneuerung	 mshharji	 0	 5.040163
103	 Rest	 1	 7	 1	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 3.007568
103	 Rest	 1	 7	 2	 Deep	 Immediate	 mwimbaji	 Sänger	 mwashji	 0	 12.124437
103	 Rest	 1	 7	 3	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 3.615249
103	 Rest	 1	 7	 4	 Deep	 Delayed	 ukarabati	 Erneuerung	 mshaji	 0	 17.975456
103	 Rest	 1	 7	 5	 Deep	 Delayed	 ugeuzaji	 Wechsel	 usharji	 0	 6.267272
103	 Rest	 1	 7	 6	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 1.733116
103	 Rest	 1	 7	 7	 Deep	 Immediate	 mshambulizi	 Angreifer	 mshambulize	 0	 13.522765
103	 Rest	 1	 7	 8	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.283660
103	 Rest	 1	 8	 1	 Deep	 Delayed	 ugeuzaji	 Wechsel	 unbutu	 0	 4.192427
103	 Rest	 1	 8	 2	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 2.255686
103	 Rest	 1	 8	 3	 Deep	 Immediate	 mwimbaji	 Sänger	 mwehji	 0	 15.181486
103	 Rest	 1	 8	 4	 Deep	 Delayed	 ukarabati	 Erneuerung	 uruguana	 0	 21.807834
103	 Rest	 1	 8	 5	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 1.753412
103	 Rest	 1	 8	 6	 Deep	 Immediate	 mshambulizi	 Angreifer	 mshambulizi	 1	 7.606122
103	 Rest	 1	 8	 7	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.768548
103	 Rest	 1	 8	 8	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 3.802563
103	 Rest	 1	 9	 1	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.208197
103	 Rest	 1	 9	 2	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 3.199337
103	 Rest	 1	 9	 3	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 2.980409
103	 Rest	 1	 9	 4	 Deep	 Immediate	 mshambulizi	 Angreifer	 mshambulizi	 1	 7.709918
103	 Rest	 1	 9	 5	 Deep	 Delayed	 ukarabati	 Erneuerung	 ubanisana	 0	 14.808104
103	 Rest	 1	 9	 6	 Deep	 Delayed	 ugeuzaji	 Wechsel	 ubuntu	 0	 3.782720
103	 Rest	 1	 9	 7	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 1.962058
103	 Rest	 1	 9	 8	 Deep	 Immediate	 mwimbaji	 Sänger	 mwsaji	 0	 15.960437
103	 Rest	 1	 10	 1	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 1.658014
103	 Rest	 1	 10	 2	 Deep	 Immediate	 mwimbaji	 Sänger	 mwimbaji	 1	 4.645883
103	 Rest	 1	 10	 3	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 3.638020
103	 Rest	 1	 10	 4	 Deep	 Delayed	 ugeuzaji	 Wechsel	 ukanibata	 0	 11.897248
103	 Rest	 1	 10	 5	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 2.551298
103	 Rest	 1	 10	 6	 Deep	 Delayed	 ukarabati	 Erneuerung	 ukanibata	 0	 5.313618
103	 Rest	 1	 10	 7	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.556778
103	 Rest	 1	 10	 8	 Deep	 Immediate	 mshambulizi	 Angreifer	 mshambulizi	 1	 6.337742
103	 Rest	 1	 11	 1	 Deep	 Delayed	 ukarabati	 Erneuerung	 uawjizi	 0	 26.671970
103	 Rest	 1	 11	 2	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 4.934830
103	 Rest	 1	 11	 3	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 1.731533
103	 Rest	 1	 11	 4	 Deep	 Immediate	 mshambulizi	 Angreifer	 mshambulizi	 1	 5.600033
103	 Rest	 1	 11	 5	 Deep	 Delayed	 ugeuzaji	 Wechsel	 ukaribatu	 0	 3.443985
103	 Rest	 1	 11	 6	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 2.779531
103	 Rest	 1	 11	 7	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.163863
103	 Rest	 1	 11	 8	 Deep	 Immediate	 mwimbaji	 Sänger	 mwmhji	 0	 24.658239
103	 Rest	 1	 12	 1	 Deep	 Immediate	 mshambulizi	 Angreifer	 mshambolizi	 0	 7.808054
103	 Rest	 1	 12	 2	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 2.213790
103	 Rest	 1	 12	 3	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 2.001834
103	 Rest	 1	 12	 4	 Deep	 Delayed	 ugeuzaji	 Wechsel	 ukaribatu	 0	 6.951481
103	 Rest	 1	 12	 5	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 1.700457
103	 Rest	 1	 12	 6	 Deep	 Immediate	 mwimbaji	 Sänger	 mwimbaji	 1	 10.037963
103	 Rest	 1	 12	 7	 Deep	 Delayed	 ukarabati	 Erneuerung	 ugasaji	 0	 4.238328
103	 Rest	 1	 12	 8	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.376020
103	 Rest	 1	 13	 1	 Deep	 Immediate	 mshambulizi	 Angreifer	 mshambulizi	 1	 5.441269
103	 Rest	 1	 13	 2	 Deep	 Delayed	 ugeuzaji	 Wechsel	 ugasaji	 0	 5.456001
103	 Rest	 1	 13	 3	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 2.686931
103	 Rest	 1	 13	 4	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 3.041926
103	 Rest	 1	 13	 5	 Deep	 Immediate	 mwimbaji	 Sänger	 mwimbaji	 1	 4.870652
103	 Rest	 1	 13	 6	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.235900
103	 Rest	 1	 13	 7	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 2.685943
103	 Rest	 1	 13	 8	 Deep	 Delayed	 ukarabati	 Erneuerung	 ukaribatu	 0	 4.192562
103	 Rest	 1	 14	 1	 Deep	 Delayed	 ukarabati	 Erneuerung	 ukarabati	 1	 2.167237
103	 Rest	 1	 14	 2	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 2.042877
103	 Rest	 1	 14	 3	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.180090
103	 Rest	 1	 14	 4	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 1.177385
103	 Rest	 1	 14	 5	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 3.003485
103	 Rest	 1	 14	 6	 Deep	 Immediate	 mwimbaji	 Sänger	 mwimbji	 0	 5.172731
103	 Rest	 1	 14	 7	 Deep	 Immediate	 mshambulizi	 Angreifer	 mshambulizi	 1	 4.627557
103	 Rest	 1	 14	 8	 Deep	 Delayed	 ugeuzaji	 Wechsel	 ugewaji	 0	 19.547317
103	 Rest	 1	 15	 1	 Deep	 Delayed	 ugeuzaji	 Wechsel	 ugeuzaji	 1	 3.623339
103	 Rest	 1	 15	 2	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 1.798116
103	 Rest	 1	 15	 3	 Deep	 Immediate	 mwimbaji	 Sänger	 mwimbaji	 1	 6.035689
103	 Rest	 1	 15	 4	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.207403
103	 Rest	 1	 15	 5	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 2.172255
103	 Rest	 1	 15	 6	 Deep	 Delayed	 ukarabati	 Erneuerung	 ukaribatu	 0	 5.512050
103	 Rest	 1	 15	 7	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 1.374592
103	 Rest	 1	 15	 8	 Deep	 Immediate	 mshambulizi	 Angreifer	 mshambulizi	 1	 5.026270
103	 Rest	 2	 1	 1	 Deep	 Immediate	 ubunifu	 Kreativität	 kreatji	 0	 7.952024
103	 Rest	 2	 1	 2	 Shallow	 Delayed	 kinyongo	 Stimmung	 husiano	 0	 1.664357
103	 Rest	 2	 1	 3	 Deep	 Delayed	 heshima	 Respekt	 garsuh	 0	 3.611031
103	 Rest	 2	 1	 4	 Deep	 Immediate	 unaweza	 Können	 hushu	 0	 4.004008
103	 Rest	 2	 1	 5	 Shallow	 Delayed	 mdanganyifu	 Betrüger	 mwanamuziki	 0	 3.551367
103	 Rest	 2	 1	 6	 Deep	 Delayed	 urekebisho	 Orientierung	 ragatu	 0	 5.520687
103	 Rest	 2	 1	 7	 Shallow	 Immediate	 kuhatarisha	 Gefährdung	 kufunga	 0	 2.247324
103	 Rest	 2	 1	 8	 Shallow	 Immediate	 kudhibiti	 Kontrolle	 kudhibiti	 1	 2.543766
103	 Rest	 2	 2	 1	 Shallow	 Delayed	 kinyongo	 Stimmung	 kinyongo	 1	 4.992791
103	 Rest	 2	 2	 2	 Shallow	 Delayed	 mdanganyifu	 Betrüger	 mdanganyifu	 1	 3.334830
103	 Rest	 2	 2	 3	 Deep	 Delayed	 heshima	 Respekt	 hasai	 0	 4.447336
103	 Rest	 2	 2	 4	 Deep	 Immediate	 unaweza	 Können	 	 0	 2.457517
103	 Rest	 2	 2	 5	 Shallow	 Immediate	 kuhatarisha	 Gefährdung	 kuhatarisha	 1	 4.407220
103	 Rest	 2	 2	 6	 Deep	 Immediate	 ubunifu	 Kreativität	 ubunt	 0	 4.927124
103	 Rest	 2	 2	 7	 Deep	 Delayed	 urekebisho	 Orientierung	 	 0	 1.599239
103	 Rest	 2	 2	 8	 Shallow	 Immediate	 kudhibiti	 Kontrolle	 kudhibiti	 1	 2.862950
