id	 activity	 retrievalStrategy	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
104	 PA	 Deep	 1	 Deep	 Delayed	 uadilifu	 Integrität	 uakifi	 0	 36.169574
104	 PA	 Deep	 2	 Deep	 Delayed	 urekebisho	 Orientierung	 mbashikuke	 0	 37.964342
104	 PA	 Deep	 3	 Shallow	 Delayed	 angahewa	 Atmosphäre	 feyahani	 0	 8.651798
104	 PA	 Deep	 4	 Deep	 Delayed	 kiwango	 Niveau	 	 0	 43.963486
104	 PA	 Deep	 5	 Shallow	 Delayed	 kukutana	 Begegnung	 	 0	 33.428957
104	 PA	 Deep	 6	 Shallow	 Delayed	 idhini	 Genehmigung	 	 0	 49.771442
104	 PA	 Deep	 7	 Shallow	 Delayed	 kubadilika	 Flexibilität	 	 0	 23.723677
104	 PA	 Deep	 8	 Deep	 Delayed	 ukarabati	 Erneuerung	 	 0	 16.445319
104	 PA	 Deep	 9	 Deep	 Delayed	 karatasi	 Papier	 	 0	 37.532371
104	 PA	 Deep	 10	 Shallow	 Delayed	 kinyongo	 Stimmung	 	 0	 6.137495
104	 PA	 Deep	 11	 Shallow	 Delayed	 maendeleo	 Entwicklung	 	 0	 13.691836
104	 PA	 Deep	 12	 Deep	 Delayed	 ugeuzaji	 Wechsel	 mbugha	 0	 30.828283
104	 PA	 Deep	 13	 Shallow	 Delayed	 mdanganyifu	 Betrüger	 mbahuijza	 0	 38.269525
104	 PA	 Deep	 14	 Deep	 Delayed	 heshima	 Respekt	 	 0	 8.076788
104	 PA	 Deep	 15	 Deep	 Delayed	 mshakiki	 Fleisch	 farikiki	 0	 9.823682
104	 PA	 Deep	 16	 Shallow	 Delayed	 mashtaka	 Vorwurf	 	 0	 5.101145
104	 PA	 Shallow	 1	 Deep	 Delayed	 urekebisho	 Orientierung	 uelekeo	 0	 21.297519
104	 PA	 Shallow	 2	 Shallow	 Delayed	 mashtaka	 Vorwurf	 mashtaka	 1	 4.710660
104	 PA	 Shallow	 3	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 18.320243
104	 PA	 Shallow	 4	 Deep	 Delayed	 mshakiki	 Fleisch	 mshakiki	 1	 4.658769
104	 PA	 Shallow	 5	 Deep	 Delayed	 kiwango	 Niveau	 kiwango	 1	 8.219658
104	 PA	 Shallow	 6	 Shallow	 Delayed	 idhini	 Genehmigung	 idhini	 1	 9.132048
104	 PA	 Shallow	 7	 Shallow	 Delayed	 mdanganyifu	 Betrüger	 mwanamuziki	 0	 6.380495
104	 PA	 Shallow	 8	 Shallow	 Delayed	 kinyongo	 Stimmung	 kinyongo	 1	 5.663021
104	 PA	 Shallow	 9	 Shallow	 Delayed	 kukutana	 Begegnung	 kukutana	 1	 10.309277
104	 PA	 Shallow	 10	 Deep	 Delayed	 uadilifu	 Integrität	 ufanisi	 0	 14.639457
104	 PA	 Shallow	 11	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 6.922926
104	 PA	 Shallow	 12	 Deep	 Delayed	 ugeuzaji	 Wechsel	 ugeuzaji	 1	 7.686671
104	 PA	 Shallow	 13	 Deep	 Delayed	 ukarabati	 Erneuerung	 ukarabati	 1	 7.049578
104	 PA	 Shallow	 14	 Shallow	 Delayed	 maendeleo	 Entwicklung	 maendeleo	 1	 5.077273
104	 PA	 Shallow	 15	 Deep	 Delayed	 heshima	 Respekt	 heshima	 1	 13.341828
104	 PA	 Shallow	 16	 Deep	 Delayed	 karatasi	 Papier	 utunzaji	 0	 6.329661
