observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
3090d,Introduction general,canvas.Screen,0,weiter,keypress(q),response,2083724.733,1302,992.844,1342.467,2085067.2,2085077.2,2023-06-02T16:28:45Z,2085086.84,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/encoding_immediate/index.html?vp=215&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
3090d,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,24302.260000143,2085078,2085053.038,2085086.84,2109389.1000001,2109390.2,2023-06-02T16:29:10Z,2109413.854,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3090d,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,10003.646,2109390.7,2109387.761,2109413.854,2119417.5,2119417.8000002,2023-06-02T16:29:20Z,2119436.076,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3090d,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,2119418.9000001,NA,NA,2119417.5,2119419.1000001,2023-06-02T16:29:20Z,2119436.076,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3090d,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4999.736,2119420.1000001,2119407.144,2119436.076,2124419.399,2124425.2,2023-06-02T16:29:25Z,2124435.812,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3090d,deep,flow.Sequence,1_1_0_0,NA,NA,completion,15005.545,2109390.7,2109387.761,2109413.854,2124419.399,2124426.3000002,2023-06-02T16:29:25Z,2124435.812,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3090d,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,2124426.7,NA,NA,2124419.399,2124426.9000001,2023-06-02T16:29:25Z,2124435.812,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3090d,task,flow.Sequence,1_1_0,NA,NA,completion,15005.545,2109390.6000001,2109387.761,2109413.854,2124419.399,2124427.3000002,2023-06-02T16:29:25Z,2124435.812,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3090d,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,6210.0880000954,2124427.6000001,2124419.399,2124435.812,2130645.9000001,2130646.2,2023-06-02T16:29:31Z,2130666.249,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3090d,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,2130648.4000001,NA,NA,2130645.9000001,2130648.6000001,2023-06-02T16:29:31Z,2130666.249,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
