observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
88978,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,10141.42,9316,9317.92,9334.58,19476,19484,2023-06-02T06:14:49Z,19487.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,218,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/delayed/index.html?vp=218&sess=2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0,Win32,de,de-CH,Europe/Zurich,-120,1280,720,1280,531,1280,531,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
88978,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,28694.46,19487,19487.16,19487.54,48182,48182,2023-06-02T06:15:18Z,48185.96,System,maongozi,d,chokochoko,nuksani,mitaani,kielezi,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88978,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.68,48188,48180.8,48185.96,48668.98,48671,2023-06-02T06:15:18Z,48685.64,System,maongozi,d,chokochoko,nuksani,mitaani,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88978,deep,flow.Sequence,1_0_0,NA,NA,completion,29181.44,19487,19487.16,19487.54,48668.98,48672,2023-06-02T06:15:18Z,48685.64,System,maongozi,d,chokochoko,nuksani,mitaani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88978,task,flow.Sequence,1_0,NA,NA,completion,29181.44,19486,19487.16,19487.54,48668.98,48674,2023-06-02T06:15:18Z,48685.64,System,maongozi,d,chokochoko,nuksani,mitaani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88978,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,9612.36,48675,48668.98,48685.64,58298,58299,2023-06-02T06:15:28Z,58297.58,Übersicht,kilindo,s,mgusano,chipukizi,kulinganisha,fruh,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88978,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,496.34,58301,58297.2,58297.58,58777.26,58779,2023-06-02T06:15:28Z,58793.92,Übersicht,kilindo,s,mgusano,chipukizi,kulinganisha,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88978,deep,flow.Sequence,1_1_0,NA,NA,completion,10091.62,48675,48668.98,48685.64,58777.26,58781,2023-06-02T06:15:28Z,58793.92,Übersicht,kilindo,s,mgusano,chipukizi,kulinganisha,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88978,task,flow.Sequence,1_1,NA,NA,completion,10091.62,48675,48668.98,48685.64,58777.26,58782,2023-06-02T06:15:28Z,58793.92,Übersicht,kilindo,s,mgusano,chipukizi,kulinganisha,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88978,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,24665.08,58783,58777.26,58793.92,83459,83460,2023-06-02T06:15:53Z,83457.12,Kanzler,diwani,s,rasilmali,mahitaji,maabudu,madezi,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
