observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,german,swahili,enc,distractor1,distractor2,distractor3,x,correct,distractors
88c71,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,4162.474999994,1165.5,1094.259,1177.625,5340.099999994,5343.299999997,2023-07-12T19:51:06Z,5344.333,173,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed/index.html?vp=173&sess=2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-120,1280,720,1280,577,1280,577,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef,NA,NA,NA,NA,NA,NA,NA,NA,NA
88c71,Deep Question,html.Page,1_0_0_0,davini,NA,form submission,11990.167,5343.700000003,5327.663,5344.333,17334.5,17334.899999991,2023-07-12T19:51:18Z,17344.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Integrität,uadilifu,s,muungano,mtiririko,upunguaji,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500.062,17336.700000003,17327.86,17344.478,17827.84,17829.200000003,2023-07-12T19:51:18Z,17844.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Integrität,uadilifu,s,muungano,mtiririko,upunguaji,NA,0,NA
88c71,deep,flow.Sequence,1_0_0,NA,NA,completion,12483.507,5343.700000003,5327.663,5344.333,17827.84,17829.599999994,2023-07-12T19:51:18Z,17844.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Integrität,uadilifu,s,muungano,mtiririko,upunguaji,NA,NA,NA
88c71,task,flow.Sequence,1_0,NA,NA,completion,12483.507,5343.599999994,5327.663,5344.333,17827.84,17829.799999997,2023-07-12T19:51:18Z,17844.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Integrität,uadilifu,s,muungano,mtiririko,upunguaji,NA,NA,NA
88c71,Deep Question,html.Page,1_1_0_0,manu,NA,form submission,3672.059999994,17830,17827.84,17844.54,21516.599999994,21517.200000003,2023-07-12T19:51:22Z,21527.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stimmung,kinyongo,d,kilekile,kisambo,madhehebu,NA,NA,NA
88c71,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500.05,21518.899999991,21511.619,21527.886,22011.319,22012.099999994,2023-07-12T19:51:22Z,22027.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stimmung,kinyongo,d,kilekile,kisambo,madhehebu,NA,0,NA
88c71,deep,flow.Sequence,1_1_0,NA,NA,completion,4166.779,17830,17827.84,17844.54,22011.319,22012.299999997,2023-07-12T19:51:22Z,22027.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stimmung,kinyongo,d,kilekile,kisambo,madhehebu,NA,NA,NA
88c71,task,flow.Sequence,1_1,NA,NA,completion,4166.779,17829.899999991,17827.84,17844.54,22011.319,22012.599999994,2023-07-12T19:51:22Z,22027.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stimmung,kinyongo,d,kilekile,kisambo,madhehebu,NA,NA,NA
88c71,Deep Question,html.Page,1_2_0_0,d,NA,form submission,3735.064,22013,22011.319,22027.936,25763,25763.599999994,2023-07-12T19:51:26Z,25777.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Erneuerung,ukarabati,s,ushawishi,ukalifu,unyonyaji,NA,NA,NA
