observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
2c423,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,13066,381,383,408,13449,13461,2023-08-22T18:12:21Z,13490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,176,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed/index.html?vp=176&sess=4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",MacIntel,de-DE,de-DE,Europe/Zurich,-120,1440,900,1424,66,1440,797,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
2c423,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,14571,13461,13482,13490,28061,28061,2023-08-22T18:12:36Z,28091,Vorsorge,tahadhari,s,ufafanuzi,makini,mashambani,uluweza,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2c423,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500,28061,28074,28091,28574,28575,2023-08-22T18:12:36Z,28591,Vorsorge,tahadhari,s,ufafanuzi,makini,mashambani,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2c423,deep,flow.Sequence,1_0_0,NA,NA,completion,15084,13461,13482,13490,28574,28575,2023-08-22T18:12:36Z,28591,Vorsorge,tahadhari,s,ufafanuzi,makini,mashambani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2c423,task,flow.Sequence,1_0,NA,NA,completion,15084,13461,13482,13490,28574,28575,2023-08-22T18:12:36Z,28591,Vorsorge,tahadhari,s,ufafanuzi,makini,mashambani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2c423,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,7389,28575,28574,28591,35980,35980,2023-08-22T18:12:44Z,36008,Beweis,ushahidi,s,marudio,kizuizi,mtendaji,kutami,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2c423,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500,35981,35991,36008,36491,36495,2023-08-22T18:12:44Z,36508,Beweis,ushahidi,s,marudio,kizuizi,mtendaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2c423,deep,flow.Sequence,1_1_0,NA,NA,completion,7900,28575,28574,28591,36491,36496,2023-08-22T18:12:44Z,36508,Beweis,ushahidi,s,marudio,kizuizi,mtendaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2c423,task,flow.Sequence,1_1,NA,NA,completion,7900,28575,28574,28591,36491,36496,2023-08-22T18:12:44Z,36508,Beweis,ushahidi,s,marudio,kizuizi,mtendaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2c423,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,10557,36496,36491,36508,47065,47066,2023-08-22T18:12:55Z,47092,Ausschluss,kutengwa,s,ununuzi,taratibu,madeni,kumuiliana,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
