observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
a2475,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,2129.2020000015,125.30000000075,88.066,121.398,2250.6000000015,2255,2023-09-04T05:46:37Z,2254.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,178,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed/index.html?vp=178&sess=2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",MacIntel,de-DE,de,Europe/Zurich,-120,1440,900,1347,654,1347,702,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
a2475,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,1191.0539999993,2255.3999999985,2237.98,2254.646,3445.6999999993,3446.1999999993,2023-09-04T05:46:38Z,3454.598,Entwicklung,maendeleo,d,uangavu,mshindwa,badiliko,sdf,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a2475,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.98,3447.3999999985,3437.932,3454.598,3937.912,3941.3999999985,2023-09-04T05:46:39Z,3954.578,Entwicklung,maendeleo,d,uangavu,mshindwa,badiliko,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a2475,deep,flow.Sequence,1_0_0,NA,NA,completion,1683.266,2255.3999999985,2237.98,2254.646,3937.912,3941.8999999985,2023-09-04T05:46:39Z,3954.578,Entwicklung,maendeleo,d,uangavu,mshindwa,badiliko,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a2475,task,flow.Sequence,1_0,NA,NA,completion,1683.266,2255.3000000007,2237.98,2254.646,3937.912,3942.1999999993,2023-09-04T05:46:39Z,3954.578,Entwicklung,maendeleo,d,uangavu,mshindwa,badiliko,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a2475,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,468.02200000149,3942.5,3937.912,3954.578,4422.6000000015,4423.1000000015,2023-09-04T05:46:39Z,4437.892,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,sdf,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a2475,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499.98,4424.1999999993,4421.226,4437.892,4921.206,4925.3999999985,2023-09-04T05:46:39Z,4937.872,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a2475,deep,flow.Sequence,1_1_0,NA,NA,completion,966.628,3942.3999999985,3937.912,3954.578,4921.206,4925.6999999993,2023-09-04T05:46:39Z,4937.872,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a2475,task,flow.Sequence,1_1,NA,NA,completion,966.628,3942.3000000007,3937.912,3954.578,4921.206,4925.8999999985,2023-09-04T05:46:39Z,4937.872,Flexibilität,kubadilika,d,enjini,usikilivu,hesabu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a2475,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,496.22800000149,4926.1999999993,4921.206,4937.872,5434.1000000015,5434.6999999993,2023-09-04T05:46:40Z,5437.852,Orientierung,urekebisho,s,uelekeo,marekebisho,utunzaji,sdf,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
