observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
b6922,Introduction general,canvas.Screen,0,weiter,keypress(q),response,97876.855999905,702.59999990463,492.068,708.744,98585.599999905,98590.200000048,2023-12-02T09:54:46Z,98609.175,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/encoding_immediate/index.html?vp=151&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0",Win32,de,de-CH,Europe/Zurich,-60,1920,1080,1872,910,1872,958,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
b6922,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,2008.5250000477,98590.700000048,98575.561,98609.175,100617.70000005,100618.5,2023-12-02T09:54:48Z,100625.506,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,100618.79999995,NA,NA,100617.70000005,100619.20000005,2023-12-02T09:54:48Z,100625.506,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,12058.894000095,100619.4000001,100608.886,100625.506,112684.4000001,112684.5999999,2023-12-02T09:55:00Z,112708.731,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,112685.79999995,NA,NA,112684.4000001,112686,2023-12-02T09:55:00Z,112708.731,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,5000.179,112686.9000001,112692.179,112708.731,117692.141,117695.79999995,2023-12-02T09:55:05Z,117708.91,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,17066.635,100619.29999995,100608.886,100625.506,117692.141,117696.20000005,2023-12-02T09:55:05Z,117708.91,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,task,flow.Sequence,1_1_0,NA,NA,completion,17066.635,100618.79999995,100608.886,100625.506,117692.141,117696.5,2023-12-02T09:55:05Z,117708.91,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,5181.8899999523,117696.70000005,117692.141,117708.91,122890.79999995,122891,2023-12-02T09:55:11Z,122892.039,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,wjkjold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,122893.20000005,NA,NA,122890.79999995,122893.5,2023-12-02T09:55:11Z,122892.039,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,"""Falsch""-Screen",canvas.Screen,1_1_1_0_2,NA,NA,timeout,5000.091,122894.29999995,122875.433,122892.039,127875.537,127876.29999995,2023-12-02T09:55:16Z,127892.13,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,deep,flow.Sequence,1_1_1_0,NA,NA,completion,10166.627,117696.5999999,117692.141,117708.91,127875.537,127876.70000005,2023-12-02T09:55:16Z,127892.13,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,shallow,flow.Sequence,1_1_1_1,NA,NA,skipped,NA,127876.79999995,NA,NA,127875.537,127877,2023-12-02T09:55:16Z,127892.13,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,task,flow.Sequence,1_1_1,NA,NA,completion,10166.627,117696.5999999,117692.141,117708.91,127875.537,127877.20000005,2023-12-02T09:55:16Z,127892.13,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,Deep Question,html.Page,1_1_2_0_0,NA,NA,form submission,5190.9699999046,127877.4000001,127875.537,127892.13,133083.0999999,133083.29999995,2023-12-02T09:55:21Z,133092.033,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,Schetto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,"""Richtig""-Screen",canvas.Screen,1_1_2_0_1,NA,NA,skipped,NA,133085.0999999,NA,NA,133083.0999999,133085.20000005,2023-12-02T09:55:21Z,133092.033,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,"""Falsch""-Screen",canvas.Screen,1_1_2_0_2,NA,NA,timeout,5000.178,133086.0999999,133075.484,133092.033,138075.54,138076.29999995,2023-12-02T09:55:26Z,138092.211,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,deep,flow.Sequence,1_1_2_0,NA,NA,completion,10183.41,127877.4000001,127875.537,127892.13,138075.54,138077.70000005,2023-12-02T09:55:26Z,138092.211,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b6922,shallow,flow.Sequence,1_1_2_1,NA,NA,skipped,NA,138077.79999995,NA,NA,138075.54,138077.9000001,2023-12-02T09:55:26Z,138092.211,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
