observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
ad3ee,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,4398,121,127,137,4525,4497,2023-01-10T21:58:00Z,4527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,105,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/delayed/?vp=105&sess=2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15",MacIntel,de-DE,de-DE,Europe/Zurich,-60,1440,900,1177,690,1177,738,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
ad3ee,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,12801,4498,4510,4527,17328,17329,2023-01-10T21:58:13Z,17360,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,kukuwiti,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ad3ee,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500,17330,17344,17360,17844,17845,2023-01-10T21:58:14Z,17860,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ad3ee,deep,flow.Sequence,1_0_0,NA,NA,completion,13317,4498,4510,4527,17844,17846,2023-01-10T21:58:14Z,17860,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ad3ee,task,flow.Sequence,1_0,NA,NA,completion,13317,4498,4510,4527,17844,17846,2023-01-10T21:58:14Z,17860,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ad3ee,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,9134,17846,17844,17860,26994,26995,2023-01-10T21:58:23Z,27027,Fleisch,mshakiki,d,kizunguzungu,mshikamano,angusho,mewnosesh,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ad3ee,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499,26997,27010,27027,27510,27511,2023-01-10T21:58:23Z,27526,Fleisch,mshakiki,d,kizunguzungu,mshikamano,angusho,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ad3ee,deep,flow.Sequence,1_1_0,NA,NA,completion,9650,17846,17844,17860,27510,27512,2023-01-10T21:58:23Z,27526,Fleisch,mshakiki,d,kizunguzungu,mshikamano,angusho,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ad3ee,task,flow.Sequence,1_1,NA,NA,completion,9650,17846,17844,17860,27510,27512,2023-01-10T21:58:23Z,27526,Fleisch,mshakiki,d,kizunguzungu,mshikamano,angusho,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ad3ee,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,7849,27512,27510,27526,35375,35376,2023-01-10T21:58:31Z,35411,Wechsel,ugeuzaji,d,utambulisho,kujenga,wasiwasi,ukarabaij,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
