observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
ca79d,Introduction general,canvas.Screen,0,weiter,keypress(q),response,1855113.102,487.70000004768,3350.296,3383.498,1858496.6,1858505.9000001,2023-03-25T15:45:38Z,1858511.138,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/encoding_immediate/index.html?vp=120&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",Win32,de-DE,de,America/New_York,240,1366,768,1366,609,1366,657,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
ca79d,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,4452.1620000715,1858506.3000001,1858492.851,1858511.138,1862963.3000001,1862964.9000001,2023-03-25T15:45:42Z,1862994.107,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ca79d,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,10727.593000048,1862965.6,1862960.792,1862994.107,1873721.7,1873722,2023-03-25T15:45:53Z,1873726.635,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,fla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ca79d,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,1873723.8000001,NA,NA,1873721.7,1873724,2023-03-25T15:45:53Z,1873726.635,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ca79d,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4999.6939999999,1873725.3000001,1873710.227,1873726.635,1878710.186,1878715.9000001,2023-03-25T15:45:58Z,1878726.329,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ca79d,deep,flow.Sequence,1_1_0_0,NA,NA,completion,15716.079,1862965.4000001,1862960.792,1862994.107,1878710.186,1878716.6,2023-03-25T15:45:58Z,1878726.329,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ca79d,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,1878716.8000001,NA,NA,1878710.186,1878717,2023-03-25T15:45:58Z,1878726.329,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ca79d,task,flow.Sequence,1_1_0,NA,NA,completion,15716.079,1862965.4000001,1862960.792,1862994.107,1878710.186,1878717.4000001,2023-03-25T15:45:58Z,1878726.329,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ca79d,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,7547.1710000001,1878717.9000001,1878710.186,1878726.329,1886273.5,1886273.8000001,2023-03-25T15:46:05Z,1886275.724,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ca79d,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,1886276.7,NA,NA,1886273.5,1886276.9000001,2023-03-25T15:46:05Z,1886275.724,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
