observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
7dda3,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,24734.434,1544.4,1550.127,1583.466,26317.9,26326.6,2023-01-22T17:36:00Z,26325.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,107,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/delayed/index.html?vp=107&sess=2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Berlin,-60,1536,864,1536,674,1536,722,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
7dda3,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,23356.124,26327.1,26308.401,26325.076,49681.2,49681.6,2023-01-22T17:36:24Z,49683.838,Integrität,uadilifu,d,muungano,mtiririko,upunguaji,hakaji,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.88099999999,49682.9,49667.311,49683.838,50167.055,50168.3,2023-01-22T17:36:24Z,50183.719,Integrität,uadilifu,d,muungano,mtiririko,upunguaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,deep,flow.Sequence,1_0_0,NA,NA,completion,23841.979,26327,26308.401,26325.076,50167.055,50168.6,2023-01-22T17:36:24Z,50183.719,Integrität,uadilifu,d,muungano,mtiririko,upunguaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,task,flow.Sequence,1_0,NA,NA,completion,23841.979,26327,26308.401,26325.076,50167.055,50168.7,2023-01-22T17:36:24Z,50183.719,Integrität,uadilifu,d,muungano,mtiririko,upunguaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,5814.481,50168.9,50167.055,50183.719,55998.2,55998.7,2023-01-22T17:36:30Z,56019.199,Stimmung,kinyongo,s,kilekile,kisambo,madhehebu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,495.677,56000.1,55981.951,56019.199,56498.225,56498.8,2023-01-22T17:36:30Z,56514.876,Stimmung,kinyongo,s,kilekile,kisambo,madhehebu,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,deep,flow.Sequence,1_1_0,NA,NA,completion,6314.506,50168.9,50167.055,50183.719,56498.225,56499.4,2023-01-22T17:36:30Z,56514.876,Stimmung,kinyongo,s,kilekile,kisambo,madhehebu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,task,flow.Sequence,1_1,NA,NA,completion,6314.506,50168.9,50167.055,50183.719,56498.225,56499.7,2023-01-22T17:36:30Z,56514.876,Stimmung,kinyongo,s,kilekile,kisambo,madhehebu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,23252.724,56508.4,56498.225,56514.876,79767.6,79767.9,2023-01-22T17:36:54Z,79773.734,Atmosphäre,angahewa,s,kuteseka,usahihi,kutoamini,kiwilili,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,499.774,79770.3,79756.986,79773.734,80256.833,80257.6,2023-01-22T17:36:54Z,80273.508,Atmosphäre,angahewa,s,kuteseka,usahihi,kutoamini,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,deep,flow.Sequence,1_2_0,NA,NA,completion,23741.957,56499.8,56498.225,56514.876,80256.833,80258,2023-01-22T17:36:54Z,80273.508,Atmosphäre,angahewa,s,kuteseka,usahihi,kutoamini,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,task,flow.Sequence,1_2,NA,NA,completion,23741.957,56499.7,56498.225,56514.876,80256.833,80258.2,2023-01-22T17:36:54Z,80273.508,Atmosphäre,angahewa,s,kuteseka,usahihi,kutoamini,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,40049.192,80258.4,80256.833,80273.508,120322.7,120323,2023-01-22T17:37:34Z,120343.369,Erneuerung,ukarabati,d,ushawishi,ukalifu,unyonyaji,ahsawti,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,499.73,120325,120326.697,120343.369,120826.472,120827,2023-01-22T17:37:35Z,120843.099,Erneuerung,ukarabati,d,ushawishi,ukalifu,unyonyaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,deep,flow.Sequence,1_3_0,NA,NA,completion,40552.964,80258.3,80256.833,80273.508,120826.472,120827.4,2023-01-22T17:37:35Z,120843.099,Erneuerung,ukarabati,d,ushawishi,ukalifu,unyonyaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,task,flow.Sequence,1_3,NA,NA,completion,40552.964,80258.3,80256.833,80273.508,120826.472,120827.6,2023-01-22T17:37:35Z,120843.099,Erneuerung,ukarabati,d,ushawishi,ukalifu,unyonyaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Deep Question,html.Page,1_4_0_0,NA,NA,form submission,18633.301,120827.8,120826.472,120843.099,139476.4,139476.8,2023-01-22T17:37:53Z,139486.829,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Save data screen,canvas.Screen,1_4_0_1,NA,NA,timeout,499.78200000001,139479.9,139470.121,139486.829,139969.962,139970.5,2023-01-22T17:37:54Z,139986.611,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,deep,flow.Sequence,1_4_0,NA,NA,completion,19126.863,120827.8,120826.472,120843.099,139969.962,139970.9,2023-01-22T17:37:54Z,139986.611,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,task,flow.Sequence,1_4,NA,NA,completion,19126.863,120827.8,120826.472,120843.099,139969.962,139971,2023-01-22T17:37:54Z,139986.611,Begegnung,kukutana,s,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Deep Question,html.Page,1_5_0_0,NA,NA,form submission,28954.689,139971.3,139969.962,139986.611,168941.3,168941.5,2023-01-22T17:38:23Z,168943.474,Respekt,heshima,d,changamnao,upinzani,ufanisi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Save data screen,canvas.Screen,1_5_0_1,NA,NA,timeout,500.01800000001,168944.9,168926.827,168943.474,169426.776,169427.5,2023-01-22T17:38:23Z,169443.492,Respekt,heshima,d,changamnao,upinzani,ufanisi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,deep,flow.Sequence,1_5_0,NA,NA,completion,29440.165,139971.2,139969.962,139986.611,169426.776,169428,2023-01-22T17:38:23Z,169443.492,Respekt,heshima,d,changamnao,upinzani,ufanisi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,task,flow.Sequence,1_5,NA,NA,completion,29440.165,139971.2,139969.962,139986.611,169426.776,169428.2,2023-01-22T17:38:23Z,169443.492,Respekt,heshima,d,changamnao,upinzani,ufanisi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Deep Question,html.Page,1_6_0_0,NA,NA,form submission,10944.508,169428.4,169426.776,169443.492,180388,180388.3,2023-01-22T17:38:34Z,180389.614,Fleisch,mshakiki,d,kizunguzungu,mshikamano,angusho,bomaji,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Save data screen,canvas.Screen,1_6_0_1,NA,NA,timeout,499.856,180391.6,180372.952,180389.614,180872.838,180873.4,2023-01-22T17:38:35Z,180889.47,Fleisch,mshakiki,d,kizunguzungu,mshikamano,angusho,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,deep,flow.Sequence,1_6_0,NA,NA,completion,11429.346,169428.4,169426.776,169443.492,180872.838,180873.8,2023-01-22T17:38:35Z,180889.47,Fleisch,mshakiki,d,kizunguzungu,mshikamano,angusho,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,task,flow.Sequence,1_6,NA,NA,completion,11429.346,169428.3,169426.776,169443.492,180872.838,180874.1,2023-01-22T17:38:35Z,180889.47,Fleisch,mshakiki,d,kizunguzungu,mshikamano,angusho,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7dda3,Deep Question,html.Page,1_7_0_0,NA,NA,form submission,25676.83,180874.2,180872.838,180889.47,206566.3,206566.6,2023-01-22T17:39:01Z,206580.91,Betrüger,mdanganyifu,s,mwanamuziki,wastani,mahakama,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
