observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
71004,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,1618.3999999999,269.59999999986,270.062,286.7,1905.0999999999,1908.0999999999,2025-01-31T07:08:07Z,1919.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,166,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/delayed/index.html?vp=166&sess=4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0",Win32,de,de-CH,Europe/Zurich,-60,1536,960,1528,796,1528,844,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
71004,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,2101.7999999999,1908.5,1903.37,1919.3,4021.0999999999,4021.3999999999,2025-01-31T07:08:09Z,4051.8,Annäherung,maegesho,s,madahili,kujiamini,mapendekezo,sdf,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71004,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.8,4022.3999999999,4019.26,4051.8,4535.5,4540.5999999999,2025-01-31T07:08:09Z,4551.6,Annäherung,maegesho,s,madahili,kujiamini,mapendekezo,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71004,deep,flow.Sequence,1_0_0,NA,NA,completion,2616.2,1908.5,1903.37,1919.3,4535.5,4541.0999999999,2025-01-31T07:08:09Z,4551.6,Annäherung,maegesho,s,madahili,kujiamini,mapendekezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71004,task,flow.Sequence,1_0,NA,NA,completion,2616.2,1908.3999999999,1903.37,1919.3,4535.5,4541.3999999999,2025-01-31T07:08:09Z,4551.6,Annäherung,maegesho,s,madahili,kujiamini,mapendekezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71004,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,1302.7,4541.5,4535.5,4551.6,5854.3,5854.5999999999,2025-01-31T07:08:11Z,5867.7,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,sdf,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71004,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499.7,5856,5851.562,5867.7,6350.9,6355.0999999999,2025-01-31T07:08:11Z,6367.4,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71004,deep,flow.Sequence,1_1_0,NA,NA,completion,1799.3,4541.5,4535.5,4551.6,6350.9,6355.3999999999,2025-01-31T07:08:11Z,6367.4,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71004,task,flow.Sequence,1_1,NA,NA,completion,1799.3,4541.3999999999,4535.5,4551.6,6350.9,6355.8,2025-01-31T07:08:11Z,6367.4,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71004,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,910.1,6356,6350.9,6367.4,7277.5,7277.8999999999,2025-01-31T07:08:12Z,7300.3,Zuwachs,nyongeza,s,matilaba,udhibiti,hudhurio,sdf,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
