observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
19dcb,Introduction general,canvas.Screen,0,weiter,keypress(q),response,133366.24,313,308.08,324.76,133691,133704,2023-10-20T14:03:46Z,133707.84,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/encoding_immediate/index.html?vp=190&sess=1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,Win32,de,de-CH,Europe/Zurich,-120,1280,720,1280,587,1280,587,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
19dcb,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,15170.16,133706,133706.18,133707.84,148878,148885,2023-10-20T14:04:01Z,148889.22,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19dcb,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,11087.78,148886,148886.78,148889.22,159977,159978,2023-10-20T14:04:12Z,159987.74,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,honig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19dcb,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,159984,NA,NA,159977,159984,2023-10-20T14:04:12Z,159987.74,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19dcb,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4999.28,159988,159975.56,159987.74,164970.36,164972,2023-10-20T14:04:17Z,164987.02,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19dcb,deep,flow.Sequence,1_1_0_0,NA,NA,completion,16081.14,148886,148886.78,148889.22,164970.36,164973,2023-10-20T14:04:17Z,164987.02,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19dcb,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,164973,NA,NA,164970.36,164974,2023-10-20T14:04:17Z,164987.02,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19dcb,task,flow.Sequence,1_1_0,NA,NA,completion,16081.14,148886,148886.78,148889.22,164970.36,164974,2023-10-20T14:04:17Z,164987.02,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19dcb,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,164975,NA,NA,164970.36,164975,2023-10-20T14:04:17Z,164987.02,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19dcb,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,8542.98,164975,164970.36,164987.02,173530,173531,2023-10-20T14:04:26Z,173535.94,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,katiba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
