observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
d9c5c,Introduction general,canvas.Screen,0,weiter,keypress(q),response,227443,135,139,167,227582,227642,2023-03-13T10:59:59Z,227685,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/encoding_immediate/index.html?vp=201&sess=1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",MacIntel,de-DE,de-DE,Europe/Zurich,-60,1792,1120,1792,938,1792,986,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
d9c5c,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,10858,227642,227652,227685,238510,238569,2023-03-13T11:00:09Z,238620,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d9c5c,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,4888,238570,238586,238620,243508,243508,2023-03-13T11:00:14Z,243552,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,zubar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d9c5c,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,243509,NA,NA,243508,243509,2023-03-13T11:00:14Z,243552,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d9c5c,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,5002,243510,243521,243552,248522,248523,2023-03-13T11:00:19Z,248554,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d9c5c,deep,flow.Sequence,1_1_0_0,NA,NA,completion,9902,238570,238586,238620,248522,248523,2023-03-13T11:00:19Z,248554,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d9c5c,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,248523,NA,NA,248522,248523,2023-03-13T11:00:19Z,248554,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d9c5c,task,flow.Sequence,1_1_0,NA,NA,completion,9902,238570,238586,238620,248522,248523,2023-03-13T11:00:19Z,248554,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d9c5c,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,5837,248524,248522,248554,254391,254391,2023-03-13T11:00:25Z,254463,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,helta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d9c5c,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,254392,NA,NA,254391,254392,2023-03-13T11:00:25Z,254463,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
