observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
744d4,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,21299.171999988,1943.099999994,1946.885,1963.528,23262.699999988,23264.799999982,2023-04-29T14:17:00Z,23294.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,212,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/delayed/index.html?vp=212&sess=2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-120,1440,960,1440,793,1440,841,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
744d4,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,9844.630999994,23265.400000006,23255.326,23294.969,33139.599999994,33140,2023-04-29T14:17:10Z,33157.12,Widerstand,usulubu,d,kusababisha,mwalimu,mwenendo,usululu,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,506.95299999999,33141.199999988,33140.402,33157.12,33647.444,33655,2023-04-29T14:17:11Z,33664.073,Widerstand,usulubu,d,kusababisha,mwalimu,mwenendo,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,deep,flow.Sequence,1_0_0,NA,NA,completion,10352.475,23265.400000006,23255.326,23294.969,33647.444,33655.5,2023-04-29T14:17:11Z,33664.073,Widerstand,usulubu,d,kusababisha,mwalimu,mwenendo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,task,flow.Sequence,1_0,NA,NA,completion,10352.475,23265.299999982,23255.326,23294.969,33647.444,33655.699999988,2023-04-29T14:17:11Z,33664.073,Widerstand,usulubu,d,kusababisha,mwalimu,mwenendo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,4227.2269999821,33655.900000006,33647.444,33664.073,37891.299999982,37891.599999994,2023-04-29T14:17:15Z,37909.702,Annäherung,maegesho,d,madahili,kujiamini,mapendekezo,k,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,498.013,37892.599999994,37875.078,37909.702,38391.029,38391.799999982,2023-04-29T14:17:15Z,38407.715,Annäherung,maegesho,d,madahili,kujiamini,mapendekezo,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,deep,flow.Sequence,1_1_0,NA,NA,completion,4726.956,33655.799999982,33647.444,33664.073,38391.029,38392.099999994,2023-04-29T14:17:15Z,38407.715,Annäherung,maegesho,d,madahili,kujiamini,mapendekezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,task,flow.Sequence,1_1,NA,NA,completion,4726.956,33655.799999982,33647.444,33664.073,38391.029,38392.199999988,2023-04-29T14:17:15Z,38407.715,Annäherung,maegesho,d,madahili,kujiamini,mapendekezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,7956.9849999881,38392.5,38391.029,38407.715,46364.699999988,46365,2023-04-29T14:17:23Z,46393.94,Wettbewerb,ushindani,s,mapendezi,kichocheo,ubaguzi,perskindani,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,504.229,46365.900000006,46357.904,46393.94,46881.459,46882.199999988,2023-04-29T14:17:24Z,46898.169,Wettbewerb,ushindani,s,mapendezi,kichocheo,ubaguzi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,deep,flow.Sequence,1_2_0,NA,NA,completion,8473.744,38392.5,38391.029,38407.715,46881.459,46882.5,2023-04-29T14:17:24Z,46898.169,Wettbewerb,ushindani,s,mapendezi,kichocheo,ubaguzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,task,flow.Sequence,1_2,NA,NA,completion,8473.744,38392.400000006,38391.029,38407.715,46881.459,46882.799999982,2023-04-29T14:17:24Z,46898.169,Wettbewerb,ushindani,s,mapendezi,kichocheo,ubaguzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,4130.231000006,46882.900000006,46881.459,46898.169,51028.400000006,51028.699999988,2023-04-29T14:17:28Z,51048.697,Sympathie,mapendano,d,dhamiria,fungamano,maazimio,b,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,501.451,51029.400000006,51026.968,51048.697,51533.44,51534.099999994,2023-04-29T14:17:29Z,51550.148,Sympathie,mapendano,d,dhamiria,fungamano,maazimio,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,deep,flow.Sequence,1_3_0,NA,NA,completion,4635.271,46882.799999982,46881.459,46898.169,51533.44,51534.400000006,2023-04-29T14:17:29Z,51550.148,Sympathie,mapendano,d,dhamiria,fungamano,maazimio,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,task,flow.Sequence,1_3,NA,NA,completion,4635.271,46882.799999982,46881.459,46898.169,51533.44,51534.400000006,2023-04-29T14:17:29Z,51550.148,Sympathie,mapendano,d,dhamiria,fungamano,maazimio,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,Deep Question,html.Page,1_4_0_0,NA,NA,form submission,4900.752000006,51534.699999988,51533.44,51550.148,56450.900000006,56451.099999994,2023-04-29T14:17:33Z,56478.48,Polizist,msongora,s,simanzi,mandhari,nidhamu,upamagu,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,Save data screen,canvas.Screen,1_4_0_1,NA,NA,timeout,495.392,56451.900000006,56448.866,56478.48,56957.227,56959.699999988,2023-04-29T14:17:34Z,56973.872,Polizist,msongora,s,simanzi,mandhari,nidhamu,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,deep,flow.Sequence,1_4_0,NA,NA,completion,5407.079,51534.599999994,51533.44,51550.148,56957.227,56960,2023-04-29T14:17:34Z,56973.872,Polizist,msongora,s,simanzi,mandhari,nidhamu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,task,flow.Sequence,1_4,NA,NA,completion,5407.079,51534.5,51533.44,51550.148,56957.227,56960.099999994,2023-04-29T14:17:34Z,56973.872,Polizist,msongora,s,simanzi,mandhari,nidhamu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,Deep Question,html.Page,1_5_0_0,NA,NA,form submission,9863.9279999821,56960.299999982,56957.227,56973.872,66837.799999982,66838.099999994,2023-04-29T14:17:44Z,66838.889,Konkurrent,mshindani,s,msemaji,mvutaji,kipukusa,upimdani,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,Save data screen,canvas.Screen,1_5_0_1,NA,NA,timeout,503.31300000001,66841.699999988,66822.381,66838.889,67325.587,67326.299999982,2023-04-29T14:17:44Z,67342.202,Konkurrent,mshindani,s,msemaji,mvutaji,kipukusa,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,deep,flow.Sequence,1_5_0,NA,NA,completion,10351.715,56960.299999982,56957.227,56973.872,67325.587,67326.5,2023-04-29T14:17:44Z,67342.202,Konkurrent,mshindani,s,msemaji,mvutaji,kipukusa,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744d4,task,flow.Sequence,1_5,NA,NA,completion,10351.715,56960.199999988,56957.227,56973.872,67325.587,67326.699999988,2023-04-29T14:17:44Z,67342.202,Konkurrent,mshindani,s,msemaji,mvutaji,kipukusa,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
