observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit,distractors,german,swahili,enc,distractor1,distractor2,distractor3,x,correct,x_2,response_2
f619c,Introduction general,canvas.Screen,0,weiter,keypress(q),response,2966794.423,392.59999990463,221.996,388.577,2967183,2967187.5999999,2023-08-09T16:03:19Z,2967199.54,222,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/encoding_immediate/index.html?vp=222&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f619c,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,11186.46,2967188.3000002,2967178.086,2967199.54,2978386,2978387,2023-08-09T16:03:30Z,2978407.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f619c,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,2978387.3000002,NA,NA,2978386,2978391,2023-08-09T16:03:30Z,2978407.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA
f619c,Shallow Question,html.Page,1_1_0_1_0,msaada,NA,form submission,14234.853000096,2978391.3000002,2978389.78,2978407.047,2992641.9000001,2992642.0999999,2023-08-09T16:03:45Z,2992645.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA
f619c,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,timeout,4995.9039999996,2992643.4000001,2992629.215,2992645.311,2997625.296,2997627,2023-08-09T16:03:50Z,2997641.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,1,NA,NA
f619c,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,skipped,NA,2997627.9000001,NA,NA,2997625.296,2997628,2023-08-09T16:03:50Z,2997641.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA
f619c,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,19218.249,2978391.2000003,2978389.78,2978407.047,2997625.296,2997628.2000003,2023-08-09T16:03:50Z,2997641.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA
f619c,task,flow.Sequence,1_1_0,NA,NA,completion,19218.249,2978387.3000002,2978389.78,2978407.047,2997625.296,2997628.4000001,2023-08-09T16:03:50Z,2997641.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA
f619c,Deep Question,html.Page,1_1_1_0_0,habana,NA,form submission,6280.8849999048,2997628.4000001,2997625.296,2997641.215,3003922.0999999,3003922.3000002,2023-08-09T16:03:56Z,3003936.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA
f619c,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,3003925.2000003,NA,NA,3003922.0999999,3003925.5,2023-08-09T16:03:56Z,3003936.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA
f619c,"""Falsch""-Screen",canvas.Screen,1_1_1_0_2,NA,NA,timeout,4995.5560000003,3003926.8000002,3003919.917,3003936.323,3008915.723,3008917,2023-08-09T16:04:01Z,3008931.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,0,NA,NA
f619c,deep,flow.Sequence,1_1_1_0,NA,NA,completion,11274.508,2997628.4000001,2997625.296,2997641.215,3008915.723,3008917.5,2023-08-09T16:04:01Z,3008931.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA
f619c,shallow,flow.Sequence,1_1_1_1,NA,NA,skipped,NA,3008917.8000002,NA,NA,3008915.723,3008918.0999999,2023-08-09T16:04:01Z,3008931.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA
f619c,task,flow.Sequence,1_1_1,NA,NA,completion,11274.508,2997628.4000001,2997625.296,2997641.215,3008915.723,3008918.5,2023-08-09T16:04:01Z,3008931.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA
f619c,deep,flow.Sequence,1_1_2_0,NA,NA,skipped,NA,3008918.8000002,NA,NA,3008915.723,3008918.9000001,2023-08-09T16:04:01Z,3008931.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA
f619c,Shallow Question,html.Page,1_1_2_1_0,hadhara,NA,form submission,5756.9210001905,3008919.2000003,3008915.723,3008931.879,3014688.8000002,3014688.9000001,2023-08-09T16:04:07Z,3014693.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA
f619c,"""Richtig""-Screen",canvas.Screen,1_1_2_1_1,NA,NA,timeout,4996.0750000002,3014690.9000001,3014677.729,3014693.804,3019673.51,3019674.5999999,2023-08-09T16:04:12Z,3019689.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,1,NA,NA
f619c,"""Falsch""-Screen",canvas.Screen,1_1_2_1_2,NA,NA,skipped,NA,3019680.2000003,NA,NA,3019673.51,3019680.5999999,2023-08-09T16:04:12Z,3019689.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA
f619c,shallow,flow.Sequence,1_1_2_1,NA,NA,completion,10741.631,3008919.0999999,3008915.723,3008931.879,3019673.51,3019681,2023-08-09T16:04:12Z,3019689.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA
f619c,task,flow.Sequence,1_1_2,NA,NA,completion,10741.631,3008918.7000003,3008915.723,3008931.879,3019673.51,3019681.3000002,2023-08-09T16:04:12Z,3019689.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA
f619c,deep,flow.Sequence,1_1_3_0,NA,NA,skipped,NA,3019681.5999999,NA,NA,3019673.51,3019681.8000002,2023-08-09T16:04:12Z,3019689.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA
f619c,Shallow Question,html.Page,1_1_3_1_0,mawazo,NA,form submission,4961.5210000952,3019681.9000001,3019673.51,3019689.879,3024651.4000001,3024652.0999999,2023-08-09T16:04:17Z,3024652.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA
f619c,"""Richtig""-Screen",canvas.Screen,1_1_3_1_1,NA,NA,skipped,NA,3024653.9000001,NA,NA,3024651.4000001,3024654,2023-08-09T16:04:17Z,3024652.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA
f619c,"""Falsch""-Screen",canvas.Screen,1_1_3_1_2,NA,NA,timeout,4996.2060000002,3024654.5999999,3024636.229,3024652.335,3029631.69,3029632.8000002,2023-08-09T16:04:22Z,3029648.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,0,NA,NA
f619c,shallow,flow.Sequence,1_1_3_1,NA,NA,completion,9941.8109999998,3019681.9000001,3019673.51,3019689.879,3029631.69,3029633.2000003,2023-08-09T16:04:22Z,3029648.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA
f619c,task,flow.Sequence,1_1_3,NA,NA,completion,9941.8109999998,3019681.5,3019673.51,3019689.879,3029631.69,3029633.5,2023-08-09T16:04:22Z,3029648.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA
f619c,Deep Question,html.Page,1_1_4_0_0,batuni,NA,form submission,5654.4589999998,3029633.7000003,3029631.69,3029648.541,3035303,3035303.2000003,2023-08-09T16:04:27Z,3035310.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA
f619c,"""Richtig""-Screen",canvas.Screen,1_1_4_0_1,NA,NA,skipped,NA,3035305.5,NA,NA,3035303,3035305.7000003,2023-08-09T16:04:27Z,3035310.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA
f619c,"""Falsch""-Screen",canvas.Screen,1_1_4_0_2,NA,NA,timeout,4996.5,3035306.8000002,3035294.205,3035310.203,3040289.95,3040291.0999999,2023-08-09T16:04:32Z,3040306.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,0,NA,NA
f619c,deep,flow.Sequence,1_1_4_0,NA,NA,completion,10641.409,3029633.7000003,3029631.69,3029648.541,3040289.95,3040291.5,2023-08-09T16:04:32Z,3040306.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA
f619c,shallow,flow.Sequence,1_1_4_1,NA,NA,skipped,NA,3040291.7000003,NA,NA,3040289.95,3040291.9000001,2023-08-09T16:04:32Z,3040306.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA
f619c,task,flow.Sequence,1_1_4,NA,NA,completion,10641.409,3029633.5999999,3029631.69,3029648.541,3040289.95,3040292.3000002,2023-08-09T16:04:32Z,3040306.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA
f619c,Deep Question,html.Page,1_1_5_0_0,sangina,NA,form submission,5082.7969999998,3040292.5999999,3040289.95,3040306.703,3045389.5,3045389.8000002,2023-08-09T16:04:37Z,3045402.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA
f619c,"""Richtig""-Screen",canvas.Screen,1_1_5_0_1,NA,NA,skipped,NA,3045392.5,NA,NA,3045389.5,3045392.7000003,2023-08-09T16:04:37Z,3045402.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA
f619c,"""Falsch""-Screen",canvas.Screen,1_1_5_0_2,NA,NA,timeout,4995.7260000003,3045393.5999999,3045385.84,3045402.116,3050381.689,3050382.7000003,2023-08-09T16:04:42Z,3050397.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,0,NA,NA
f619c,deep,flow.Sequence,1_1_5_0,NA,NA,completion,10074.986,3040292.5,3040289.95,3040306.703,3050381.689,3050383.0999999,2023-08-09T16:04:42Z,3050397.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA
f619c,shallow,flow.Sequence,1_1_5_1,NA,NA,skipped,NA,3050383.2000003,NA,NA,3050381.689,3050383.3000002,2023-08-09T16:04:42Z,3050397.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA
f619c,task,flow.Sequence,1_1_5,NA,NA,completion,10074.986,3040292.4000001,3040289.95,3040306.703,3050381.689,3050383.5999999,2023-08-09T16:04:42Z,3050397.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA
f619c,block,flow.Loop,1_1,NA,NA,completion,71974.642,2978387.2000003,2978389.78,2978407.047,3050381.689,3050383.9000001,2023-08-09T16:04:42Z,3050397.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""distractor1"", ""distractor2"", ""distractor3"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f619c,Practice,flow.Sequence,1,NA,NA,completion,83182.149,2967188.2000003,2967178.086,2967199.54,3050381.689,3050384.2000003,2023-08-09T16:04:42Z,3050397.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
