observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
8e4dd,Introduction general,canvas.Screen,0,weiter,keypress(q),response,60590.099999904996,1108.7000000477,2631.7,2648,63238.099999904996,63244.700000048,2024-02-17T19:16:22Z,63244.3,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/encoding_immediate/index.html?vp=140&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-60,1739,979,1740,763,1740,811,1.1041666269302,production,f5b4a49f956347addd546a832a3327688c2c0fef
8e4dd,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,11855.100000095,63245.299999952,63238.6,63244.3,75099.400000095,75100.5,2024-02-17T19:16:33Z,75120.5,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,75100.900000095,NA,NA,75099.400000095,75104.700000048,2024-02-17T19:16:33Z,75120.5,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,21327.099999905,75105.700000048,75104.4,75120.5,96447.599999905,96447.900000095,2024-02-17T19:16:55Z,96457.3,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,hadhara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,timeout,4996.9,96448.900000095,96441.222,96457.3,101438,101443.0999999,2024-02-17T19:17:00Z,101454.2,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,skipped,NA,101444.5999999,NA,NA,101438,101444.70000005,2024-02-17T19:17:00Z,101454.2,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,26317.5,75105.700000048,75104.4,75120.5,101438,101444.79999995,2024-02-17T19:17:00Z,101454.2,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,task,flow.Sequence,1_1_0,NA,NA,completion,26317.5,75100.799999952,75104.4,75120.5,101438,101444.79999995,2024-02-17T19:17:00Z,101454.2,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,101444.9000001,NA,NA,101438,101445,2024-02-17T19:17:00Z,101454.2,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,18362.899999905,101445.0999999,101438,101454.2,119817.0999999,119817.29999995,2024-02-17T19:17:18Z,119826.3,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,muhula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,"""Richtig""-Screen",canvas.Screen,1_1_1_1_1,NA,NA,skipped,NA,119820.79999995,NA,NA,119817.0999999,119821,2024-02-17T19:17:18Z,119826.3,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,"""Falsch""-Screen",canvas.Screen,1_1_1_1_2,NA,NA,timeout,4997.5,119821.5999999,119810.562,119826.3,124807.1,124808.0999999,2024-02-17T19:17:23Z,124823.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,shallow,flow.Sequence,1_1_1_1,NA,NA,completion,23352.9,101445.0999999,101438,101454.2,124807.1,124808.70000005,2024-02-17T19:17:23Z,124823.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,task,flow.Sequence,1_1_1,NA,NA,completion,23352.9,101444.9000001,101438,101454.2,124807.1,124809,2024-02-17T19:17:23Z,124823.8,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,Deep Question,html.Page,1_1_2_0_0,NA,NA,form submission,11475.600000095,124809.29999995,124807.1,124823.8,136299.4000001,136299.70000005,2024-02-17T19:17:35Z,136317.5,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,"gfz,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,"""Richtig""-Screen",canvas.Screen,1_1_2_0_1,NA,NA,skipped,NA,136303.0999999,NA,NA,136299.4000001,136303.20000005,2024-02-17T19:17:35Z,136317.5,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,"""Falsch""-Screen",canvas.Screen,1_1_2_0_2,NA,NA,timeout,4996.1,136304.29999995,136300.65,136317.5,141296.6,141297.5999999,2024-02-17T19:17:40Z,141313.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8e4dd,deep,flow.Sequence,1_1_2_0,NA,NA,completion,16472.8,124809.29999995,124807.1,124823.8,141296.6,141297.9000001,2024-02-17T19:17:40Z,141313.6,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
