observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
45017,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,12665.8,801.89999999999,806.8,840.1,13505.9,13511.3,2024-04-17T17:47:18Z,13540.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,141,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/aberisha/delayed/index.html?vp=141&sess=4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",MacIntel,en-US,de,Europe/Zurich,-120,1710,1107,1599,801,1599,849,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
45017,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,10642.2,13511.6,13506.4,13540.1,24182.3,24182.8,2024-04-17T17:47:29Z,24206.8,Wechsel,ugeuzaji,s,utambulisho,kujenga,wasiwasi,kudhana,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500.1,24184,24173.6,24206.8,24673.6,24674.8,2024-04-17T17:47:29Z,24706.9,Wechsel,ugeuzaji,s,utambulisho,kujenga,wasiwasi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,deep,flow.Sequence,1_0_0,NA,NA,completion,11133.5,13511.6,13506.4,13540.1,24673.6,24675.3,2024-04-17T17:47:29Z,24706.9,Wechsel,ugeuzaji,s,utambulisho,kujenga,wasiwasi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,task,flow.Sequence,1_0,NA,NA,completion,11133.5,13511.5,13506.4,13540.1,24673.6,24675.5,2024-04-17T17:47:29Z,24706.9,Wechsel,ugeuzaji,s,utambulisho,kujenga,wasiwasi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,17031.9,24675.7,24673.6,24706.9,41738.8,41739.3,2024-04-17T17:47:46Z,41757,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,kashtenga,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500,41740.8,41740.346,41757,42223.7,42224.6,2024-04-17T17:47:47Z,42257,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,deep,flow.Sequence,1_1_0,NA,NA,completion,17516.8,24675.7,24673.6,24706.9,42223.7,42225,2024-04-17T17:47:47Z,42257,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,task,flow.Sequence,1_1,NA,NA,completion,17516.8,24675.6,24673.6,24706.9,42223.7,42225.3,2024-04-17T17:47:47Z,42257,Vorwurf,mashtaka,d,msukumo,mtangulizi,uenyekiti,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,9364.2,42225.6,42223.7,42257,51621.2,51621.6,2024-04-17T17:47:56Z,51657,Begegnung,kukutana,d,mmasihiya,mpiganaji,husiano,?,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,500,51622.5,51623.776,51657,52123.7,52124.6,2024-04-17T17:47:57Z,52157,Begegnung,kukutana,d,mmasihiya,mpiganaji,husiano,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,deep,flow.Sequence,1_2_0,NA,NA,completion,9866.7,42225.5,42223.7,42257,52123.7,52125.1,2024-04-17T17:47:57Z,52157,Begegnung,kukutana,d,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,task,flow.Sequence,1_2,NA,NA,completion,9866.7,42225.4,42223.7,42257,52123.7,52125.3,2024-04-17T17:47:57Z,52157,Begegnung,kukutana,d,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,9853.6,52125.4,52123.7,52157,62010.6,62011,2024-04-17T17:48:07Z,62040.5,Erneuerung,ukarabati,s,ushawishi,ukalifu,unyonyaji,makeha,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,499.9,62012.2,62007.114,62040.5,62507.1,62507.8,2024-04-17T17:48:07Z,62540.4,Erneuerung,ukarabati,s,ushawishi,ukalifu,unyonyaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,deep,flow.Sequence,1_3_0,NA,NA,completion,10350.1,52125.4,52123.7,52157,62507.1,62508.2,2024-04-17T17:48:07Z,62540.4,Erneuerung,ukarabati,s,ushawishi,ukalifu,unyonyaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,task,flow.Sequence,1_3,NA,NA,completion,10350.1,52125.4,52123.7,52157,62507.1,62508.4,2024-04-17T17:48:07Z,62540.4,Erneuerung,ukarabati,s,ushawishi,ukalifu,unyonyaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,Deep Question,html.Page,1_4_0_0,NA,NA,form submission,5717.6,62508.6,62507.1,62540.4,68258,68258.2,2024-04-17T17:48:13Z,68290.4,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,tekeda,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,Save data screen,canvas.Screen,1_4_0_1,NA,NA,timeout,500,68260.3,68257.102,68290.4,68757.1,68757.7,2024-04-17T17:48:13Z,68790.4,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,deep,flow.Sequence,1_4_0,NA,NA,completion,6216.7,62508.5,62507.1,62540.4,68757.1,68758.1,2024-04-17T17:48:13Z,68790.4,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,task,flow.Sequence,1_4,NA,NA,completion,6216.7,62508.4,62507.1,62540.4,68757.1,68758.2,2024-04-17T17:48:13Z,68790.4,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45017,Deep Question,html.Page,1_5_0_0,NA,NA,form submission,6837.9,68758.4,68757.1,68790.4,75628.3,75628.6,2024-04-17T17:48:20Z,75657.2,Betrüger,mdanganyifu,d,mwanamuziki,wastani,mahakama,mushinzi,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
