observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
e079f,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,18417.68,620,661.36,677.32,19095,19102,2023-03-05T13:28:49Z,19104.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,117,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/delayed%202/index.html?vp=117&sess=2,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/110.0,MacIntel,de,de-CH,Europe/Zurich,-60,2560,1440,1434,707,1434,755,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
e079f,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,62074.6,19104,19104.14,19104.4,81179,81180,2023-03-05T13:29:51Z,81191.28,Notfall,dharura,d,rairai,malalamiko,ahueni,dharigo,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e079f,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500.28,81184,81175.92,81191.28,81674.52,81675,2023-03-05T13:29:52Z,81691.56,Notfall,dharura,d,rairai,malalamiko,ahueni,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e079f,deep,flow.Sequence,1_0_0,NA,NA,completion,62570.12,19104,19104.14,19104.4,81674.52,81675,2023-03-05T13:29:52Z,81691.56,Notfall,dharura,d,rairai,malalamiko,ahueni,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e079f,task,flow.Sequence,1_0,NA,NA,completion,62570.12,19104,19104.14,19104.4,81674.52,81676,2023-03-05T13:29:52Z,81691.56,Notfall,dharura,d,rairai,malalamiko,ahueni,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e079f,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,57071.44,81676,81674.52,81691.56,138763,138763,2023-03-05T13:30:49Z,138772.8,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,kitarango,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e079f,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500.76000000001,138769,138757.32,138772.8,139256.82,139258,2023-03-05T13:30:49Z,139273.56,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e079f,deep,flow.Sequence,1_1_0,NA,NA,completion,57565.26,81676,81674.52,81691.56,139256.82,139258,2023-03-05T13:30:49Z,139273.56,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e079f,task,flow.Sequence,1_1,NA,NA,completion,57565.26,81676,81674.52,81691.56,139256.82,139259,2023-03-05T13:30:49Z,139273.56,Toleranz,kuvumiliana,s,maombolezo,ujasusi,mchekeshaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e079f,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,13048.44,139259,139256.82,139273.56,152322,152322,2023-03-05T13:31:02Z,152323.34,Verpackung,ufungaji,d,uhusiano,upimaji,uchunguzi,ufungaji,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
