observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
c334d,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,19449.599999714,701.59999990463,236.3,719.7,20169.299999714,20172.199999809,2024-02-19T12:55:50Z,20203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,153,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/delayed%202/index.html?vp=153&sess=2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0",Win32,de,de-CH,Europe/Zurich,-60,1920,1080,1872,910,1872,958,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
c334d,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,6589.2999997139,20172.699999809,20169.8,20203,26792.299999714,26792.5,2024-02-19T12:55:57Z,26802.9,Körper,kiwiliwili,s,mapambano,mpatanishi,kiolezo,kiiwili,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c334d,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500.1,26793.399999619,26786.546,26802.9,27286.3,27287.299999714,2024-02-19T12:55:58Z,27303,Körper,kiwiliwili,s,mapambano,mpatanishi,kiolezo,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c334d,deep,flow.Sequence,1_0_0,NA,NA,completion,7083.3,20172.599999905,20169.8,20203,27286.3,27287.699999809,2024-02-19T12:55:58Z,27303,Körper,kiwiliwili,s,mapambano,mpatanishi,kiolezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c334d,task,flow.Sequence,1_0,NA,NA,completion,7083.3,20172.599999905,20169.8,20203,27286.3,27287.899999619,2024-02-19T12:55:58Z,27303,Körper,kiwiliwili,s,mapambano,mpatanishi,kiolezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c334d,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,5136.1999998093,27288.099999905,27286.3,27303,32439.199999809,32439.399999619,2024-02-19T12:56:03Z,32469.7,Kanzler,diwani,s,rasilmali,mahitaji,maabudu,djambo,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c334d,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500.1,32440.299999714,32453.136,32469.7,32952.9,32953.699999809,2024-02-19T12:56:03Z,32969.8,Kanzler,diwani,s,rasilmali,mahitaji,maabudu,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c334d,deep,flow.Sequence,1_1_0,NA,NA,completion,5649.9,27288,27286.3,27303,32952.9,32954.099999904996,2024-02-19T12:56:03Z,32969.8,Kanzler,diwani,s,rasilmali,mahitaji,maabudu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c334d,task,flow.Sequence,1_1,NA,NA,completion,5649.9,27288,27286.3,27303,32952.9,32954.399999619,2024-02-19T12:56:03Z,32969.8,Kanzler,diwani,s,rasilmali,mahitaji,maabudu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c334d,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,6244.5999996185,32954.599999904996,32952.9,32969.8,39214.399999619,39214.599999904996,2024-02-19T12:56:09Z,39219.6,Lawine,banguko,d,maambukizi,usuluhishi,chekechea,banguko,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c334d,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,500.1,39215.199999809,39203.232,39219.6,39703,39703.799999714,2024-02-19T12:56:10Z,39719.7,Lawine,banguko,d,maambukizi,usuluhishi,chekechea,NA,NA,1,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c334d,deep,flow.Sequence,1_2_0,NA,NA,completion,6733.2,32954.599999904996,32952.9,32969.8,39703,39704.099999904996,2024-02-19T12:56:10Z,39719.7,Lawine,banguko,d,maambukizi,usuluhishi,chekechea,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
