observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
c0371,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,1169.58,1014,1009.74,1026.42,2196,2243,2024-06-24T23:21:23Z,2243.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,159,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/delayed%202/index.html?vp=160&sess=4,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,Win32,de,de-CH,Europe/Zurich,-120,1280,800,1280,591,1280,639,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
c0371,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,3922.2,2244,2239.56,2243.8,6166,6166,2024-06-24T23:21:27Z,6164.34,Verpackung,ufungaji,s,uhusiano,upimaji,uchunguzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c0371,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500.3,6167,6161.1,6164.34,6647.96,6649,2024-06-24T23:21:27Z,6664.64,Verpackung,ufungaji,s,uhusiano,upimaji,uchunguzi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c0371,deep,flow.Sequence,1_0_0,NA,NA,completion,4404.16,2244,2239.56,2243.8,6647.96,6650,2024-06-24T23:21:27Z,6664.64,Verpackung,ufungaji,s,uhusiano,upimaji,uchunguzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c0371,task,flow.Sequence,1_0,NA,NA,completion,4404.16,2244,2239.56,2243.8,6647.96,6651,2024-06-24T23:21:27Z,6664.64,Verpackung,ufungaji,s,uhusiano,upimaji,uchunguzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c0371,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,5472.36,6651,6647.96,6664.64,12137,12138,2024-06-24T23:21:33Z,12136.02,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,foleni,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c0371,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500.3,12143,12132.36,12136.02,12619.64,12622,2024-06-24T23:21:33Z,12636.32,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,1,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c0371,deep,flow.Sequence,1_1_0,NA,NA,completion,5955,6651,6647.96,6664.64,12619.64,12625,2024-06-24T23:21:33Z,12636.32,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c0371,task,flow.Sequence,1_1,NA,NA,completion,5955,6651,6647.96,6664.64,12619.64,12625,2024-06-24T23:21:33Z,12636.32,Schlange,foleni,d,uvumilivu,uteuzi,muuzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c0371,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,4293.68,12626,12619.64,12636.32,16930,16930,2024-06-24T23:21:38Z,16939.62,Wohlstand,mafanikio,d,chimbuko,kumbuko,mapwaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c0371,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,500.3,16932,16925.66,16939.62,17423.24,17426,2024-06-24T23:21:38Z,17439.92,Wohlstand,mafanikio,d,chimbuko,kumbuko,mapwaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
