observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
f14c4,Introduction general,canvas.Screen,0,weiter,keypress(q),response,14309.78,913,921.54,938.22,15248,15284,2024-06-15T11:38:37Z,15285.4,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/encoding_immediate/index.html?vp=161&sess=3,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:127.0) Gecko/20100101 Firefox/127.0,Win32,de,de-CH,Europe/Zurich,-120,1280,800,1280,591,1280,639,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
f14c4,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,3071.6,15285,15285.12,15285.4,18357,18359,2024-06-15T11:38:40Z,18364.72,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f14c4,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,4644.28,18359,18359.38,18364.72,23009,23009,2024-06-15T11:38:45Z,23014.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,jfdskghjk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f14c4,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,23013,NA,NA,23009,23013,2024-06-15T11:38:45Z,23014.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f14c4,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4991.72,23015,23007.14,23014.9,27989.96,27991,2024-06-15T11:38:50Z,28006.62,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f14c4,deep,flow.Sequence,1_1_0_0,NA,NA,completion,9625.24,18359,18359.38,18364.72,27989.96,27992,2024-06-15T11:38:50Z,28006.62,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f14c4,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,27992,NA,NA,27989.96,27992,2024-06-15T11:38:50Z,28006.62,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f14c4,task,flow.Sequence,1_1_0,NA,NA,completion,9625.24,18359,18359.38,18364.72,27989.96,27993,2024-06-15T11:38:50Z,28006.62,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f14c4,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,27993,NA,NA,27989.96,27993,2024-06-15T11:38:50Z,28006.62,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f14c4,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,5736.38,27993,27989.96,28006.62,33743,33743,2024-06-15T11:38:56Z,33743.34,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,muhula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
f14c4,"""Richtig""-Screen",canvas.Screen,1_1_1_1_1,NA,NA,skipped,NA,33745,NA,NA,33743,33745,2024-06-15T11:38:56Z,33743.34,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
