id	 activity	 block	 run	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
101	 PA	 1	 1	 1	 Deep	 Delayed	 msongora	 Polizist	 puliciu	 0	 5.354960
101	 PA	 1	 1	 2	 Shallow	 Delayed	 maegesho	 Annäherung	 fungamano	 0	 4.753714
101	 PA	 1	 1	 3	 Deep	 Immediate	 udhanifu	 Vermutung	 huli	 0	 8.011756
101	 PA	 1	 1	 4	 Shallow	 Immediate	 kuvumiliana	 Toleranz	 ushungi	 0	 4.417918
101	 PA	 1	 1	 5	 Shallow	 Immediate	 foleni	 Schlange	 foleni	 1	 3.733758
101	 PA	 1	 1	 6	 Shallow	 Delayed	 mapendano	 Sympathie	 jitihadi	 0	 12.168155
101	 PA	 1	 1	 7	 Deep	 Delayed	 ushahidi	 Beweis	 di 	 0	 4.697020
101	 PA	 1	 1	 8	 Deep	 Immediate	 yaliyomo	 Inhalt	 ihui	 0	 3.190971
101	 PA	 1	 2	 1	 Deep	 Immediate	 udhanifu	 Vermutung	 udhani	 0	 5.693581
101	 PA	 1	 2	 2	 Shallow	 Immediate	 foleni	 Schlange	 foleni	 1	 3.677039
101	 PA	 1	 2	 3	 Deep	 Delayed	 msongora	 Polizist	 usongora	 0	 5.634527
101	 PA	 1	 2	 4	 Shallow	 Immediate	 kuvumiliana	 Toleranz	 kuvumiliana	 1	 5.135931
101	 PA	 1	 2	 5	 Shallow	 Delayed	 maegesho	 Annäherung	 maegesho	 1	 2.886372
101	 PA	 1	 2	 6	 Deep	 Delayed	 ushahidi	 Beweis	 j	 0	 2.942035
101	 PA	 1	 2	 7	 Shallow	 Delayed	 mapendano	 Sympathie	 mapendano	 1	 6.838749
101	 PA	 1	 2	 8	 Deep	 Immediate	 yaliyomo	 Inhalt	 k	 0	 4.415083
101	 PA	 1	 3	 1	 Deep	 Delayed	 ushahidi	 Beweis	 udhanifu	 0	 6.711045
101	 PA	 1	 3	 2	 Deep	 Immediate	 yaliyomo	 Inhalt	 yaliyomo	 1	 4.116299
101	 PA	 1	 3	 3	 Shallow	 Immediate	 foleni	 Schlange	 foleni	 1	 1.855268
101	 PA	 1	 3	 4	 Deep	 Immediate	 udhanifu	 Vermutung	 udhanifu	 1	 8.182902
101	 PA	 1	 3	 5	 Shallow	 Delayed	 maegesho	 Annäherung	 maegesho	 1	 1.750978
101	 PA	 1	 3	 6	 Shallow	 Delayed	 mapendano	 Sympathie	 mapendano	 1	 2.510467
101	 PA	 1	 3	 7	 Shallow	 Immediate	 kuvumiliana	 Toleranz	 kuvumiliana	 1	 4.994772
101	 PA	 1	 3	 8	 Deep	 Delayed	 msongora	 Polizist	 msongora	 1	 5.191276
101	 PA	 2	 1	 1	 Deep	 Delayed	 uagizaji	 Auftrag	 j	 0	 2.870931
101	 PA	 2	 1	 2	 Deep	 Immediate	 ufungaji	 Verpackung	 gu	 0	 4.840795
101	 PA	 2	 1	 3	 Deep	 Immediate	 matarajio	 Hoffnung	 a	 0	 1.878316
101	 PA	 2	 1	 4	 Shallow	 Immediate	 nadharia	 Theorie	 nadharia	 1	 2.342446
101	 PA	 2	 1	 5	 Shallow	 Delayed	 kirembo	 Schönheit	 uchoraji	 0	 5.736380
101	 PA	 2	 1	 6	 Shallow	 Immediate	 mshtuko	 Schock	 mshtuko	 1	 2.794334
101	 PA	 2	 1	 7	 Shallow	 Delayed	 kikuti	 Zufall	 nderemo	 0	 1.811573
101	 PA	 2	 1	 8	 Deep	 Delayed	 ushindani	 Wettbewerb	 ki	 0	 1.825179
101	 PA	 2	 2	 1	 Shallow	 Immediate	 nadharia	 Theorie	 nadharia	 1	 3.308594
101	 PA	 2	 2	 2	 Shallow	 Delayed	 kikuti	 Zufall	 kikuti	 1	 2.777176
