id	 activity	 retrievalStrategy	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
101	 Rest	 Deep	 1	 Deep	 Immediate	 ugomaji	 Aufstand	 mashtaka	 0	 8.178649
101	 Rest	 Deep	 2	 Deep	 Immediate	 mshambulizi	 Angreifer	 mbulizyu	 0	 21.424992
101	 Rest	 Deep	 3	 Deep	 Immediate	 mtihani	 Prüfung	 tihani	 0	 4.049151
101	 Rest	 Deep	 4	 Shallow	 Immediate	 kiwiliwili	 Körper	 kiwiliwili	 1	 9.859889
101	 Rest	 Deep	 5	 Shallow	 Immediate	 utamaduni	 Kultur	 utomangku	 0	 23.240573
101	 Rest	 Deep	 6	 Shallow	 Immediate	 kuchelewa	 Verzögerung	 kuwehe	 0	 12.233067
101	 Rest	 Deep	 7	 Deep	 Immediate	 unaweza	 Können	 dihili	 0	 23.990106
101	 Rest	 Deep	 8	 Deep	 Immediate	 banguko	 Lawine	 banguko	 1	 6.545900
101	 Rest	 Deep	 9	 Shallow	 Immediate	 kilindo	 Übersicht	 dikaleha	 0	 13.865907
101	 Rest	 Deep	 10	 Shallow	 Immediate	 diwani	 Kanzler	 diwano	 0	 3.290324
101	 Rest	 Deep	 11	 Deep	 Immediate	 ubunifu	 Kreativität	 ubifulu	 0	 9.918406
101	 Rest	 Deep	 12	 Deep	 Immediate	 maongozi	 System	 maongozi	 1	 14.906928
101	 Rest	 Deep	 13	 Shallow	 Immediate	 kudhibiti	 Kontrolle	 kuhibitu	 0	 14.389363
101	 Rest	 Deep	 14	 Shallow	 Immediate	 kuhatarisha	 Gefährdung	 bangdananyfu	 0	 29.595033
101	 Rest	 Deep	 15	 Shallow	 Immediate	 uhasibu	 Abrechnung	 hasibu	 0	 7.395329
101	 Rest	 Deep	 16	 Deep	 Immediate	 mwimbaji	 Sänger	 mwimbaji	 1	 5.955273
101	 Rest	 Shallow	 1	 Deep	 Immediate	 ubunifu	 Kreativität	 ubunifu	 1	 4.876999
101	 Rest	 Shallow	 2	 Shallow	 Immediate	 kudhibiti	 Kontrolle	 kudhibiti	 1	 3.950814
101	 Rest	 Shallow	 3	 Deep	 Immediate	 ugomaji	 Aufstand	 ugomaji	 1	 7.331940
101	 Rest	 Shallow	 4	 Shallow	 Immediate	 kiwiliwili	 Körper	 kiwiliwili	 1	 1.778062
101	 Rest	 Shallow	 5	 Shallow	 Immediate	 kuchelewa	 Verzögerung	 kuchelewa	 1	 3.671607
101	 Rest	 Shallow	 6	 Deep	 Immediate	 mwimbaji	 Sänger	 mwimbaji	 1	 1.750514
101	 Rest	 Shallow	 7	 Deep	 Immediate	 unaweza	 Können	 unaweza	 1	 3.004395
101	 Rest	 Shallow	 8	 Shallow	 Immediate	 kilindo	 Übersicht	 kilindo	 1	 3.443359
101	 Rest	 Shallow	 9	 Shallow	 Immediate	 kuhatarisha	 Gefährdung	 kuhatarisha	 1	 6.554331
101	 Rest	 Shallow	 10	 Deep	 Immediate	 maongozi	 System	 maongozi	 1	 3.937864
101	 Rest	 Shallow	 11	 Deep	 Immediate	 mtihani	 Prüfung	 mtihani	 1	 23.301183
101	 Rest	 Shallow	 12	 Shallow	 Immediate	 utamaduni	 Kultur	 utamaduni	 1	 7.292285
101	 Rest	 Shallow	 13	 Shallow	 Immediate	 uhasibu	 Abrechnung	 uhasibu	 1	 2.962749
101	 Rest	 Shallow	 14	 Deep	 Immediate	 banguko	 Lawine	 banguko	 1	 3.247144
101	 Rest	 Shallow	 15	 Deep	 Immediate	 mshambulizi	 Angreifer	 mshambulizi	 1	 4.415249
101	 Rest	 Shallow	 16	 Shallow	 Immediate	 diwani	 Kanzler	 diwani	 1	 1.919483
