id	 activity	 retrievalStrategy	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
102	 Rest	 Deep	 1	 Deep	 Delayed	 ushindani	 Wettbewerb	 zug	 0	 6.262973
102	 Rest	 Deep	 2	 Deep	 Delayed	 msongora	 Polizist	 mwanijo	 0	 12.371063
102	 Rest	 Deep	 3	 Shallow	 Delayed	 usulubu	 Widerstand	 zug	 0	 3.663787
102	 Rest	 Deep	 4	 Deep	 Delayed	 tahadhari	 Vorsorge	 zug	 0	 3.986193
102	 Rest	 Deep	 5	 Deep	 Delayed	 uagizaji	 Auftrag	 zug	 0	 8.774525
102	 Rest	 Deep	 6	 Shallow	 Delayed	 kielezo	 Symbol	 zug	 0	 9.880306
102	 Rest	 Deep	 7	 Shallow	 Delayed	 maegesho	 Annäherung	 zug	 0	 8.736438
102	 Rest	 Deep	 8	 Deep	 Delayed	 mshindani	 Konkurrent	 zug	 0	 6.239971
102	 Rest	 Deep	 9	 Shallow	 Delayed	 nyongeza	 Zuwachs	 zug	 0	 9.150229
102	 Rest	 Deep	 10	 Deep	 Delayed	 ushahidi	 Beweis	 zug	 0	 4.243288
102	 Rest	 Deep	 11	 Deep	 Delayed	 wakati	 Gelegenheit	 zug	 0	 6.233317
102	 Rest	 Deep	 12	 Shallow	 Delayed	 kikuti	 Zufall	 zug	 0	 5.546713
102	 Rest	 Deep	 13	 Shallow	 Delayed	 mapendano	 Sympathie	 zug	 0	 4.895820
102	 Rest	 Deep	 14	 Deep	 Delayed	 kutengwa	 Ausschluss	 zug	 0	 9.219096
102	 Rest	 Deep	 15	 Shallow	 Delayed	 kirembo	 Schönheit	 zug	 0	 5.333977
102	 Rest	 Deep	 16	 Shallow	 Delayed	 ufahamivu	 Verstand	 zug	 0	 10.697225
102	 Rest	 Shallow	 1	 Shallow	 Delayed	 nyongeza	 Zuwachs	 nyongeza	 1	 6.773549
102	 Rest	 Shallow	 2	 Shallow	 Delayed	 mapendano	 Sympathie	 mapendano	 1	 3.675615
102	 Rest	 Shallow	 3	 Deep	 Delayed	 kutengwa	 Ausschluss	 kutengwa	 1	 9.752832
102	 Rest	 Shallow	 4	 Deep	 Delayed	 ushahidi	 Beweis	 mandhari	 0	 16.128793
102	 Rest	 Shallow	 5	 Shallow	 Delayed	 maegesho	 Annäherung	 maegesho	 1	 4.502828
102	 Rest	 Shallow	 6	 Deep	 Delayed	 ushindani	 Wettbewerb	 ushindani	 1	 6.528513
102	 Rest	 Shallow	 7	 Deep	 Delayed	 msongora	 Polizist	 msongora	 1	 3.418918
102	 Rest	 Shallow	 8	 Shallow	 Delayed	 ufahamivu	 Verstand	 ufahamivu	 1	 7.360484
102	 Rest	 Shallow	 9	 Shallow	 Delayed	 kirembo	 Schönheit	 kirembo	 1	 2.502391
102	 Rest	 Shallow	 10	 Shallow	 Delayed	 kielezo	 Symbol	 kielezo	 1	 2.828966
102	 Rest	 Shallow	 11	 Shallow	 Delayed	 usulubu	 Widerstand	 hadhari	 0	 6.817689
102	 Rest	 Shallow	 12	 Deep	 Delayed	 tahadhari	 Vorsorge	 tahadhari	 1	 9.629257
102	 Rest	 Shallow	 13	 Deep	 Delayed	 mshindani	 Konkurrent	 mshindani	 1	 3.960742
102	 Rest	 Shallow	 14	 Deep	 Delayed	 wakati	 Gelegenheit	 wakati	 1	 2.798272
102	 Rest	 Shallow	 15	 Shallow	 Delayed	 kikuti	 Zufall	 kikuti	 1	 3.088963
102	 Rest	 Shallow	 16	 Deep	 Delayed	 uagizaji	 Auftrag	 uagizaji	 1	 4.016488
