id	 activity	 block	 run	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
102	 Rest	 1	 1	 1	 Deep	 Immediate	 udhanifu	 Vermutung	 zug	 0	 9.918792
102	 Rest	 1	 1	 2	 Shallow	 Immediate	 kuvumiliana	 Toleranz	 ushungi	 0	 5.810384
102	 Rest	 1	 1	 3	 Deep	 Immediate	 yaliyomo	 Inhalt	 zug	 0	 2.517652
102	 Rest	 1	 1	 4	 Deep	 Delayed	 ushahidi	 Beweis	 zug	 0	 3.269755
102	 Rest	 1	 1	 5	 Shallow	 Immediate	 foleni	 Schlange	 foleni	 1	 2.252088
102	 Rest	 1	 1	 6	 Shallow	 Delayed	 mapendano	 Sympathie	 dhamiria	 0	 7.260277
102	 Rest	 1	 1	 7	 Deep	 Delayed	 msongora	 Polizist	 zug	 0	 5.360340
102	 Rest	 1	 1	 8	 Shallow	 Delayed	 maegesho	 Annäherung	 kukosekana	 0	 4.366238
102	 Rest	 1	 2	 1	 Shallow	 Immediate	 foleni	 Schlange	 foleni	 1	 1.468018
102	 Rest	 1	 2	 2	 Deep	 Delayed	 ushahidi	 Beweis	 zug	 0	 4.244945
102	 Rest	 1	 2	 3	 Deep	 Immediate	 udhanifu	 Vermutung	 zug	 0	 4.079389
102	 Rest	 1	 2	 4	 Shallow	 Immediate	 kuvumiliana	 Toleranz	 kuvumiliana	 1	 5.368495
102	 Rest	 1	 2	 5	 Deep	 Immediate	 yaliyomo	 Inhalt	 zug	 0	 4.028876
102	 Rest	 1	 2	 6	 Shallow	 Delayed	 mapendano	 Sympathie	 mapendano	 1	 2.412670
102	 Rest	 1	 2	 7	 Deep	 Delayed	 msongora	 Polizist	 usongadi	 0	 11.019408
102	 Rest	 1	 2	 8	 Shallow	 Delayed	 maegesho	 Annäherung	 maegesho	 1	 4.859497
102	 Rest	 1	 3	 1	 Shallow	 Immediate	 kuvumiliana	 Toleranz	 kuvumiliana	 1	 5.913945
102	 Rest	 1	 3	 2	 Shallow	 Immediate	 foleni	 Schlange	 foleni	 1	 1.511297
102	 Rest	 1	 3	 3	 Deep	 Immediate	 yaliyomo	 Inhalt	 meyliu	 0	 10.206447
102	 Rest	 1	 3	 4	 Shallow	 Delayed	 maegesho	 Annäherung	 maegesho	 1	 2.888863
102	 Rest	 1	 3	 5	 Deep	 Immediate	 udhanifu	 Vermutung	 udhanifu	 1	 8.127287
102	 Rest	 1	 3	 6	 Deep	 Delayed	 ushahidi	 Beweis	 ushido	 0	 15.476319
102	 Rest	 1	 3	 7	 Deep	 Delayed	 msongora	 Polizist	 msongari	 0	 10.338345
102	 Rest	 1	 3	 8	 Shallow	 Delayed	 mapendano	 Sympathie	 mapendano	 1	 2.798103
102	 Rest	 1	 4	 1	 Shallow	 Immediate	 kuvumiliana	 Toleranz	 kuvumiliana	 1	 2.162851
102	 Rest	 1	 4	 2	 Deep	 Immediate	 yaliyomo	 Inhalt	 yaliyamo	 0	 7.494618
102	 Rest	 1	 4	 3	 Deep	 Delayed	 ushahidi	 Beweis	 ushohidi	 0	 17.030604
102	 Rest	 1	 4	 4	 Deep	 Immediate	 udhanifu	 Vermutung	 udhanifu	 1	 21.565381
102	 Rest	 1	 4	 5	 Shallow	 Delayed	 mapendano	 Sympathie	 mapendano	 1	 2.052716
102	 Rest	 1	 4	 6	 Deep	 Delayed	 msongora	 Polizist	 msongora	 1	 7.024522
102	 Rest	 1	 4	 7	 Shallow	 Delayed	 maegesho	 Annäherung	 maegesho	 1	 4.664321
102	 Rest	 1	 4	 8	 Shallow	 Immediate	 foleni	 Schlange	 foleni	 1	 1.544625
