id	 activity	 retrievalStrategy	 trial	 encodingStrategy	 retentionInterval	 textItemSw	 textItemDe	 response	 correct	 rt
103	 Rest	 Deep	 1	 Deep	 Delayed	 karatasi	 Papier	 	 0	 5.438015
103	 Rest	 Deep	 2	 Deep	 Delayed	 mshakiki	 Fleisch	 	 0	 11.194372
103	 Rest	 Deep	 3	 Shallow	 Delayed	 kukutana	 Begegnung	 	 0	 17.469936
103	 Rest	 Deep	 4	 Deep	 Delayed	 kiwango	 Niveau	 h	 0	 3.644541
103	 Rest	 Deep	 5	 Shallow	 Delayed	 maendeleo	 Entwicklung	 	 0	 8.306497
103	 Rest	 Deep	 6	 Shallow	 Delayed	 mdanganyifu	 Betrüger	 uhfaji	 0	 9.948213
103	 Rest	 Deep	 7	 Shallow	 Delayed	 mashtaka	 Vorwurf	 m	 0	 4.870667
103	 Rest	 Deep	 8	 Deep	 Delayed	 ugeuzaji	 Wechsel	 ugharji	 0	 5.338277
103	 Rest	 Deep	 9	 Deep	 Delayed	 urekebisho	 Orientierung	 heshima	 0	 14.846444
103	 Rest	 Deep	 10	 Deep	 Delayed	 uadilifu	 Integrität	 heshima	 0	 5.548328
103	 Rest	 Deep	 11	 Shallow	 Delayed	 kubadilika	 Flexibilität	 	 0	 6.769267
103	 Rest	 Deep	 12	 Deep	 Delayed	 ukarabati	 Erneuerung	 	 0	 5.630462
103	 Rest	 Deep	 13	 Deep	 Delayed	 heshima	 Respekt	 	 0	 3.426772
103	 Rest	 Deep	 14	 Shallow	 Delayed	 kinyongo	 Stimmung	 	 0	 6.224539
103	 Rest	 Deep	 15	 Shallow	 Delayed	 angahewa	 Atmosphäre	 amounash	 0	 11.658403
103	 Rest	 Deep	 16	 Shallow	 Delayed	 idhini	 Genehmigung	 	 0	 1.736616
103	 Rest	 Shallow	 1	 Deep	 Delayed	 karatasi	 Papier	 karatasi	 1	 3.047521
103	 Rest	 Shallow	 2	 Shallow	 Delayed	 angahewa	 Atmosphäre	 angahewa	 1	 1.398964
103	 Rest	 Shallow	 3	 Deep	 Delayed	 urekebisho	 Orientierung	 kukataliwa	 0	 5.530120
103	 Rest	 Shallow	 4	 Deep	 Delayed	 ukarabati	 Erneuerung	 ukarabati	 1	 3.814557
103	 Rest	 Shallow	 5	 Shallow	 Delayed	 kukutana	 Begegnung	 itikadi	 0	 3.795638
103	 Rest	 Shallow	 6	 Shallow	 Delayed	 kubadilika	 Flexibilität	 kubadilika	 1	 3.315649
103	 Rest	 Shallow	 7	 Deep	 Delayed	 mshakiki	 Fleisch	 mshakiki	 1	 10.065026
103	 Rest	 Shallow	 8	 Deep	 Delayed	 kiwango	 Niveau	 kiwango	 1	 12.370694
103	 Rest	 Shallow	 9	 Deep	 Delayed	 heshima	 Respekt	 heshima	 1	 7.242240
103	 Rest	 Shallow	 10	 Deep	 Delayed	 uadilifu	 Integrität	 uadilifu	 1	 10.186417
103	 Rest	 Shallow	 11	 Shallow	 Delayed	 mdanganyifu	 Betrüger	 mdanganyifu	 1	 7.527025
103	 Rest	 Shallow	 12	 Shallow	 Delayed	 mashtaka	 Vorwurf	 mashtaka	 1	 8.086372
103	 Rest	 Shallow	 13	 Deep	 Delayed	 ugeuzaji	 Wechsel	 ugeuzaji	 1	 9.754110
103	 Rest	 Shallow	 14	 Shallow	 Delayed	 maendeleo	 Entwicklung	 mahakama	 0	 5.266653
103	 Rest	 Shallow	 15	 Shallow	 Delayed	 idhini	 Genehmigung	 idhini	 1	 5.698210
103	 Rest	 Shallow	 16	 Shallow	 Delayed	 kinyongo	 Stimmung	 kinyongo	 1	 13.044810
