observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
29178,Introduction general,canvas.Screen,0,weiter,keypress(q),response,180551.83400038,906.10000038147,913.112,929.766,181481.60000038001,181484.79999924,2023-03-26T07:31:08Z,181498.383,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/encoding_immediate/index.html?vp=205&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
29178,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,9992.0169996185,181485.20000076,181481.383,181498.383,191490.39999961999,191491.60000038001,2023-03-26T07:31:18Z,191506.847,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29178,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,6718.3530007629,191492.29999924,191489.555,191506.847,198225.20000076,198225.5,2023-03-26T07:31:24Z,198234.584,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29178,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,198227.39999962,NA,NA,198225.20000076,198227.60000038001,2023-03-26T07:31:24Z,198234.584,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29178,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4995.901,198229,198218.306,198234.584,203213.858,203215.39999962,2023-03-26T07:31:29Z,203230.485,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29178,deep,flow.Sequence,1_1_0_0,NA,NA,completion,11707.011,191492.20000076,191489.555,191506.847,203213.858,203215.70000076,2023-03-26T07:31:29Z,203230.485,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29178,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,203215.89999962,NA,NA,203213.858,203216.10000038001,2023-03-26T07:31:29Z,203230.485,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29178,task,flow.Sequence,1_1_0,NA,NA,completion,11707.011,191492.20000076,191489.555,191506.847,203213.858,203216.29999924,2023-03-26T07:31:29Z,203230.485,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29178,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,7404.4149996185,203216.60000038001,203213.858,203230.485,210634.89999962,210635.29999924,2023-03-26T07:31:37Z,210657.756,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,mahela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29178,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,210637.60000038001,NA,NA,210634.89999962,210637.79999924,2023-03-26T07:31:37Z,210657.756,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
