observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
a1494,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,20344.949999619,2188.5,974.048,2273.95,22618.899999619,22621.300000191,2023-04-23T13:31:33Z,22621.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,211,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/delayed/index.html?vp=211&sess=2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-120,1280,720,1280,553,1280,601,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
a1494,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,12526.142999619,22621.800000191,22604.83,22621.257,35147.399999619,35147.800000191,2023-04-23T13:31:45Z,35153.172,Sympathie,mapendano,d,dhamiria,fungamano,maazimio,usulubu,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a1494,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.719,35149.5,35136.312,35153.172,35637.178,35638.599999428,2023-04-23T13:31:46Z,35652.891,Sympathie,mapendano,d,dhamiria,fungamano,maazimio,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a1494,deep,flow.Sequence,1_0_0,NA,NA,completion,13015.921,22621.800000191,22604.83,22621.257,35637.178,35638.899999619,2023-04-23T13:31:46Z,35652.891,Sympathie,mapendano,d,dhamiria,fungamano,maazimio,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a1494,task,flow.Sequence,1_0,NA,NA,completion,13015.921,22621.699999809,22604.83,22621.257,35637.178,35639,2023-04-23T13:31:46Z,35652.891,Sympathie,mapendano,d,dhamiria,fungamano,maazimio,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a1494,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,4753.5089996185,35639.199999809,35637.178,35652.891,40406.399999619,40407.699999809,2023-04-23T13:31:50Z,40469.019,Polizist,msongora,s,simanzi,mandhari,nidhamu,mwanjini,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a1494,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499.995,40408.899999619,40402.723,40469.019,40952.359,40953.5,2023-04-23T13:31:51Z,40969.014,Polizist,msongora,s,simanzi,mandhari,nidhamu,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a1494,deep,flow.Sequence,1_1_0,NA,NA,completion,5299.468,35639.099999428,35637.178,35652.891,40952.359,40954.099999428,2023-04-23T13:31:51Z,40969.014,Polizist,msongora,s,simanzi,mandhari,nidhamu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a1494,task,flow.Sequence,1_1,NA,NA,completion,5299.468,35639,35637.178,35652.891,40952.359,40954.599999428,2023-04-23T13:31:51Z,40969.014,Polizist,msongora,s,simanzi,mandhari,nidhamu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a1494,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,10610.685999809,40955,40952.359,40969.014,51579.699999809,51580.099999428,2023-04-23T13:32:02Z,51584.36,Auftrag,uagizaji,s,ghanima,kuzingatia,msukani,mafikinio,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
