observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
6bfdb,Introduction general,canvas.Screen,0,weiter,keypress(q),response,130160.54800002,936.80000001192,939.863,957.052,131117.60000002,131124.40000004,2023-05-17T15:53:45Z,131133.115,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/encoding_immediate/index.html?vp=213&sess=3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
6bfdb,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,16649.985000024,131124.80000001,131109.33,131133.115,147783.10000002,147784.40000004,2023-05-17T15:54:01Z,147803.046,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,8292.8540000358,147784.80000001,147784.687,147803.046,156095.90000004,156096.10000002,2023-05-17T15:54:10Z,156112.716,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,jj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,156097.60000002,NA,NA,156095.90000004,156097.69999999,2023-05-17T15:54:10Z,156112.716,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4995.753,156098.69999999,156079.229,156112.716,161091.406,161093,2023-05-17T15:54:15Z,161108.469,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,deep,flow.Sequence,1_1_0_0,NA,NA,completion,13288.36,147784.80000001,147784.687,147803.046,161091.406,161093.19999999,2023-05-17T15:54:15Z,161108.469,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,161093.30000001,NA,NA,161091.406,161093.30000001,2023-05-17T15:54:15Z,161108.469,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,task,flow.Sequence,1_1_0,NA,NA,completion,13288.36,147784.80000001,147784.687,147803.046,161091.406,161093.40000004,2023-05-17T15:54:15Z,161108.469,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,161093.40000004,NA,NA,161091.406,161093.5,2023-05-17T15:54:15Z,161108.469,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,16957.631000024,161093.69999999,161091.406,161108.469,178066.10000002,178066.30000001,2023-05-17T15:54:32Z,178077.611,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,"""Richtig""-Screen",canvas.Screen,1_1_1_1_1,NA,NA,skipped,NA,178068.30000001,NA,NA,178066.10000002,178068.60000002,2023-05-17T15:54:32Z,178077.611,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,"""Falsch""-Screen",canvas.Screen,1_1_1_1_2,NA,NA,timeout,4996.241,178069.30000001,178061.29,178077.611,183057.178,183058.30000001,2023-05-17T15:54:36Z,183073.852,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,shallow,flow.Sequence,1_1_1_1,NA,NA,completion,21948.709,161093.60000002,161091.406,161108.469,183057.178,183058.80000001,2023-05-17T15:54:36Z,183073.852,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,task,flow.Sequence,1_1_1,NA,NA,completion,21948.709,161093.40000004,161091.406,161108.469,183057.178,183059.30000001,2023-05-17T15:54:36Z,183073.852,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,Deep Question,html.Page,1_1_2_0_0,NA,NA,form submission,3429.3479999881,183059.80000001,183057.178,183073.852,186503.19999999,186503.5,2023-05-17T15:54:40Z,186520.762,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,jj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,"""Richtig""-Screen",canvas.Screen,1_1_2_0_1,NA,NA,skipped,NA,186505.60000002,NA,NA,186503.19999999,186505.80000001,2023-05-17T15:54:40Z,186520.762,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,"""Falsch""-Screen",canvas.Screen,1_1_2_0_2,NA,NA,timeout,4996.009,186506.5,186487.54,186520.762,191499.73,191501.19999999,2023-05-17T15:54:45Z,191516.771,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,deep,flow.Sequence,1_1_2_0,NA,NA,completion,8425.878,183059.60000002,183057.178,183073.852,191499.73,191501.60000002,2023-05-17T15:54:45Z,191516.771,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6bfdb,shallow,flow.Sequence,1_1_2_1,NA,NA,skipped,NA,191501.80000001,NA,NA,191499.73,191501.90000004,2023-05-17T15:54:45Z,191516.771,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
