observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
e7a8a,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,15945.38,427,425.96,442.62,16388,16403,2023-05-09T19:27:49Z,16408.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,170,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed/index.html?vp=170&sess=2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0,Win32,de,de-CH,Europe/Zurich,-120,1280,720,1280,587,1280,587,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
e7a8a,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,43905.38,16408,16408.1,16408.62,60314,60315,2023-05-09T19:28:32Z,60318.74,Flexibilität,kubadilika,s,enjini,usikilivu,hesabu,kanan,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.8,60318,60310.54,60318.74,60801.9,60803,2023-05-09T19:28:33Z,60818.54,Flexibilität,kubadilika,s,enjini,usikilivu,hesabu,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,deep,flow.Sequence,1_0_0,NA,NA,completion,44393.28,16407,16408.1,16408.62,60801.9,60804,2023-05-09T19:28:33Z,60818.54,Flexibilität,kubadilika,s,enjini,usikilivu,hesabu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,task,flow.Sequence,1_0,NA,NA,completion,44393.28,16407,16408.1,16408.62,60801.9,60804,2023-05-09T19:28:33Z,60818.54,Flexibilität,kubadilika,s,enjini,usikilivu,hesabu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,19708.46,60806,60801.9,60818.54,80527,80529,2023-05-09T19:28:53Z,80532.68,Erneuerung,ukarabati,d,ushawishi,ukalifu,unyonyaji,sfdfg,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499.98000000001,80533,80524.58,80532.68,81016,81018,2023-05-09T19:28:53Z,81032.66,Erneuerung,ukarabati,d,ushawishi,ukalifu,unyonyaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,deep,flow.Sequence,1_1_0,NA,NA,completion,20197.46,60805,60801.9,60818.54,81016,81019,2023-05-09T19:28:53Z,81032.66,Erneuerung,ukarabati,d,ushawishi,ukalifu,unyonyaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,task,flow.Sequence,1_1,NA,NA,completion,20197.46,60804,60801.9,60818.54,81016,81020,2023-05-09T19:28:53Z,81032.66,Erneuerung,ukarabati,d,ushawishi,ukalifu,unyonyaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,15176.34,81022,81016,81032.66,96209,96210,2023-05-09T19:29:08Z,96214.12,Fleisch,mshakiki,d,kizunguzungu,mshikamano,angusho,lskdjfkl,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,499.88,96212,96206.96,96214.12,96697.36,96699,2023-05-09T19:29:09Z,96714,Fleisch,mshakiki,d,kizunguzungu,mshikamano,angusho,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,deep,flow.Sequence,1_2_0,NA,NA,completion,15664.7,81022,81016,81032.66,96697.36,96700,2023-05-09T19:29:09Z,96714,Fleisch,mshakiki,d,kizunguzungu,mshikamano,angusho,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,task,flow.Sequence,1_2,NA,NA,completion,15664.7,81021,81016,81032.66,96697.36,96701,2023-05-09T19:29:09Z,96714,Fleisch,mshakiki,d,kizunguzungu,mshikamano,angusho,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,10505,96701,96697.36,96714,107219,107219,2023-05-09T19:29:19Z,107229.4,Orientierung,urekebisho,d,uelekeo,marekebisho,utunzaji,diwili,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,499.8,107221,107216.94,107229.4,107712.54,107714,2023-05-09T19:29:20Z,107729.2,Orientierung,urekebisho,d,uelekeo,marekebisho,utunzaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,deep,flow.Sequence,1_3_0,NA,NA,completion,10998.54,96701,96697.36,96714,107712.54,107715,2023-05-09T19:29:20Z,107729.2,Orientierung,urekebisho,d,uelekeo,marekebisho,utunzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,task,flow.Sequence,1_3,NA,NA,completion,10998.54,96701,96697.36,96714,107712.54,107715,2023-05-09T19:29:20Z,107729.2,Orientierung,urekebisho,d,uelekeo,marekebisho,utunzaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e7a8a,Deep Question,html.Page,1_4_0_0,NA,NA,form submission,7269.8,107716,107712.54,107729.2,114999,115000,2023-05-09T19:29:27Z,114995.06,Genehmigung,idhini,s,mwanamke,itikadi,fedheha,id,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
