observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
44405,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,26730.88,371,373.44,390.12,27121,27129,2023-05-30T09:48:11Z,27136.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,170,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed/index.html?vp=170&sess=4,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0,Win32,de,de-CH,Europe/Zurich,-120,1280,720,1280,587,1280,587,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
44405,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,6690.06,27134,27134.2,27136.94,33827,33828,2023-05-30T09:48:18Z,33835.96,Schönheit,kirembo,s,mahojiano,msisimko,jitihadi,wasahidi,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.96,33833,33825.12,33835.96,34319.34,34322,2023-05-30T09:48:19Z,34335.92,Schönheit,kirembo,s,mahojiano,msisimko,jitihadi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,deep,flow.Sequence,1_0_0,NA,NA,completion,7182.4,27133,27134.2,27136.94,34319.34,34323,2023-05-30T09:48:19Z,34335.92,Schönheit,kirembo,s,mahojiano,msisimko,jitihadi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,task,flow.Sequence,1_0,NA,NA,completion,7182.4,27133,27134.2,27136.94,34319.34,34325,2023-05-30T09:48:19Z,34335.92,Schönheit,kirembo,s,mahojiano,msisimko,jitihadi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,6353.08,34327,34319.34,34335.92,40689,40690,2023-05-30T09:48:25Z,40688.54,Konkurrent,mshindani,d,msemaji,mvutaji,kipukusa,mashataki,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,496.52,40693,40688.16,40688.54,41168.46,41171,2023-05-30T09:48:26Z,41185.06,Konkurrent,mshindani,d,msemaji,mvutaji,kipukusa,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,deep,flow.Sequence,1_1_0,NA,NA,completion,6832.54,34326,34319.34,34335.92,41168.46,41172,2023-05-30T09:48:26Z,41185.06,Konkurrent,mshindani,d,msemaji,mvutaji,kipukusa,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,task,flow.Sequence,1_1,NA,NA,completion,6832.54,34326,34319.34,34335.92,41168.46,41173,2023-05-30T09:48:26Z,41185.06,Konkurrent,mshindani,d,msemaji,mvutaji,kipukusa,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,4382.94,41173,41168.46,41185.06,45568,45569,2023-05-30T09:48:30Z,45567.84,Ausschluss,kutengwa,d,ununuzi,taratibu,madeni,sdöfjl,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,499.98,45572,45567,45567.84,46051.16,46053,2023-05-30T09:48:30Z,46067.82,Ausschluss,kutengwa,d,ununuzi,taratibu,madeni,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,deep,flow.Sequence,1_2_0,NA,NA,completion,4866.1,41173,41168.46,41185.06,46051.16,46054,2023-05-30T09:48:30Z,46067.82,Ausschluss,kutengwa,d,ununuzi,taratibu,madeni,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,task,flow.Sequence,1_2,NA,NA,completion,4866.1,41173,41168.46,41185.06,46051.16,46055,2023-05-30T09:48:30Z,46067.82,Ausschluss,kutengwa,d,ununuzi,taratibu,madeni,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,Deep Question,html.Page,1_3_0_0,NA,NA,form submission,5430.18,46056,46051.16,46067.82,51498,51498,2023-05-30T09:48:36Z,51500.38,Wettbewerb,ushindani,d,mapendezi,kichocheo,ubaguzi,sdflkj,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,Save data screen,canvas.Screen,1_3_0_1,NA,NA,timeout,500.02,51501,51496.78,51500.38,51983.74,51985,2023-05-30T09:48:36Z,52000.4,Wettbewerb,ushindani,d,mapendezi,kichocheo,ubaguzi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,deep,flow.Sequence,1_3_0,NA,NA,completion,5915.92,46056,46051.16,46067.82,51983.74,51986,2023-05-30T09:48:36Z,52000.4,Wettbewerb,ushindani,d,mapendezi,kichocheo,ubaguzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,task,flow.Sequence,1_3,NA,NA,completion,5915.92,46055,46051.16,46067.82,51983.74,51986,2023-05-30T09:48:36Z,52000.4,Wettbewerb,ushindani,d,mapendezi,kichocheo,ubaguzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,Deep Question,html.Page,1_4_0_0,NA,NA,form submission,2603.6,51988,51983.74,52000.4,54604,54604,2023-05-30T09:48:39Z,54616.7,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,sdkflj,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,Save data screen,canvas.Screen,1_4_0_1,NA,NA,timeout,499.92000000001,54607,54602.44,54616.7,55099.96,55101,2023-05-30T09:48:39Z,55116.62,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44405,deep,flow.Sequence,1_4_0,NA,NA,completion,3099.56,51988,51983.74,52000.4,55099.96,55101,2023-05-30T09:48:39Z,55116.62,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
