observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
4cbaa,Introduction general,canvas.Screen,0,weiter,keypress(q),response,82776.3,729,727.04,743.7,83520,83544,2023-10-02T07:08:33Z,83545.16,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/encoding_immediate/index.html?vp=185&sess=1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/118.0,Win32,de,de-CH,Europe/Zurich,-120,1280,720,1280,587,1280,587,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
4cbaa,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,4599.84,83545,83544.94,83545.16,88145,88152,2023-10-02T07:08:37Z,88166.72,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4cbaa,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,88153,NA,NA,88145,88153,2023-10-02T07:08:37Z,88166.72,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4cbaa,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,21247.28,88154,88154.16,88166.72,109414,109414,2023-10-02T07:08:58Z,109413.62,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,msaada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4cbaa,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,timeout,4999.06,109417,109374.14,109413.62,114396.04,114398,2023-10-02T07:09:03Z,114412.68,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4cbaa,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,skipped,NA,114406,NA,NA,114396.04,114406,2023-10-02T07:09:03Z,114412.68,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4cbaa,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,26229.32,88154,88154.16,88166.72,114396.04,114406,2023-10-02T07:09:03Z,114412.68,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4cbaa,task,flow.Sequence,1_1_0,NA,NA,completion,26229.32,88153,88154.16,88166.72,114396.04,114408,2023-10-02T07:09:03Z,114412.68,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4cbaa,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,114408,NA,NA,114396.04,114409,2023-10-02T07:09:03Z,114412.68,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4cbaa,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,15124.32,114409,114396.04,114412.68,129537,129538,2023-10-02T07:09:19Z,129544.82,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,katiba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
