observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
63459,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,2123.3,335.60000038147,170.3,353.7,2477,2479.9000005722,2024-03-11T13:03:59Z,2487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,156,"2",20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/delayed/index.html?vp=156&sess=2%0d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0",Win32,de,de-CH,Europe/Zurich,-60,1920,1080,1872,910,1872,958,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
63459,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,11222.100000381,2480.5,2470.43,2487,13709.100000381,13709.400000572,2024-03-11T13:04:10Z,13720.3,Gefährdung,kuhatarisha,s,uchokozi,udhaifu,makorowezo,gg,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63459,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500.1,13710.400000572,13703.8,13720.3,14203.7,14204.800000191,2024-03-11T13:04:11Z,14220.4,Gefährdung,kuhatarisha,s,uchokozi,udhaifu,makorowezo,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63459,deep,flow.Sequence,1_0_0,NA,NA,completion,11716.7,2480.4000005722,2470.43,2487,14203.7,14205.199999809,2024-03-11T13:04:11Z,14220.4,Gefährdung,kuhatarisha,s,uchokozi,udhaifu,makorowezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63459,task,flow.Sequence,1_0,NA,NA,completion,11716.7,2480.4000005722,2470.43,2487,14203.7,14205.300000191,2024-03-11T13:04:11Z,14220.4,Gefährdung,kuhatarisha,s,uchokozi,udhaifu,makorowezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63459,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,18780.900000191,14205.600000381,14203.7,14220.4,33001.300000191,33001.600000381,2024-03-11T13:04:30Z,33003.7,Kultur,utamaduni,s,shetani,gerezani,mazingira,gg,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63459,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499.9,33002.600000381,32987.138,33003.7,33487.1,33487.900000572,2024-03-11T13:04:30Z,33503.6,Kultur,utamaduni,s,shetani,gerezani,mazingira,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63459,deep,flow.Sequence,1_1_0,NA,NA,completion,19266.7,14205.5,14203.7,14220.4,33487.1,33488.300000191,2024-03-11T13:04:30Z,33503.6,Kultur,utamaduni,s,shetani,gerezani,mazingira,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63459,task,flow.Sequence,1_1,NA,NA,completion,19266.7,14205.5,14203.7,14220.4,33487.1,33488.5,2024-03-11T13:04:30Z,33503.6,Kultur,utamaduni,s,shetani,gerezani,mazingira,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63459,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,5621.5999998093,33496.400000572,33487.1,33503.6,39125.199999809,39125.5,2024-03-11T13:04:36Z,39137.1,Übersicht,kilindo,s,mgusano,chipukizi,kulinganisha,kk,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
