observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
fd233,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,25496.300000572,363.5,357.792,374.6,25870.900000572,25874.100000381,2024-04-08T12:20:38Z,25874.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,154,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/jbaenninger/delayed/index.html?vp=154&sess=4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0",Win32,de,de-CH,Europe/Zurich,-120,1920,1080,1872,910,1872,958,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
fd233,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,23897.612000572,25874.800000191,25874.788,25874.788,49772.400000572,49772.700000763,2024-04-08T12:21:02Z,49774.706,Vergnügen,kichekesho,d,dubwana,mpanuko,mtesaji,detuji,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd233,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.994,49774,49774.706,49774.706,50258.1,50259,2024-04-08T12:21:03Z,50274.7,Vergnügen,kichekesho,d,dubwana,mpanuko,mtesaji,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd233,deep,flow.Sequence,1_0_0,NA,NA,completion,24383.312,25874.700000763,25874.788,25874.788,50258.1,50259.5,2024-04-08T12:21:03Z,50274.7,Vergnügen,kichekesho,d,dubwana,mpanuko,mtesaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd233,task,flow.Sequence,1_0,NA,NA,completion,24383.312,25874.600000381,25874.788,25874.788,50258.1,50259.600000381,2024-04-08T12:21:03Z,50274.7,Vergnügen,kichekesho,d,dubwana,mpanuko,mtesaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd233,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,15221.100000191,50259.900000572,50258.1,50274.7,65495.800000191,65496.100000381,2024-04-08T12:21:18Z,65507.9,Verpackung,ufungaji,d,uhusiano,upimaji,uchunguzi,msanogo,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd233,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500.2,65497.900000572,65491.372,65507.9,65991.4,65992,2024-04-08T12:21:18Z,66008.1,Verpackung,ufungaji,d,uhusiano,upimaji,uchunguzi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd233,deep,flow.Sequence,1_1_0,NA,NA,completion,15716.7,50259.800000191,50258.1,50274.7,65991.4,65992.300000191,2024-04-08T12:21:18Z,66008.1,Verpackung,ufungaji,d,uhusiano,upimaji,uchunguzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd233,task,flow.Sequence,1_1,NA,NA,completion,15716.7,50259.700000763,50258.1,50274.7,65991.4,65992.5,2024-04-08T12:21:18Z,66008.1,Verpackung,ufungaji,d,uhusiano,upimaji,uchunguzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fd233,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,25379.000000381,65992.900000572,65991.4,66008.1,91387.100000381,91387.300000191,2024-04-08T12:21:44Z,91391.2,Hoffnung,matarajio,d,kutaalamika,uratibu,mvumbuzi,makutihi,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
