observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
d3caa,Introduction general,canvas.Screen,0,weiter,keypress(q),response,40314.28,1741,1754.06,1770.72,42085,42104,2023-06-13T11:47:14Z,42105.76,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,3,20.2.4,https://neurocog.fernuni.ch/studies/vweber/encoding_immediate/index.html?vp=125&sess=3,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0,MacIntel,de,de-CH,Europe/Zurich,-120,1470,956,1206,705,1206,753,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
d3caa,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,11180.24,42105,42105.64,42105.76,53286,53293,2023-06-13T11:47:25Z,53294.52,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,53294,NA,NA,53286,53294,2023-06-13T11:47:25Z,53294.52,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,5230.48,53294,53294.32,53294.52,58525,58525,2023-06-13T11:47:31Z,58535.78,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,58531,NA,NA,58525,58531,2023-06-13T11:47:31Z,58535.78,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,5000.5,58532,58512.54,58535.78,63519.94,63521,2023-06-13T11:47:35Z,63536.28,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,10225.42,53294,53294.32,53294.52,63519.94,63522,2023-06-13T11:47:36Z,63536.28,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,task,flow.Sequence,1_1_0,NA,NA,completion,10225.42,53293,53294.32,53294.52,63519.94,63522,2023-06-13T11:47:36Z,63536.28,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,63523,NA,NA,63519.94,63523,2023-06-13T11:47:36Z,63536.28,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,3766.72,63523,63519.94,63536.28,67303,67304,2023-06-13T11:47:39Z,67303.24,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,jokofu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,"""Richtig""-Screen",canvas.Screen,1_1_1_1_1,NA,NA,skipped,NA,67306,NA,NA,67303,67307,2023-06-13T11:47:39Z,67303.24,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,"""Falsch""-Screen",canvas.Screen,1_1_1_1_2,NA,NA,timeout,4999.82,67307,67299.7,67303.24,72286.32,72289,2023-06-13T11:47:44Z,72303.06,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,shallow,flow.Sequence,1_1_1_1,NA,NA,completion,8750.04,63523,63519.94,63536.28,72286.32,72290,2023-06-13T11:47:44Z,72303.06,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,task,flow.Sequence,1_1_1,NA,NA,completion,8750.04,63523,63519.94,63536.28,72286.32,72290,2023-06-13T11:47:44Z,72303.06,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,Deep Question,html.Page,1_1_2_0_0,NA,NA,form submission,4573.94,72292,72286.32,72303.06,76877,76878,2023-06-13T11:47:49Z,76886.42,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,mbake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,"""Richtig""-Screen",canvas.Screen,1_1_2_0_1,NA,NA,skipped,NA,76886,NA,NA,76877,76886,2023-06-13T11:47:49Z,76886.42,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,"""Falsch""-Screen",canvas.Screen,1_1_2_0_2,NA,NA,timeout,4999.84,76888,76870.88,76886.42,81869.6,81871,2023-06-13T11:47:54Z,81886.26,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,deep,flow.Sequence,1_1_2_0,NA,NA,completion,9566.54,72292,72286.32,72303.06,81869.6,81871,2023-06-13T11:47:54Z,81886.26,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,shallow,flow.Sequence,1_1_2_1,NA,NA,skipped,NA,81871,NA,NA,81869.6,81872,2023-06-13T11:47:54Z,81886.26,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,task,flow.Sequence,1_1_2,NA,NA,completion,9566.54,72291,72286.32,72303.06,81869.6,81872,2023-06-13T11:47:54Z,81886.26,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,deep,flow.Sequence,1_1_3_0,NA,NA,skipped,NA,81873,NA,NA,81869.6,81873,2023-06-13T11:47:54Z,81886.26,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,Shallow Question,html.Page,1_1_3_1_0,NA,NA,form submission,5092.74,81873,81869.6,81886.26,86979,86980,2023-06-13T11:47:59Z,86986.32,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,nafasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,"""Richtig""-Screen",canvas.Screen,1_1_3_1_1,NA,NA,skipped,NA,86983,NA,NA,86979,86983,2023-06-13T11:47:59Z,86986.32,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,"""Falsch""-Screen",canvas.Screen,1_1_3_1_2,NA,NA,timeout,4999.86,86985,86976.3,86986.32,91969.48,91970,2023-06-13T11:48:04Z,91986.18,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d3caa,shallow,flow.Sequence,1_1_3_1,NA,NA,completion,10083.22,81873,81869.6,81886.26,91969.48,91970,2023-06-13T11:48:04Z,91986.18,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
