observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
e0665,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,49633.186,246.69999999998,129.633,254.614,49887.8,49888.8,2023-05-14T08:13:22Z,49896.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,126,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/delayed/index.html?vp=126&sess=2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Zurich,-120,2560,1440,2560,1249,2560,1297,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
e0665,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,3153.216,49889,49881.589,49896.384,53049.6,53049.9,2023-05-14T08:13:25Z,53055.342,Hoffnung,matarajio,s,kutaalamika,uratibu,mvumbuzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e0665,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500.016,53050.3,53048.388,53055.342,53548.405,53548.7,2023-05-14T08:13:25Z,53555.358,Hoffnung,matarajio,s,kutaalamika,uratibu,mvumbuzi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e0665,deep,flow.Sequence,1_0_0,NA,NA,completion,3652.021,49889,49881.589,49896.384,53548.405,53548.8,2023-05-14T08:13:25Z,53555.358,Hoffnung,matarajio,s,kutaalamika,uratibu,mvumbuzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e0665,task,flow.Sequence,1_0,NA,NA,completion,3652.021,49888.9,49881.589,49896.384,53548.405,53548.9,2023-05-14T08:13:25Z,53555.358,Hoffnung,matarajio,s,kutaalamika,uratibu,mvumbuzi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e0665,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,1367.942,53549,53548.405,53555.358,54923.3,54923.5,2023-05-14T08:13:27Z,54931.473,Notfall,dharura,s,rairai,malalamiko,ahueni,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e0665,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,498.96,54923.9,54916.495,54931.473,55423.48,55423.6,2023-05-14T08:13:27Z,55430.433,Notfall,dharura,s,rairai,malalamiko,ahueni,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e0665,deep,flow.Sequence,1_1_0,NA,NA,completion,1868.122,53549,53548.405,53555.358,55423.48,55423.7,2023-05-14T08:13:27Z,55430.433,Notfall,dharura,s,rairai,malalamiko,ahueni,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e0665,task,flow.Sequence,1_1,NA,NA,completion,1868.122,53549,53548.405,53555.358,55423.48,55423.9,2023-05-14T08:13:27Z,55430.433,Notfall,dharura,s,rairai,malalamiko,ahueni,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e0665,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,4263.867,55424,55423.48,55430.433,59694.3,59694.5,2023-05-14T08:13:32Z,59701.805,Schock,mshtuko,d,biashara,kukataza,vichekesho,mdan,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e0665,Save data screen,canvas.Screen,1_2_0_1,NA,NA,timeout,499.65,59694.8,59687.543,59701.805,60194.507,60194.8,2023-05-14T08:13:32Z,60201.455,Schock,mshtuko,d,biashara,kukataza,vichekesho,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e0665,deep,flow.Sequence,1_2_0,NA,NA,completion,4764.074,55424,55423.48,55430.433,60194.507,60194.9,2023-05-14T08:13:32Z,60201.455,Schock,mshtuko,d,biashara,kukataza,vichekesho,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
