observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
53c89,Introduction general,canvas.Screen,0,weiter,keypress(q),response,93448.529999976,680.59999996424,607.702,674.37,94122.899999976,94132.5,2023-09-25T15:43:15Z,94143.144,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/encoding_immediate/index.html?vp=131&sess=1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",MacIntel,de-DE,de,Europe/Zurich,-120,1440,900,1440,673,1440,721,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
53c89,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,3858.0559999881,94132.800000012,94126.477,94143.144,98001.199999988,98004.099999964,2023-09-25T15:43:19Z,98010.234,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,98004.399999976,NA,NA,98001.199999988,98004.699999988,2023-09-25T15:43:19Z,98010.234,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,17967.665999976,98004.800000012,97993.567,98010.234,115977.89999998,115978.09999996,2023-09-25T15:43:37Z,115977.289,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,115979.39999998,NA,NA,115977.89999998,115979.5,2023-09-25T15:43:37Z,115977.289,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,5000.1,115980.39999998,115960.622,115977.289,120960.722,120964.89999998,2023-09-25T15:43:42Z,120977.389,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,22950.488,98004.800000012,97993.567,98010.234,120960.722,120965.39999998,2023-09-25T15:43:42Z,120977.389,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,task,flow.Sequence,1_1_0,NA,NA,completion,22950.488,98004.300000012,97993.567,98010.234,120960.722,120965.59999996,2023-09-25T15:43:42Z,120977.389,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,deep,flow.Sequence,1_1_1_0,NA,NA,skipped,NA,120965.89999998,NA,NA,120960.722,120966.09999996,2023-09-25T15:43:42Z,120977.389,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,Shallow Question,html.Page,1_1_1_1_0,NA,NA,form submission,16381.111,120966.30000001,120960.722,120977.389,137358.5,137359.09999996,2023-09-25T15:43:59Z,137361.131,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,katiba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,"""Richtig""-Screen",canvas.Screen,1_1_1_1_1,NA,NA,skipped,NA,137362.19999999,NA,NA,137358.5,137362.30000001,2023-09-25T15:43:59Z,137361.131,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,"""Falsch""-Screen",canvas.Screen,1_1_1_1_2,NA,NA,timeout,5000.142,137363.09999996,137344.464,137361.131,142344.606,142347.80000001,2023-09-25T15:44:04Z,142361.273,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,shallow,flow.Sequence,1_1_1_1,NA,NA,completion,21367.217,120966.30000001,120960.722,120977.389,142344.606,142348.30000001,2023-09-25T15:44:04Z,142361.273,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,task,flow.Sequence,1_1_1,NA,NA,completion,21367.217,120965.89999998,120960.722,120977.389,142344.606,142348.59999996,2023-09-25T15:44:04Z,142361.273,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,Deep Question,html.Page,1_1_2_0_0,NA,NA,form submission,9171.8269999643,142349,142344.606,142361.273,151533.09999996,151533.5,2023-09-25T15:44:13Z,151544.79,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,"""Richtig""-Screen",canvas.Screen,1_1_2_0_1,NA,NA,skipped,NA,151536.39999998,NA,NA,151533.09999996,151536.5,2023-09-25T15:44:13Z,151544.79,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,"""Falsch""-Screen",canvas.Screen,1_1_2_0_2,NA,NA,timeout,5000.11,151537.5,151528.123,151544.79,156528.233,156532.5,2023-09-25T15:44:18Z,156544.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,deep,flow.Sequence,1_1_2_0,NA,NA,completion,14166.96,142348.89999998,142344.606,142361.273,156528.233,156533,2023-09-25T15:44:18Z,156544.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,shallow,flow.Sequence,1_1_2_1,NA,NA,skipped,NA,156533.09999996,NA,NA,156528.233,156533.19999999,2023-09-25T15:44:18Z,156544.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,task,flow.Sequence,1_1_2,NA,NA,completion,14166.96,142348.80000001,142344.606,142361.273,156528.233,156533.39999998,2023-09-25T15:44:18Z,156544.9,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,Deep Question,html.Page,1_1_3_0_0,NA,NA,form submission,10793.299999988,156533.59999996,156528.233,156544.9,167338.19999999,167338.59999996,2023-09-25T15:44:29Z,167345.13,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,qua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53c89,"""Richtig""-Screen",canvas.Screen,1_1_3_0_1,NA,NA,skipped,NA,167341.69999999,NA,NA,167338.19999999,167341.69999999,2023-09-25T15:44:29Z,167345.13,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
