observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
38cad,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,38617.338,237.79999999888,219.063,244.062,38861.4,38871.499999998,2023-01-22T19:14:52Z,38875.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,109,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/delayed%203/index.html?vp=109&sess=2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",MacIntel,de-DE,de,Europe/Zurich,-60,1728,1117,1728,921,1728,969,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
38cad,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,30045.350000001,38871.799999999,38867.517,38875.85,68921.200000001,68921.499999998,2023-01-22T19:15:22Z,68922.754,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,kuchelewa,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38cad,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.98,68922.9,68914.421,68922.754,69414.401,69416.6,2023-01-22T19:15:23Z,69422.734,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38cad,deep,flow.Sequence,1_0_0,NA,NA,completion,30538.551,38871.799999999,38867.517,38875.85,69414.401,69417.200000001,2023-01-22T19:15:23Z,69422.734,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38cad,task,flow.Sequence,1_0,NA,NA,completion,30538.551,38871.799999999,38867.517,38875.85,69414.401,69417.499999998,2023-01-22T19:15:23Z,69422.734,Genehmigung,idhini,d,mwanamke,itikadi,fedheha,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38cad,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,22957.466000001,69417.799999999,69414.401,69422.734,92380.200000001,92380.999999998,2023-01-22T19:15:46Z,92385.551,Begegnung,kukutana,d,mmasihiya,mpiganaji,husiano,salewa,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38cad,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499.98,92383.999999998,92377.218,92385.551,92877.198,92880.4,2023-01-22T19:15:46Z,92885.531,Begegnung,kukutana,d,mmasihiya,mpiganaji,husiano,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38cad,deep,flow.Sequence,1_1_0,NA,NA,completion,23454.464,69417.700000001,69414.401,69422.734,92877.198,92881.4,2023-01-22T19:15:46Z,92885.531,Begegnung,kukutana,d,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38cad,task,flow.Sequence,1_1,NA,NA,completion,23454.464,69417.6,69414.401,69422.734,92877.198,92881.700000001,2023-01-22T19:15:46Z,92885.531,Begegnung,kukutana,d,mmasihiya,mpiganaji,husiano,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38cad,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,46009.169000001,92882.1,92877.198,92885.531,138894.7,138895.2,2023-01-22T19:16:32Z,138902.052,Integrität,uadilifu,s,muungano,mtiririko,upunguaji,meatana,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
