observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
57550,Introduction general,canvas.Screen,0,weiter,keypress(q),response,129361.635,742.40000000224,745.388,795.365,130157,130159.4,2023-01-20T15:42:01Z,130168.403,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/encoding_immediate/index.html?vp=107&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Win32,de-DE,de,Europe/Berlin,-60,1536,864,1536,674,1536,722,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
57550,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,16513.297000003,130159.7,130151.726,130168.403,146681.7,146682.3,2023-01-20T15:42:17Z,146696.425,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,146682.5,NA,NA,146681.7,146683.9,2023-01-20T15:42:17Z,146696.425,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,11881.475000002,146684,146678.55,146696.425,158577.9,158578.2,2023-01-20T15:42:29Z,158599.191,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,auwali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,158579.4,NA,NA,158577.9,158579.6,2023-01-20T15:42:29Z,158599.191,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,5008.062,158580.6,158558.933,158599.191,163590.583,163592.8,2023-01-20T15:42:34Z,163607.253,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,16894.158,146684,146678.55,146696.425,163590.583,163593,2023-01-20T15:42:34Z,163607.253,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,task,flow.Sequence,1_1_0,NA,NA,completion,16894.158,146682.5,146678.55,146696.425,163590.583,163593.2,2023-01-20T15:42:34Z,163607.253,"c(""distractor1"", ""distractor2"", ""distractor3"")",Rückhalt,msaada,s,muhula,auwali,kiwimbe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,6994.3470000015,163593.4,163590.583,163607.253,170601.6,170602,2023-01-20T15:42:41Z,170604.721,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,heb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,170605.2,NA,NA,170601.6,170605.5,2023-01-20T15:42:41Z,170604.721,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,"""Falsch""-Screen",canvas.Screen,1_1_1_0_2,NA,NA,timeout,4998.482,170606.4,170588.278,170604.721,175586.528,175587.2,2023-01-20T15:42:46Z,175603.203,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,deep,flow.Sequence,1_1_1_0,NA,NA,completion,11979.275,163593.2,163590.583,163607.253,175586.528,175587.5,2023-01-20T15:42:46Z,175603.203,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,shallow,flow.Sequence,1_1_1_1,NA,NA,skipped,NA,175587.6,NA,NA,175586.528,175587.7,2023-01-20T15:42:46Z,175603.203,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,task,flow.Sequence,1_1_1,NA,NA,completion,11979.275,163593.2,163590.583,163607.253,175586.528,175587.8,2023-01-20T15:42:46Z,175603.203,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,deep,flow.Sequence,1_1_2_0,NA,NA,skipped,NA,175587.9,NA,NA,175586.528,175588,2023-01-20T15:42:46Z,175603.203,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,Shallow Question,html.Page,1_1_2_1_0,NA,NA,form submission,10727.797,175588,175586.528,175603.203,186331,186331.3,2023-01-20T15:42:57Z,186332.749,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,"""Richtig""-Screen",canvas.Screen,1_1_2_1_1,NA,NA,skipped,NA,186333.9,NA,NA,186331,186334.2,2023-01-20T15:42:57Z,186332.749,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,"""Falsch""-Screen",canvas.Screen,1_1_2_1_2,NA,NA,timeout,4998.354,186335,186316.235,186332.749,191314.497,191315.4,2023-01-20T15:43:02Z,191331.103,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,shallow,flow.Sequence,1_1_2_1,NA,NA,completion,15711.294,175588,175586.528,175603.203,191314.497,191315.6,2023-01-20T15:43:02Z,191331.103,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,task,flow.Sequence,1_1_2,NA,NA,completion,15711.294,175587.9,175586.528,175603.203,191314.497,191315.7,2023-01-20T15:43:02Z,191331.103,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,deep,flow.Sequence,1_1_3_0,NA,NA,skipped,NA,191315.9,NA,NA,191314.497,191316,2023-01-20T15:43:02Z,191331.103,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,Shallow Question,html.Page,1_1_3_1_0,NA,NA,form submission,7154.9970000015,191316.1,191314.497,191331.103,198486.1,198486.3,2023-01-20T15:43:09Z,198495.314,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,"""Richtig""-Screen",canvas.Screen,1_1_3_1_1,NA,NA,skipped,NA,198488.4,NA,NA,198486.1,198488.6,2023-01-20T15:43:09Z,198495.314,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57550,"""Falsch""-Screen",canvas.Screen,1_1_3_1_2,NA,NA,timeout,4998.537,198489.4,198478.776,198495.314,203477.116,203478,2023-01-20T15:43:14Z,203493.851,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gegenwart,hadhara,s,katiba,jokofu,mikopo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
