observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
a99b1,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,3615,629,641,662,4256,4317,2023-02-05T12:31:16Z,4362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,110,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/delayed/index.html?vp=110&sess=2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",MacIntel,de-DE,de-DE,Europe/Zurich,-60,1440,900,1037,752,1037,800,2,production,f5b4a49f956347addd546a832a3327688c2c0fef
a99b1,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,43550,4317,4330,4362,47912,47912,2023-02-05T12:31:59Z,47944,Stimmung,kinyongo,d,kilekile,kisambo,madhehebu,idhini,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a99b1,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500,47912,47927,47944,48427,48428,2023-02-05T12:32:00Z,48444,Stimmung,kinyongo,d,kilekile,kisambo,madhehebu,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a99b1,deep,flow.Sequence,1_0_0,NA,NA,completion,44065,4317,4330,4362,48427,48428,2023-02-05T12:32:00Z,48444,Stimmung,kinyongo,d,kilekile,kisambo,madhehebu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a99b1,task,flow.Sequence,1_0,NA,NA,completion,44065,4317,4330,4362,48427,48428,2023-02-05T12:32:00Z,48444,Stimmung,kinyongo,d,kilekile,kisambo,madhehebu,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a99b1,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,56955,48428,48427,48444,105399,105400,2023-02-05T12:32:57Z,105431,Niveau,kiwango,s,usimamizi,mwamali,mshairi,kiwango,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a99b1,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500,105401,105414,105431,105914,105916,2023-02-05T12:32:57Z,105931,Niveau,kiwango,s,usimamizi,mwamali,mshairi,NA,NA,1,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a99b1,deep,flow.Sequence,1_1_0,NA,NA,completion,57470,48428,48427,48444,105914,105917,2023-02-05T12:32:57Z,105931,Niveau,kiwango,s,usimamizi,mwamali,mshairi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a99b1,task,flow.Sequence,1_1,NA,NA,completion,57470,48428,48427,48444,105914,105917,2023-02-05T12:32:57Z,105931,Niveau,kiwango,s,usimamizi,mwamali,mshairi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a99b1,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,17337,105918,105914,105931,123268,123268,2023-02-05T12:33:15Z,123299,Papier,karatasi,s,uchambuzi,usalama,kukataliwa,karatasi,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
