sender;sender_type;sender_id;response;response_action;ended_on;duration;time_run;time_render;time_show;time_end;time_commit;timestamp;time_switch;german;swahili;enc;distractor1;distractor2;distractor3;response_2;x;correct;distractors;url_vp;url_sess;meta_labjs_version;meta_location;meta_user_agent;meta_platform;meta_language;meta_locale;meta_time_zone;meta_timezone_offset;meta_screen_width;meta_screen_height;meta_scroll_width;meta_scroll_height;meta_window_inner_width;meta_window_inner_height;meta_device_pixel_ratio;meta_labjs_build_flavor;meta_labjs_build_commit
Introduction delayed retrieval;canvas.Screen;0;weiter;keypress(Space);response;9739.72;4403;4405.94;4439.28;14179;14198;2023-02-11T17:37:53Z;14206.18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NULL;113;2;20.02.04;https://neurocog.fernuni.ch/studies/vweber/delayed/index.html?vp=113&sess=2;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:108.0) Gecko/20100101 Firefox/108.0";Win32;de;de-CH;Europe/Zurich;-60;1280;720;1280;595;1280;595;1.5;production;f5b4a49f956347addd546a832a3327688c2c0fef
Deep Question;html.Page;1_0_0_0;NA;NA;form submission;8408.82;14202;14201.28;14206.18;22615;22615;2023-02-11T17:38:01Z;22622.86;Respekt;heshima;s;changamnao;upinzani;ufanisi;mashtara;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_0_0_1;NA;NA;timeout;500.04;22620;22614.1;22622.86;23106.24;23107;2023-02-11T17:38:02Z;23122.9;Respekt;heshima;s;changamnao;upinzani;ufanisi;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_0_0;NA;NA;completion;8900.06;14201;14201.28;14206.18;23106.24;23108;2023-02-11T17:38:02Z;23122.9;Respekt;heshima;s;changamnao;upinzani;ufanisi;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_0;NA;NA;completion;8900.06;14200;14201.28;14206.18;23106.24;23109;2023-02-11T17:38:02Z;23122.9;Respekt;heshima;s;changamnao;upinzani;ufanisi;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_1_0_0;NA;NA;form submission;19310.1;23110;23106.24;23122.9;42433;42433;2023-02-11T17:38:21Z;42439.82;Integrität;uadilifu;s;muungano;mtiririko;upunguaji;efuduni;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Save data screen;canvas.Screen;1_1_0_1;NA;NA;timeout;499.98;42438;42432.52;42439.82;42923.14;42924;2023-02-11T17:38:22Z;42939.8;Integrität;uadilifu;s;muungano;mtiririko;upunguaji;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
deep;flow.Sequence;1_1_0;NA;NA;completion;19800.24;23110;23106.24;23122.9;42923.14;42925;2023-02-11T17:38:22Z;42939.8;Integrität;uadilifu;s;muungano;mtiririko;upunguaji;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
task;flow.Sequence;1_1;NA;NA;completion;19800.24;23109;23106.24;23122.9;42923.14;42926;2023-02-11T17:38:22Z;42939.8;Integrität;uadilifu;s;muungano;mtiririko;upunguaji;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Deep Question;html.Page;1_2_0_0;NA;NA;form submission;14217.2;42927;42923.14;42939.8;57157;57157;2023-02-11T17:38:36Z;57156.26;Stimmung;kinyongo;d;kilekile;kisambo;madhehebu;uatenga;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
