observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
ac614,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,9715.946,1208.4000000358,1197.644,1231.054,10947,10948.600000024,2023-06-18T12:05:10Z,10956.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,172,4,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed/index.html?vp=172&sess=4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1280,720,1280,553,1280,601,1.5,production,f5b4a49f956347addd546a832a3327688c2c0fef
ac614,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,3363.0800000119,10948.800000012,10941.616,10956.22,14319.300000012,14319.699999988,2023-06-18T12:05:13Z,14320.123,Konkurrent,mshindani,d,msemaji,mvutaji,kipukusa,lkfjda,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ac614,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.839,14320.5,14303.994,14320.123,14803.346,14804.300000012,2023-06-18T12:05:13Z,14819.962,Konkurrent,mshindani,d,msemaji,mvutaji,kipukusa,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ac614,deep,flow.Sequence,1_0_0,NA,NA,completion,3847.126,10948.800000012,10941.616,10956.22,14803.346,14804.5,2023-06-18T12:05:13Z,14819.962,Konkurrent,mshindani,d,msemaji,mvutaji,kipukusa,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ac614,task,flow.Sequence,1_0,NA,NA,completion,3847.126,10948.800000012,10941.616,10956.22,14803.346,14804.600000024,2023-06-18T12:05:13Z,14819.962,Konkurrent,mshindani,d,msemaji,mvutaji,kipukusa,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ac614,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,3814.2379999881,14804.699999988,14803.346,14819.962,18634.199999988,18634.5,2023-06-18T12:05:17Z,18650.27,Annäherung,maegesho,s,madahili,kujiamini,mapendekezo,mgonkuk,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ac614,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,499.234,18635.300000012,18633.408,18650.27,19132.874,19141.5,2023-06-18T12:05:18Z,19149.504,Annäherung,maegesho,s,madahili,kujiamini,mapendekezo,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ac614,deep,flow.Sequence,1_1_0,NA,NA,completion,4312.912,14804.699999988,14803.346,14819.962,19132.874,19141.699999988,2023-06-18T12:05:18Z,19149.504,Annäherung,maegesho,s,madahili,kujiamini,mapendekezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ac614,task,flow.Sequence,1_1,NA,NA,completion,4312.912,14804.699999988,14803.346,14819.962,19132.874,19141.900000036,2023-06-18T12:05:18Z,19149.504,Annäherung,maegesho,s,madahili,kujiamini,mapendekezo,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ac614,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,5313.1959999881,19142.300000012,19132.874,19149.504,24462.699999988,24462.900000036,2023-06-18T12:05:23Z,24478.632,Polizist,msongora,d,simanzi,mandhari,nidhamu,msoroa,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
