observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
e08b7,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,23898.891,649.59999999998,315.302,681.809,24580.7,24582.4,2023-03-26T07:51:00Z,24590.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,204,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/delayed/index.html?vp=204&sess=2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.51",Win32,de,de-CH,Europe/Zurich,-120,1536,864,1536,666,1536,714,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
e08b7,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,3020.4879999999,24582.6,24574.006,24590.412,27610.9,27611.1,2023-03-26T07:51:03Z,27622.902,Gelegenheit,wakati,d,mchanganyiko,kipaumbele,kushuku,f,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e08b7,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,499.623,27612,27606.303,27622.902,28106.191,28107.5,2023-03-26T07:51:03Z,28122.525,Gelegenheit,wakati,d,mchanganyiko,kipaumbele,kushuku,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e08b7,deep,flow.Sequence,1_0_0,NA,NA,completion,3515.779,24582.6,24574.006,24590.412,28106.191,28107.8,2023-03-26T07:51:03Z,28122.525,Gelegenheit,wakati,d,mchanganyiko,kipaumbele,kushuku,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e08b7,task,flow.Sequence,1_0,NA,NA,completion,3515.779,24582.6,24574.006,24590.412,28106.191,28108,2023-03-26T07:51:03Z,28122.525,Gelegenheit,wakati,d,mchanganyiko,kipaumbele,kushuku,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e08b7,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,1967.3749999999,28108.1,28106.191,28122.525,30089.9,30090.2,2023-03-26T07:51:05Z,30105.389,Symbol,kielezo,s,kinyume,nderemo,utayari,a,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e08b7,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500.027,30090.9,30088.679,30105.389,30588.684,30589.5,2023-03-26T07:51:06Z,30605.416,Symbol,kielezo,s,kinyume,nderemo,utayari,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e08b7,deep,flow.Sequence,1_1_0,NA,NA,completion,2466.159,28108.1,28106.191,28122.525,30588.684,30589.8,2023-03-26T07:51:06Z,30605.416,Symbol,kielezo,s,kinyume,nderemo,utayari,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e08b7,task,flow.Sequence,1_1,NA,NA,completion,2466.159,28108.1,28106.191,28122.525,30588.684,30589.9,2023-03-26T07:51:06Z,30605.416,Symbol,kielezo,s,kinyume,nderemo,utayari,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e08b7,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,2248.684,30590.2,30588.684,30605.416,32854.1,32854.5,2023-03-26T07:51:08Z,32885.634,Vorsorge,tahadhari,d,ufafanuzi,makini,mashambani,a,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
