observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
7f47d,Introduction general,canvas.Screen,0,weiter,keypress(q),response,1602720.561,934.80000001192,44.718,927.339,1603647.9,1603653.8,2023-04-09T08:57:57Z,1603656.382,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/encoding_immediate/index.html?vp=208&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
7f47d,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,7457.0180000358,1603654.3,1603645.853,1603656.382,1611113.4,1611114.6,2023-04-09T08:58:05Z,1611134.242,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7f47d,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,10221.957999988,1611114.9,1611116.504,1611134.242,1621356.2,1621356.6,2023-04-09T08:58:15Z,1621358.513,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7f47d,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,1621358.3,NA,NA,1621356.2,1621358.5,2023-04-09T08:58:15Z,1621358.513,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7f47d,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4995.939,1621360,1621342.464,1621358.513,1626338.315,1626343.3,2023-04-09T08:58:20Z,1626354.452,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7f47d,deep,flow.Sequence,1_1_0_0,NA,NA,completion,15204.073,1611114.9,1611116.504,1611134.242,1626338.315,1626343.9,2023-04-09T08:58:20Z,1626354.452,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7f47d,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,1626344.1,NA,NA,1626338.315,1626344.3,2023-04-09T08:58:20Z,1626354.452,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7f47d,task,flow.Sequence,1_1_0,NA,NA,completion,15204.073,1611114.9,1611116.504,1611134.242,1626338.315,1626344.6,2023-04-09T08:58:20Z,1626354.452,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7f47d,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,10214.747999988,1626345,1626338.315,1626354.452,1636569.2,1636569.5,2023-04-09T08:58:30Z,1636579.38,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,ge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7f47d,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,1636571.8,NA,NA,1636569.2,1636572,2023-04-09T08:58:30Z,1636579.38,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
