observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
a753a,Introduction general,canvas.Screen,0,weiter,keypress(q),response,2467164.701,1199.7999999523,417.669,1216.999,2468381.7,2468392.8,2023-04-18T16:02:32Z,2468387.034,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/encoding_immediate/index.html?vp=210&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
a753a,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,15050.365999857,2468393.0999999,2468367.18,2468387.034,2483437.3999999,2483438.7,2023-04-18T16:02:47Z,2483458.66,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a753a,deep,flow.Sequence,1_1_0_0,NA,NA,skipped,NA,2483439.2,NA,NA,2483437.3999999,2483442.8999999,2023-04-18T16:02:47Z,2483458.66,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a753a,Shallow Question,html.Page,1_1_0_1_0,NA,NA,form submission,11702.939999904,2483443,2483440.429,2483458.66,2495161.5999999,2495161.8,2023-04-18T16:02:59Z,2495165.01,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,nafasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a753a,"""Richtig""-Screen",canvas.Screen,1_1_0_1_1,NA,NA,skipped,NA,2495163,NA,NA,2495161.5999999,2495163.2,2023-04-18T16:02:59Z,2495165.01,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a753a,"""Falsch""-Screen",canvas.Screen,1_1_0_1_2,NA,NA,timeout,4996.7140000002,2495163.8999999,2495148.991,2495165.01,2500144.725,2500149.5999999,2023-04-18T16:03:04Z,2500161.724,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a753a,shallow,flow.Sequence,1_1_0_1,NA,NA,completion,16686.065,2483443,2483440.429,2483458.66,2500144.725,2500150,2023-04-18T16:03:04Z,2500161.724,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a753a,task,flow.Sequence,1_1_0,NA,NA,completion,16686.065,2483439.0999999,2483440.429,2483458.66,2500144.725,2500150.3,2023-04-18T16:03:04Z,2500161.724,"c(""distractor1"", ""distractor2"", ""distractor3"")",Kritik,lawama,s,dereva,nafasi,mawazo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a753a,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,10222.175999857,2500150.8999999,2500144.725,2500161.724,2510383.8999999,2510384.3,2023-04-18T16:03:14Z,2510385.821,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,nafasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a753a,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,2510386.8999999,NA,NA,2510383.8999999,2510387.2,2023-04-18T16:03:14Z,2510385.821,"c(""distractor1"", ""distractor2"", ""distractor3"")",Qualität,mtindo,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
