observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,distractors,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
6aa22,Introduction delayed retrieval,canvas.Screen,0,weiter,keypress(Space),response,21102.355,734.79999999702,152.374,769.645,21872,21888.399999999,2023-05-11T14:02:10Z,21890.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,214,2,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/delayed/index.html?vp=214&sess=2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36",MacIntel,en,en-GB,Europe/Zurich,-120,1920,1080,1773,833,1773,881,1,production,f5b4a49f956347addd546a832a3327688c2c0fef
6aa22,Deep Question,html.Page,1_0_0_0,NA,NA,form submission,15723.876999999,21888.899999999,21873.64,21890.323,37614.199999999,37614.399999999,2023-05-11T14:02:26Z,37622.665,Angreifer,mshambulizi,d,kitengo,tasinia,usafirishaji,mshambulizi,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6aa22,Save data screen,canvas.Screen,1_0_0_1,NA,NA,timeout,500.49,37615.199999999,37605.982,37622.665,38106.472,38113,2023-05-11T14:02:26Z,38123.155,Angreifer,mshambulizi,d,kitengo,tasinia,usafirishaji,NA,NA,1,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6aa22,deep,flow.Sequence,1_0_0,NA,NA,completion,16216.149,21888.899999999,21873.64,21890.323,38106.472,38113.199999999,2023-05-11T14:02:26Z,38123.155,Angreifer,mshambulizi,d,kitengo,tasinia,usafirishaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6aa22,task,flow.Sequence,1_0,NA,NA,completion,16216.149,21888.899999999,21873.64,21890.323,38106.472,38113.299999997,2023-05-11T14:02:26Z,38123.155,Angreifer,mshambulizi,d,kitengo,tasinia,usafirishaji,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6aa22,Deep Question,html.Page,1_1_0_0,NA,NA,form submission,13339.944999998,38113.399999999,38106.472,38123.155,51463.099999998,51463.299999997,2023-05-11T14:02:39Z,51476.405,Kontrolle,kudhibiti,s,mbinguni,kufunga,utegemezi,ushandani,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6aa22,Save data screen,canvas.Screen,1_1_0_1,NA,NA,timeout,500.49,51464.099999998,51459.722,51476.405,51960.212,51964.5,2023-05-11T14:02:40Z,51976.895,Kontrolle,kudhibiti,s,mbinguni,kufunga,utegemezi,NA,NA,0,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6aa22,deep,flow.Sequence,1_1_0,NA,NA,completion,13837.057,38113.399999999,38106.472,38123.155,51960.212,51964.599999998,2023-05-11T14:02:40Z,51976.895,Kontrolle,kudhibiti,s,mbinguni,kufunga,utegemezi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6aa22,task,flow.Sequence,1_1,NA,NA,completion,13837.057,38113.399999999,38106.472,38123.155,51960.212,51964.799999997,2023-05-11T14:02:40Z,51976.895,Kontrolle,kudhibiti,s,mbinguni,kufunga,utegemezi,NA,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6aa22,Deep Question,html.Page,1_2_0_0,NA,NA,form submission,3468.904999997,51964.899999999,51960.212,51976.895,55445.799999997,55446,2023-05-11T14:02:43Z,55452.748,Kanzler,diwani,s,rasilmali,mahitaji,maabudu,diwani,NA,NA,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
