observation,sender,sender_type,sender_id,response,response_action,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,distractors,german,swahili,enc,distractor1,distractor2,distractor3,response_2,x,correct,x_2,url_vp,url_sess,meta_labjs_version,meta_location,meta_user_agent,meta_platform,meta_language,meta_locale,meta_time_zone,meta_timezone_offset,meta_screen_width,meta_screen_height,meta_scroll_width,meta_scroll_height,meta_window_inner_width,meta_window_inner_height,meta_device_pixel_ratio,meta_labjs_build_flavor,meta_labjs_build_commit
31f81,Introduction general,canvas.Screen,0,weiter,keypress(q),response,3251628.5539998,2509,13934.36,13967.646,3265596.1999998,3265599.6999998,2023-05-11T16:39:39Z,3265598.709,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,1,20.2.4,https://neurocog.fernuni.ch/studies/vweber/sfink/encoding_immediate/index.html?vp=215&sess=1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",Win32,de-CH,de,Europe/Zurich,-120,1536,864,1536,706,1536,754,1.25,production,f5b4a49f956347addd546a832a3327688c2c0fef
31f81,Introduction practice,canvas.Screen,1_0,NA,keypress(Space),response,13092.190999857,3265600.3,3265581.89,3265598.709,3278690.8999999,3278691.5,2023-05-11T16:39:52Z,3278704.651,NULL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31f81,Deep Question,html.Page,1_1_0_0_0,NA,NA,form submission,21971.048999809,3278691.5999999,3278688.335,3278704.651,3300675.6999998,3300675.8999999,2023-05-11T16:40:14Z,3300686.535,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,bidl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31f81,"""Richtig""-Screen",canvas.Screen,1_1_0_0_1,NA,NA,skipped,NA,3300677.8999999,NA,NA,3300675.6999998,3300678.0999999,2023-05-11T16:40:14Z,3300686.535,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31f81,"""Falsch""-Screen",canvas.Screen,1_1_0_0_2,NA,NA,timeout,4996.1359999999,3300679.0999999,3300670.514,3300686.535,3305666.07,3305670,2023-05-11T16:40:19Z,3305682.671,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31f81,deep,flow.Sequence,1_1_0_0,NA,NA,completion,26961.419,3278691.5999999,3278688.335,3278704.651,3305666.07,3305670.3999999,2023-05-11T16:40:19Z,3305682.671,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31f81,shallow,flow.Sequence,1_1_0_1,NA,NA,skipped,NA,3305670.5999999,NA,NA,3305666.07,3305670.6999998,2023-05-11T16:40:19Z,3305682.671,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31f81,task,flow.Sequence,1_1_0,NA,NA,completion,26961.419,3278691.5,3278688.335,3278704.651,3305666.07,3305670.8999999,2023-05-11T16:40:19Z,3305682.671,"c(""distractor1"", ""distractor2"", ""distractor3"")",Schatten,kivuli,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31f81,Deep Question,html.Page,1_1_1_0_0,NA,NA,form submission,14700.928999905,3305671.1999998,3305666.07,3305682.671,3320383.5999999,3320383.8,2023-05-11T16:40:34Z,3320387.022,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,ek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31f81,"""Richtig""-Screen",canvas.Screen,1_1_1_0_1,NA,NA,skipped,NA,3320386.5,NA,NA,3320383.5999999,3320386.6999998,2023-05-11T16:40:34Z,3320387.022,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31f81,"""Falsch""-Screen",canvas.Screen,1_1_1_0_2,NA,NA,timeout,4995.9100000001,3320387.8,3320370.473,3320387.022,3325366.68,3325367.3,2023-05-11T16:40:39Z,3325382.932,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31f81,deep,flow.Sequence,1_1_1_0,NA,NA,completion,19684.009,3305671.0999999,3305666.07,3305682.671,3325366.68,3325367.5999999,2023-05-11T16:40:39Z,3325382.932,"c(""distractor1"", ""distractor2"", ""distractor3"")",Gesundheit,salama,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
