observation;sender;sender_type;sender_id;response;response_action;ended_on;duration;time_run;time_render;time_show;time_end;time_commit;timestamp;time_switch;distractors;german;swahili;enc;distractor1;distractor2;distractor3;response_2;x;correct;x_2;url_vp;url_sess;meta_labjs_version;meta_location;meta_user_agent;meta_platform;meta_language;meta_locale;meta_time_zone;meta_timezone_offset;meta_screen_width;meta_screen_height;meta_scroll_width;meta_scroll_height;meta_window_inner_width;meta_window_inner_height;meta_device_pixel_ratio;meta_labjs_build_flavor;meta_labjs_build_commit;;;;
40289;Introduction;general;canvas.Screen;0;weiter;keypress(q);response;815664.54;401;402.12;417.46;816082;816109;2023-05-28T18:46:11Z;816115.6;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;170;3;20.02.2004;https://neurocog.fernuni.ch/studies/vweber/sliechti/encoding_immediate/index.html?vp=170&sess=3;Mozilla/5.0;(Windows;NT;10;;;;;;;;;;;;;;
40289;Introduction;practice;canvas.Screen;1_0;NA;keypress(Space);response;2950.4;816111;816110.9;816115.6;819066;819069;2023-05-28T18:46:14Z;819081.86;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;
40289;deep;flow.Sequence;1_1_0_0;NA;NA;skipped;NA;819070;NA;NA;819066;819071;2023-05-28T18:46:14Z;819081.86;"c(""distractor1"", ""distractor2"", ""distractor3"")";Rückhalt;msaada;s;muhula;auwali;kiwimbe;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;Shallow;Question;html.Page;1_1_0_1_0;NA;NA;form;submission;4162.14;819072;819071.76;819081.86;823244;823244;2023-05-28T18:46:19Z;823248;"c(""distractor1"", ""distractor2"", ""distractor3"")";Rückhalt;msaada;s;muhula;auwali;kiwimbe;auwali;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
40289;"""Richtig""-Screen";canvas.Screen;1_1_0_1_1;NA;NA;skipped;NA;823250;NA;NA;823244;823250;2023-05-28T18:46:19Z;823248;"c(""distractor1"", ""distractor2"", ""distractor3"")";Rückhalt;msaada;s;muhula;auwali;kiwimbe;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;"""Falsch""-Screen";canvas.Screen;1_1_0_1_2;NA;NA;timeout;4999.38;823253;823241.34;823248;828230.74;828233;2023-05-28T18:46:23Z;828247.38;"c(""distractor1"", ""distractor2"", ""distractor3"")";Rückhalt;msaada;s;muhula;auwali;kiwimbe;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;shallow;flow.Sequence;1_1_0_1;NA;NA;completion;9148.88;819071;819071.76;819081.86;828230.74;828234;2023-05-28T18:46:23Z;828247.38;"c(""distractor1"", ""distractor2"", ""distractor3"")";Rückhalt;msaada;s;muhula;auwali;kiwimbe;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;task;flow.Sequence;1_1_0;NA;NA;completion;9148.88;819070;819071.76;819081.86;828230.74;828235;2023-05-28T18:46:23Z;828247.38;"c(""distractor1"", ""distractor2"", ""distractor3"")";Rückhalt;msaada;s;muhula;auwali;kiwimbe;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;Deep;Question;html.Page;1_1_1_0_0;NA;NA;form;submission;4049.62;828236;828230.74;828247.38;832297;832297;2023-05-28T18:46:28Z;832313.5;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;slak;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
40289;"""Richtig""-Screen";canvas.Screen;1_1_1_0_1;NA;NA;skipped;NA;832301;NA;NA;832297;832301;2023-05-28T18:46:28Z;832313.5;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;"""Falsch""-Screen";canvas.Screen;1_1_1_0_2;NA;NA;timeout;4999.44;832305;832296.9;832313.5;837296.56;837299;2023-05-28T18:46:33Z;837312.94;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;deep;flow.Sequence;1_1_1_0;NA;NA;completion;9049.18;828235;828230.74;828247.38;837296.56;837300;2023-05-28T18:46:33Z;837312.94;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;shallow;flow.Sequence;1_1_1_1;NA;NA;skipped;NA;837300;NA;NA;837296.56;837300;2023-05-28T18:46:33Z;837312.94;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;task;flow.Sequence;1_1_1;NA;NA;completion;9049.18;828235;828230.74;828247.38;837296.56;837301;2023-05-28T18:46:33Z;837312.94;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;deep;flow.Sequence;1_1_2_0;NA;NA;skipped;NA;837301;NA;NA;837296.56;837302;2023-05-28T18:46:33Z;837312.94;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;Shallow;Question;html.Page;1_1_2_1_0;NA;NA;form;submission;6679.06;837303;837296.56;837312.94;843992;843993;2023-05-28T18:46:39Z;843995.42;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;katiba;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
40289;"""Richtig""-Screen";canvas.Screen;1_1_2_1_1;NA;NA;skipped;NA;843996;NA;NA;843992;843997;2023-05-28T18:46:39Z;843995.42;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;"""Falsch""-Screen";canvas.Screen;1_1_2_1_2;NA;NA;timeout;4999.34;844000;843990.92;843995.42;848978.06;848979;2023-05-28T18:46:44Z;848994.76;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;shallow;flow.Sequence;1_1_2_1;NA;NA;completion;11665.12;837303;837296.56;837312.94;848978.06;848980;2023-05-28T18:46:44Z;848994.76;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;task;flow.Sequence;1_1_2;NA;NA;completion;11665.12;837301;837296.56;837312.94;848978.06;848981;2023-05-28T18:46:44Z;848994.76;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gegenwart;hadhara;s;katiba;jokofu;mikopo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;Deep;Question;html.Page;1_1_3_0_0;NA;NA;form;submission;5806.24;848982;848978.06;848994.76;854801;854801;2023-05-28T18:46:50Z;854810.64;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;sdflkj;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
40289;"""Richtig""-Screen";canvas.Screen;1_1_3_0_1;NA;NA;skipped;NA;854805;NA;NA;854801;854805;2023-05-28T18:46:50Z;854810.64;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;"""Falsch""-Screen";canvas.Screen;1_1_3_0_2;NA;NA;timeout;4999.38;854809;854799.54;854810.64;859793.52;859795;2023-05-28T18:46:55Z;859810.02;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;deep;flow.Sequence;1_1_3_0;NA;NA;completion;10798.76;848982;848978.06;848994.76;859793.52;859796;2023-05-28T18:46:55Z;859810.02;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;shallow;flow.Sequence;1_1_3_1;NA;NA;skipped;NA;859796;NA;NA;859793.52;859796;2023-05-28T18:46:55Z;859810.02;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;task;flow.Sequence;1_1_3;NA;NA;completion;10798.76;848981;848978.06;848994.76;859793.52;859797;2023-05-28T18:46:55Z;859810.02;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;deep;flow.Sequence;1_1_4_0;NA;NA;skipped;NA;859798;NA;NA;859793.52;859798;2023-05-28T18:46:55Z;859810.02;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;Shallow;Question;html.Page;1_1_4_1_0;NA;NA;form;submission;3966.98;859798;859793.52;859810.02;863777;863778;2023-05-28T18:46:59Z;863776.2;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;mawazo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
40289;"""Richtig""-Screen";canvas.Screen;1_1_4_1_1;NA;NA;skipped;NA;863781;NA;NA;863777;863781;2023-05-28T18:46:59Z;863776.2;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;"""Falsch""-Screen";canvas.Screen;1_1_4_1_2;NA;NA;timeout;4998;863783;863775.88;863776.2;868758.96;868760;2023-05-28T18:47:04Z;868774.2;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;shallow;flow.Sequence;1_1_4_1;NA;NA;completion;8948.94;859798;859793.52;859810.02;868758.96;868760;2023-05-28T18:47:04Z;868774.2;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;task;flow.Sequence;1_1_4;NA;NA;completion;8948.94;859797;859793.52;859810.02;868758.96;868761;2023-05-28T18:47:04Z;868774.2;"c(""distractor1"", ""distractor2"", ""distractor3"")";Kritik;lawama;s;dereva;nafasi;mawazo;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;Deep;Question;html.Page;1_1_5_0_0;NA;NA;form;submission;3004.8;868761;868758.96;868774.2;871779;871779;2023-05-28T18:47:07Z;871776.76;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gesundheit;salama;d;NA;NA;NA;sdfklj;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
40289;"""Richtig""-Screen";canvas.Screen;1_1_5_0_1;NA;NA;skipped;NA;871782;NA;NA;871779;871782;2023-05-28T18:47:07Z;871776.76;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gesundheit;salama;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;"""Falsch""-Screen";canvas.Screen;1_1_5_0_2;NA;NA;timeout;4997.76;871785;871776.38;871776.76;876757.98;876759;2023-05-28T18:47:12Z;876774.52;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gesundheit;salama;d;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;deep;flow.Sequence;1_1_5_0;NA;NA;completion;7983.78;868761;868758.96;868774.2;876757.98;876760;2023-05-28T18:47:12Z;876774.52;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gesundheit;salama;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;shallow;flow.Sequence;1_1_5_1;NA;NA;skipped;NA;876761;NA;NA;876757.98;876761;2023-05-28T18:47:12Z;876774.52;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gesundheit;salama;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;task;flow.Sequence;1_1_5;NA;NA;completion;7983.78;868761;868758.96;868774.2;876757.98;876762;2023-05-28T18:47:12Z;876774.52;"c(""distractor1"", ""distractor2"", ""distractor3"")";Gesundheit;salama;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;block;flow.Loop;1_1;NA;NA;completion;57676.12;819070;819071.76;819081.86;876757.98;876763;2023-05-28T18:47:12Z;876774.52;"c(""distractor1"", ""distractor2"", ""distractor3"")";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;Practice;flow.Sequence;1;NA;NA;completion;60642.38;816111;816110.9;816115.6;876757.98;876764;2023-05-28T18:47:12Z;876774.52;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
40289;Experiment;start;canvas.Screen;2;weiter;keypress(q);response;2885.48;876764;876757.98;876774.52;879660;879670;2023-05-28T18:47:15Z;879760.86;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;
40289;deep;flow.Sequence;3_0_0_0_0_0;NA;NA;skipped;NA;879760;NA;NA;879660;879760;2023-05-28T18:47:15Z;879760.86;NULL;Verstand;ufahamivu;s;shakawa;hadhari;mhandisi;NA;sdf;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
