observation;sender;sender_type;sender_id;response;response_action;ended_on;duration;time_run;time_render;time_show;time_end;time_commit;timestamp;time_switch;german;swahili;enc;distractor1;distractor2;distractor3;response_2;x;correct;distractors;url_vp;url_sess;meta_labjs_version;meta_location;meta_user_agent;meta_platform;meta_language;meta_locale;meta_time_zone;meta_timezone_offset;meta_screen_width;meta_screen_height;meta_scroll_width;meta_scroll_height;meta_window_inner_width;meta_window_inner_height;meta_device_pixel_ratio;meta_labjs_build_flavor;meta_labjs_build_commit;;;;
4c08f;Introduction;delayed;retrieval;canvas.Screen;0;weiter;keypress(Space);response;1839.74;928.5;390.702;940.16;2779.9;2782.7;2023-06-21T14:29:55Z;2785.162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NULL;171;4;20.02.2004;https://neurocog.fernuni.ch/studies/vweber/sliechti/delayed/index.html?vp=171&sess=4;Mozilla/5.0 (Windows NT 10.0;;;;;;;;;;;;;;;;
4c08f;Deep;Question;html.Page;1_0_0_0;NA;NA;form;submission;6295.138;2783.2;2772.437;2785.162;9080.3;9080.6;2023-06-21T14:30:01Z;9089.226;Symbol;kielezo;s;kinyume;nderemo;utayari;ularu;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
4c08f;Save;data;screen;canvas.Screen;1_0_0_1;NA;NA;timeout;499.448;9081.8;9072.666;9089.226;9572.038;9573.4;2023-06-21T14:30:01Z;9588.674;Symbol;kielezo;s;kinyume;nderemo;utayari;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
4c08f;deep;flow.Sequence;1_0_0;NA;NA;completion;6786.876;2783.1;2772.437;2785.162;9572.038;9573.8;2023-06-21T14:30:01Z;9588.674;Symbol;kielezo;s;kinyume;nderemo;utayari;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
4c08f;task;flow.Sequence;1_0;NA;NA;completion;6786.876;2783.1;2772.437;2785.162;9572.038;9574;2023-06-21T14:30:01Z;9588.674;Symbol;kielezo;s;kinyume;nderemo;utayari;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
4c08f;Deep;Question;html.Page;1_1_0_0;NA;NA;form;submission;6522.726;9574.2;9572.038;9588.674;16111.4;16111.7;2023-06-21T14:30:08Z;16127.345;Wettbewerb;ushindani;d;mapendezi;kichocheo;ubaguzi;ufashi;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
4c08f;Save;data;screen;canvas.Screen;1_1_0_1;NA;NA;timeout;499.803;16112.8;16108.674;16127.345;16610.176;16611.4;2023-06-21T14:30:09Z;16627.148;Wettbewerb;ushindani;d;mapendezi;kichocheo;ubaguzi;NA;NA;0;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
4c08f;deep;flow.Sequence;1_1_0;NA;NA;completion;7021.502;9574.1;9572.038;9588.674;16610.176;16611.7;2023-06-21T14:30:09Z;16627.148;Wettbewerb;ushindani;d;mapendezi;kichocheo;ubaguzi;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
4c08f;task;flow.Sequence;1_1;NA;NA;completion;7021.502;9574.1;9572.038;9588.674;16610.176;16612.1;2023-06-21T14:30:09Z;16627.148;Wettbewerb;ushindani;d;mapendezi;kichocheo;ubaguzi;NA;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
4c08f;Deep;Question;html.Page;1_2_0_0;NA;NA;form;submission;3746.952;16612.4;16610.176;16627.148;20374.1;20374.4;2023-06-21T14:30:12Z;20382.607;Polizist;msongora;d;simanzi;mandhari;nidhamu;yayemo;NA;NA;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
