observation;sender;sender_type;sender_id;response;response_action;ended_on;duration;time_run;time_render;time_show;time_end;time_commit;timestamp;time_switch;distractors;german;swahili;enc;distractor1;distractor2;distractor3;response_2;x;correct;x_2;url_vp;url_sess;meta_labjs_version;meta_location;meta_user_agent;meta_platform;meta_language;meta_locale;meta_time_zone;meta_timezone_offset;meta_screen_width;meta_screen_height;meta_scroll_width;meta_scroll_height;meta_window_inner_width;meta_window_inner_height;meta_device_pixel_ratio;meta_labjs_build_flavor;meta_labjs_build_commit;;;;
e8f56;Introduction;general;canvas.Screen;0;weiter;keypress(q);response;249311;296;298.16;319;249630;249645;2023-06-19T19:05:51Z;249647.12;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;171;3;20.02.2004;https://neurocog.fernuni.ch/studies/vweber/sliechti/encoding_immediate/index.html?vp=171&sess=3;Mozilla/5.0;(Windows;NT;10;;;;;;;;;;;;;;
e8f56;Introduction;practice;canvas.Screen;1_0;NA;keypress(Space);response;19389.88;249646;249646.7;249647.12;269037;269041;2023-06-19T19:06:11Z;269041.88;NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;
e8f56;Deep;Question;html.Page;1_1_0_0_0;NA;NA;form;submission;8759.12;269042;269041.62;269041.88;277801;277802;2023-06-19T19:06:19Z;277807.9;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;k;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
e8f56;"""Richtig""-Screen";canvas.Screen;1_1_0_0_1;NA;NA;skipped;NA;277808;NA;NA;277801;277809;2023-06-19T19:06:19Z;277807.9;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
e8f56;"""Falsch""-Screen";canvas.Screen;1_1_0_0_2;NA;NA;timeout;5000.1;277811;277779.46;277807.9;282787.2;282789;2023-06-19T19:06:24Z;282808;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
e8f56;deep;flow.Sequence;1_1_0_0;NA;NA;completion;13745.32;269042;269041.62;269041.88;282787.2;282790;2023-06-19T19:06:24Z;282808;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
e8f56;shallow;flow.Sequence;1_1_0_1;NA;NA;skipped;NA;282791;NA;NA;282787.2;282791;2023-06-19T19:06:24Z;282808;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
e8f56;task;flow.Sequence;1_1_0;NA;NA;completion;13745.32;269042;269041.62;269041.88;282787.2;282792;2023-06-19T19:06:24Z;282808;"c(""distractor1"", ""distractor2"", ""distractor3"")";Qualität;mtindo;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
e8f56;Deep;Question;html.Page;1_1_1_0_0;NA;NA;form;submission;6553;282793;282787.2;282808;289361;289362;2023-06-19T19:06:31Z;289370.36;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;s;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;
e8f56;"""Richtig""-Screen";canvas.Screen;1_1_1_0_1;NA;NA;skipped;NA;289366;NA;NA;289361;289367;2023-06-19T19:06:31Z;289370.36;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
e8f56;"""Falsch""-Screen";canvas.Screen;1_1_1_0_2;NA;NA;timeout;5000.14;289370;289356.72;289370.36;294350.06;294352;2023-06-19T19:06:36Z;294370.5;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
e8f56;deep;flow.Sequence;1_1_1_0;NA;NA;completion;11542.06;282793;282787.2;282808;294350.06;294354;2023-06-19T19:06:36Z;294370.5;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
e8f56;shallow;flow.Sequence;1_1_1_1;NA;NA;skipped;NA;294354;NA;NA;294350.06;294354;2023-06-19T19:06:36Z;294370.5;"c(""distractor1"", ""distractor2"", ""distractor3"")";Schatten;kivuli;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;;
